name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
AVUI VÉNS,Svetlana,1,cor,,Sento que el cor em fa em com,0hDKU5GkrwYOxUO9mTV2WW
Vaya Liada,Mushkaa,1,cara,,Que estiguis sexy quan poses mala cara | Que estigui sexy quan poso mala cara (Mm),2OL5S46cBDRfkz2O7SYFUF
Dins del meu cap,Miki Núñez,1,cor,cap,El cor robat | El cor s'accelera,5AxKeSyenbb6lH0xYF5kjk
COR PETIT,Pol Bordas,2,"esquena, pell",cor,Tenim la pell massa fina com per no acabar ferits,4YxdZlP0WP4QXgUqqApvBo
LOKURA,Julieta,1,mans,"esquena, cor, ulls, cap","Flors a les mans, flors a les mans, flors a les mans",2ceTylNropN8MsY6BqE5R7
MASSSTIMAS,Edu Esteve,1,cara,ulls,Si tu ja no m’estimes vine i diga-m’ho a la cara,44OxVPWOEuK5gx786Cm4eK
Trencam el cor,Julieta,1,cara,"cor, cap",Veure'm la cara,5x1551QSfC7PJhHN753psJ
Sense Tu,Teràpia de Shock,1,cor,ulls,"Dins el cor, ella hi és a dins... | I sempre estara el meu cor... | I sempre estarà el meu cor... | I sempre estaràs el meu cor....",2WWBXo8SVGSi3Z4oB7yQDi
Tot Anirà Bé,Joan Dausà,1,cor,cap,I el cor em diu,38brAbae4eGYFIGX6JmtXB
Transmets Energia,Buhos,1,ulls,,Uns ulls et canvien el dia,1PN5u1HFeRKkl74aCmSg0K
Menorca,The Tyets,1,cap,,Anem ja cap a iguana | Que miris cap a on miris hi ha germans | És dijous de camisa i al cap un mocador,6ktnF4Y4TNzaDTylC92DL8
Deixa,Oques Grasses,1,cor,ulls,Quan plora el cor,0Ak0XHmR3VDFYqHx5w0DWX
Més Likes,Oques Grasses,1,cara,"ulls, cap, peus, ànima","Quan portes la cara, la creu i molt gas | Quan portes la cara, la creu i molt gas, molt gas, molt gas",2EwTttJsps5wRCks5G1r9w
Inevitable,Oques Grasses,3,"cor, ulls, cap",,El que ens surt del cor | Portes la vida als ulls… | No ens ho traiem del cap,1TacaBYSX9w3KgbRh5IfUq
Tinc Fam de Tu,LaxnBusto,1,sang,"cervell, cor, ulls",Veure sang i li vaig clavar al mig del cor | Vaig veurem la seva sang vaig menjarme el seu servell | Vaig veurem la seva sang vaig menjarma | I tot segit vaig netegar les parets plees de sang | Vaig veuerem la seva sang vaig menjarma,53WgWw6M2fiP3xiRhcFDFk
Però Saps Tu Que,LaxnBusto,1,cor,"cara, mans",Però saps tu que dins el meu cor | Però saps tu que dins el meu cor [...] | Però saps tu que dins el meu cor [...] (x2),6OjjdqBKseTMt71EFmI87H
Nen Surt al Carrer,LaxnBusto,1,cap,,Nen surt cap al carrer,0yKjvt30uJS3oWBNUtLefn
