name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
GRÀCIES,Buhos,1,sobre,,Brilla sobre mí,0pEOVHVyre2UtuQFDza4JY
CÓRRER PELS CAMPS,Oques Grasses,1,dins,enrere,"Va corrent el nen de dins | El riu que m'ha vist créixer, el tinc dins, al costat de la meva gent | Quanta alegria i quanta pena porto a dins?",7aCZM1ApvudN9LTlzgiyAu
Et prometo,Ivan Herzog,1,sobre,,Passarem per sobre dels problemes i així n'aprendrem | Que vola-volarem sobre la por | I vola-volarem sobre la por,5l1IMQfU4XlRKq2mXPXreJ
Estrelles,Max Navarro,1,fora,,Crec que des de fora fas més llum tu sola | Crec que des de fora (Dues estrelles),5LIpGWJvwV07LiR3HakLGb
No vull baixar,Stay Homas,1,enrere,sota,"Si miro enrere | Em quedo enrere | Si miro enrere, no sé",7JkGxiVvS00n6HgCiogAej
Serem ocells,Oques Grasses,2,"dins, lluny",,"I a dins l’aire no ens calen papers | Alça el vol, marxa lluny | I alço el vol, marxo lluny | Marxa lluny",5yJJ16zQeNxoXSgelgILYp
Som Ocells,Nil Moliner,1,enrere,dins,Que ja no els hi cal mirar enrere,3QDHdhc0Xwo6GT9onss4Vc
Alegria,Antònia Font,1,dins,,Cau es sol de s'horabaixa dins s'horitzó | Cau es sol de s'horabaixa dins es meu cor | Per sempre dins sa meva vida,1ia819gHWbLBBYHqK76Yg8
Fins Que Arribi Lalba,Els Catarres,1,fora,sobre,Mentre a fora el món va donant voltes | Tan fora del comú,1pNVZYEWkQfZmYJ5se7XJ9
Transmets Energia,Buhos,1,sobre,,Encén un foc sobre el gel,1PN5u1HFeRKkl74aCmSg0K
Invencibles,Els Catarres,1,lluny,"oest, enrere","Junts, anem més lluny | El desig d'anar més lluny",1w7oNQFyiwexkUohLCDyu9
Elefants,Oques Grasses,1,dins,,"Tinc un cel i un infern a dins | Dins el plany, dins el pla-ai-ai | Tornar a renéixer des de dins el sot",7aMxgxCCbkmtRpNNB5OWgY
Quan Tot Senlaira,Txarango,1,lluny,dins,"Junts podem arribar més lluny, més lluny",5mKFMZpS49vKYImfjZPuWt
Mil Ocells,Txarango,1,sobre,lluny,Estels sobre la pell | Estels sobre la pell (Estels sobre la pell),1ahqBdKQyHrDQcTpRvMrqy
De Bonesh,Oques Grasses,1,sota,"dins, lluny",Cantarem sota la pluja,1IjOIVUM2JLL1mNuXmmL6D
Bancals,Oques Grasses,1,dins,"lluny, sobre",Les males herbes aniran a dins els bancs | Tota la bellesa d’aquest món està a dins teu,1RsBCNUXei3DlWnZ29JyEA
Però Saps Tu Que,LaxnBusto,1,dins,,Però saps tu que dins el meu cor | Però saps tu que dins el meu cor [...] | Però saps tu que dins el meu cor [...] (x2),6OjjdqBKseTMt71EFmI87H
Vas Tot Sol,LaxnBusto,1,sobre,davant,"Per sobre del vent, per sobre del mar | Sobre del fons de tot, per sobre d´aquest món | Sobre del fons de tot, tu saps que estas per sobre d´aquest món!",22ZoTVFoaxPNePgTehWxzg
Històries Curtes,Glaucs,1,dins,,Que ho consumeixen tot dins el teu cap | Has tirat la sort dins un forat,7GVhjbfGPVsxlg3IcNPGEx
Freddie Memorium,Sangtraït,1,dins,,Esperit de dona dins la veu,26qovMJVCe0pIVzFrdR5bP
Camina descalç,Lluís Cartes,2,"enrere, lluny",,"No miris enrere, lluita sol enmig de l'era | Mira lluny, ves corrents, venç les ventades de vells temps",6OH6dIxiAvVdbnv7guyAL9
De Veritat,Blaumut,1,dins,,De veritat que jo només respiro dins d’una cançó | Però està prohibit dins d’un sistema productiu,11XqjUFlr07i3NjZ2iiSzm
Tanca els Ulls,Txarango,1,dins,lluny,"Sé bé què sents posat dins la mateixa guerra | Eh! Quan et plogui a dins vine a casa | Duus a dins inquieta i viva | Recorda, si plou dins teu",2hoxBso1VWz61IB4uIrJWD
En Veu Baixa,OR OERRA,1,dins,,Atrapat dins els llençols | Tenir-te a tu dins sa nit | Vull cercar dins teu | Atrapat dins es llençols | Tenir-te a tu dins la nit,6hPafokbNmztZOfaluCjKy
Paradís,Pèl De Gall,1,dins,endavant,Sa posta dе sol dins la mar | Sa posta de sol dins la mar,5RZNOfCnhURjTFqacuAijj
Ferran Adrià,31 FAM,1,dalt,sota,"Thirty One està a dalt del podi | Thirty One està a dalt del podi (Splash, splash)",6w6yCgdoJynKb4f9g56obz
Em bategues,Ginestà,1,dins,,"Veig com la vida creix dins la meva sang | Perquè vius dins, molt molt endins | A dins del llit, també som un",1lIsCPfVlbIzAnUGbFofM5
Això ja està,Pau Vallvé,1,endavant,enrere,"Ara només mirar endavant | Però sobrеtot als que vindran, endavant | Però sobretot als que vindran, endavant",70w1AtOrWJ518CMVEWcMmK
Avui,Maio,1,sobre,,"Esas miradas son como puñalada' instala's sobre mí | Esas miradas son como puñales, todas sobre (Mi; Uh) | Esas miradas son como puñales, todas sobre mí (Mi; Uh)",5bi5xleG60fFBJBhJAT0CE
Cançó per a mi,Ginestà,1,enrere,"dins, fora","Que es quedi enrere, que tot quedi enrere | Que es quedi enrere | Que tot quedi enrere entre els teus cabells tan fins",2TKoGRLMDmetH5ceiAR12m
FIU FIUUU,MARIA HEIN,1,davant,dins,Quan m'abraces per davant,6UQzXHvkNeUbSUR21E87ew
Ses paraules semporta el vent,Socunbohemio,1,dins,,"I es temps m'ofega dins sa llum | L'he feta dins del meu llit | T'he imaginat dins meus llençols | Que cançó que et cantava, la cantava des de dins",46ZzM0y5yxxlqlWl6YAdke
Ei sents com refila lòliba,El Petit De Cal Eril,1,dins,,Posem-nos dins de l'aigua | Que s'endinsa dins meu | Eren dins del mar i jo n'era un peix | Ara som perletes a dins del femer,0CxlS7iWFTmcm1mqcIQ1yz
QUI SOC JO,Javito,1,lluny,dins,"Qui soc jo, lluny de mi",38QHlcrUHt3jdTPzTyDCOv
Ara Ve Ara Sen Va,Doctor Prats,1,sota,,Però sota els teus peus la terra es mou,6QAp2tTzVRMxdBms8X3CmN
