name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Camila,The Tyets,1,por,,"Amb el sеu Seat Panda, por ai | Amb el seu Seat Panda, por ai | Amb el seu Seat Panda, por ai | Amb el seu Seat Panda, por ai",7Cm5tjS184tqmc2IcoRpvY
CENT PER CENT,Julieta,1,amor,"por, sort","Recordo mil històries, amor meu, les porto amb mi",4DN7qIOgFue3K9mH6sJs6Y
La Roda,Ouineta,1,amor,,,2KL8XmoRxDBrQdyfu39Rzj
LOTUS,Mushkaa,1,amor,,"Però, mi amor, no m'aguanto | Però, mi amor, no m'aguanto (Però, mi amor, no m'aguanto) | Però, mi amor, no m'aguanto | Però, mi amor, no m'aguanto (Però, mi amor, no m'aguanto)",7l9phRNA1AH6lzcZBAVKZw
Moblido doblidarte,Julieta,2,"amor, sort",,El meu primer amor | Va ser l'últim amor | Però per mala sort sempre m'oblido d'oblidar-te | Però per bona sort sempre m'oblidaré d'oblidar-te | Però per mala sort sempre m'oblido d'oblidar-te | Però per bona sort sempre m'oblidaré d'oblidar-te,3mkhUu2vyKNeEZpcAvPl2J
Jean Blau,Julieta,1,por,amor,"Vacil·lo la pista, llo-lloras por una popstar | Vacil·lo la pista, llo-lloras por una popstar | Vacil·lo la pista, llo-lloras por una popstar | Llo-lloras por una popstar | Llo-llo-lloras por una popstar",1P21dQqCpaF9LKXxTuG7Jn
Mon Cheri Go Home,Maria Jaume,1,amor,,Jo no vull un amor de videotrucada | Jo no vull un amor de videotrucada | Jo no vull un amor de videotrucada | Jo no vull un amor de videotrucada,0340Kvl35SM3t1Hg0ReBj4
Només viure,Ginestà,1,amor,"por, cridar",,1JElpM8NFE6PzsTRkca0ru
Jenifer,Els Catarres,1,amor,"por, desig",I lluitarem pel nostre amor prohibit | I lluitarem pel nostre amor prohibit | I lluitarem pel nostre amor prohibit | I lluitarem pel nostre amor prohibit,2MeWCYKsmvPt8HSYVYVEUJ
Trencam el cor,Julieta,1,amor,,,5x1551QSfC7PJhHN753psJ
Agafant lHoritzó,Txarango,1,por,alegria,"Que no ens guanyi la por | A la por i al racisme, calar-hi foc | Que no ens guanyi la por | Que no ens guanyi la por",5YB821pnkkytFH7CpZj9PV
Jenifer,Els Catarres,1,amor,"por, desig",I lluitarem pel nostre amor prohibit | I lluitarem pel nostre amor prohibit | I lluitarem pel nostre amor prohibit | I lluitarem pel nostre amor prohibit,7hiceWoDGGP4RadNyGxRdm
Transmets Energia,Buhos,1,alegria,,,1PN5u1HFeRKkl74aCmSg0K
Agafant LHoritzó,Txarango,1,por,alegria,"Que no ens guanyi la por | A la por i al racisme, calar-hi foc | Que no ens guanyi la por | Que no ens guanyi la por",7McIJl4WBaSynRKQvHtrVO
El Raïm Es Fa Pansa,Doctor Prats,1,por,llàgrimes,"Per por a perdre ens perdem | La por ens fa estar desperts, no vull un mar de llàgrimes | Per por a perdre ens perdem | Per por a perdre ens perdem | Per por a perdre ens perdem | Per por a perdre ens perdem",3nCHTHm5rvLUo5EcQy4boF
TEstimo Molt,LaxnBusto,1,trist,,Si estàs amb mi desapareix tot el que es trist | Si estàs amb mi desapareix tot el que es trist | Si estàs amb mi desapareix tot el que es trist | Si estàs amb mi desapareix tot el que es trist,3FY3W22KrDkkxintD2gpqk
Mami,La Fúmiga,1,feliç,"plorar, sort","Amb tu, mami, mami, jo sóc més feliç | Amb tu, mami, mami, jo sóc més feliç | Amb tu, mami, mami, jo sóc més feliç | Amb tu, mami, mami, jo sóc més feliç, feliç, feliç, feliç, feliç | Amb tu, mami, mami, jo sóc més feliç",1dNkoG4EhPNeiBJpRT15Dc
La Meva Terra És el Mar,LaxnBusto,1,cridar,"amor, boig","Dóna'm força per cridar | Dóna'm força per cridar | Dóna'm força per cridar | Dóna'm força per cridar, que jo sóc de mi | Dóna'm força per cridar, que si l'aigua és amor",3hPC5auJimlAfI0NCdkwsU
Ara,LaxnBusto,1,por,"amor, desig",Quan tinc por quan més por em fa la por | Quan tinc por quan més por em fa la por | Quan tinc por quan més por em fa la por,1sGomTje7YGgxCTkoJpNaG
La Meva Terra és el Mar,LaxnBusto,1,cridar,"amor, boig","Dóna'm força per cridar | Dóna'm força per cridar | Dóna'm força per cridar | Dóna'm força per cridar, que jo sóc de mi | Dóna'm força per cridar, que si l'aigua és amor",2V58oh5emQj22lfn8xaP9I
Blau,LaxnBusto,1,amor,,Que ara surten confesant el meu amor,5VtCwEf4A24olv3aiC578w
La Meva Terra és el Mar,LaxnBusto,1,cridar,"amor, boig","Dóna'm força per cridar | Dóna'm força per cridar | Dóna'm força per cridar | Dóna'm força per cridar, que jo sóc de mi | Dóna'm força per cridar, que si l'aigua és amor",010M4IvhwUUNuuuRUTLWBm
Ara,LaxnBusto,1,por,"amor, desig",Quan tinc por quan més por em fa la por | Quan tinc por quan més por em fa la por | Quan tinc por quan més por em fa la por,2qLzG4AH1kvx4W4YyMrauZ
Johnny El Melenes,LaxnBusto,1,sort,orgull,No tothom té la sort de poder fer-ho | No tothom té la sort de poder estar a Mart amb una tia | I la mala sort que allí et segueixi la policia | Quina sort teniu nenes | Quina sort teniu nenes,1AqYaH0dIyOdnRakFIvgZz
Testimo Molt,LaxnBusto,1,trist,,Si estàs amb mi desapareix tot el que es trist | Si estàs amb mi desapareix tot el que es trist | Si estàs amb mi desapareix tot el que es trist | Si estàs amb mi desapareix tot el que es trist,5FHcAaKGHu5MI0oN7FoJWg
Transmets Energia,Buhos,1,alegria,,,0KgMBD1JpkaZyBYpKeE0L9
Testimo Molt Live,LaxnBusto,1,trist,,Si estàs amb mi desapareix tot el que es trist | Si estàs amb mi desapareix tot el que es trist | Si estàs amb mi desapareix tot el que es trist | Si estàs amb mi desapareix tot el que es trist,1WFtrR8vfb77y3hIoSkNh2
Avui fas anys,Dijous Paella,1,sort,,Et desitgem sort i salut | Et desitgem sort i salut | Et desitgem sort i salut | Et desitgem sort i salut,3fRcvnxXF9OmDdepqhG3CE
El Far del Sud,Sopa De Cabra,1,amor,"trist, dolor, sort",Et donaria amor si poguessis tornar-me'n | Et donaria amor si ens poguéssim mirar | Et donaria amor si poguessis tornar-me'n | Et donaria amor si ens poguéssim mirar | Et donaria amor si poguessis tornar-me'n | Et donaria amor si pogués ser veritat | Et donaria amor | Et donaria amor si vulguessis quedar-te,5BJUPXEuhz6jEFdvmEXdof
Aniversari,Manel,1,desig,,"""Que demani un desig, que demani un desig"" | Els teus ulls cavalcaven buscant un desig | I accedir al teu desig travessant la paret del llagrimal | I ja dins del desig veure si hi ha bon ambient",1mmaYXKNMnxGgk3iHCTF9R
No Mho Esperava,Miki Núñez,1,sort,amor,"No m'ho esperava, he trobat la sort | No m'ho esperava, he trobat la sort | No m'ho esperava (no m'ho esperava), he trobat la sort (he trobat la sort)",1vWvHjvmZozcUdJDGJ1K9y
Barcelona Tropical,Suu,1,amor,,,2ErHtz3KH5W8OEpnXFagC6
Quan caminàvem,Aspencat,1,amor,por,El nostre amor serà la clau que obri tots els panys,3dx71UjqkLL9RuMCSQciFa
