name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
No tenyoro,Manel,1,home,,Soc un home nou (Soc un home nou),00pZ6RqwiGJIRtF3b1Eg0z
La Roda,Ouineta,1,dona,tia,No m'expliquis que voldries fer-li a una altra dona,2KL8XmoRxDBrQdyfu39Rzj
Stay Homa,Stay Homas,1,home,,Please stay home | Please stay home,3GbyRmZVxkVpCGMs8qcqXz
Menorca,The Tyets,1,cap,home,Anem ja cap a iguana | Que miris cap a on miris hi ha germans | És dijous de camisa i al cap un mocador,6ktnF4Y4TNzaDTylC92DL8
Inevitable,Oques Grasses,1,cap,,No ens ho traiem del cap,1TacaBYSX9w3KgbRh5IfUq
Nen Surt al Carrer,LaxnBusto,1,cap,déu,Nen surt cap al carrer,0yKjvt30uJS3oWBNUtLefn
LHome Que Dobla En Bruce Willis,Els Amics De Les Arts,1,home,amic,"El nostre home té una idea, no si val dubtar",57Xa6Q5hun6l93cg4IeMpQ
Armengol,Els Amics De Les Arts,1,cap,,En el seu cap quin guirigall,6FUGgjmRK5DeyS8epqk80w
Miralls Trencats,Glaucs,1,cap,,Són il·lusions del cap,2CXidlGWQFlpK10TcYUhaC
En sestiu,Antònia Font,1,mare,,I és que estic de puta mare,5dpoGuFGb01syYB4ZXcgk8
La Rosa,Manu Guix,1,home,cap,"My youngin' just did a twelve, he home, he ringing bells | My little man just came home doing 5 so I gave him 50 | And act like you niggas really from home | Now I'm home, we see what's up then (Home now)",1t3KKxExWyqXvkElTvFSti
Casa nostra,Cor,1,noi,,Frate noi adesso voliamo (nah) | Quando poi senti old school moderati diamante fra al dito noi 20 karati | Che frate noi adesso voliamo | Tipo frate noi adesso voliamo | Che frate noi adesso voliamo (eih) | Con Coli noi c'è ne fottiamo (uoh) | Tipo frate noi adesso voliamo (nah) | Che frate noi adesso voliamo (nah),2xWONZoeBFf2pWY9igre8D
