name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Imagina,Flashy Ice Cream,1,dos,un,"Una casa i dos bebés amb barretina | Descansarem en pau com dos herois als camps elisis | Una casa i dos bebés amb barretina | Baby, ens imagino els dos vellets com avis | Una casa i dos bebés amb barretina",7IKwf3Y2TQ3jdiRIAetdOC
Un petonet,The Tyets,2,"dos, tres","zero, un, set, vint",A les tres només quedàvem els dos | Teníem dos i feiem tres | A les tres només quedàvem els dos | Els dos sols d’amagat | A les tres només quedàvem els dos | A les tres només quedàvem els dos | Teníem dos i feiem tres | A les tres només quedàvem els dos | A les tres només quedàvem els dos,778GQ3Md4lKITSgMPdHU1l
Si ho deixéssim tot,The Tyets,1,dos,,Només nosaltres dos | Només nosaltres dos | Només nosaltres dos | Només nosaltres dos,2TzGyJSmcxF3qHRmstH5tJ
estaré millor demà,MARLENA,1,tres,un,Que estic millor que fa tres setmanes | Que estoy mejor que hace tres semanas | Que estic millor que fa tres setmanes | Que estoy mejor que hace tres semanas | Que estic millor que fa tres setmanes | Que estoy mejor que hace tres semanas,5yDkYYyN5RpnWWJCK3xu7A
Som Ocells,Nil Moliner,1,dos,,Som com dos ocells a dins a nit | Som com dos ocells que volen alt | Som com dos ocells a dins a nit | Som com dos ocells que volen alt | Som com dos ocells a dins a nit | Som com dos ocells que volen alt,3QDHdhc0Xwo6GT9onss4Vc
Volcans,Buhos,1,dos,,La llum al cel com dos volcans en erupció | La llum al cel com dos volcans en erupció | La llum al cel com dos volcans en erupció | La llum al cel com dos volcans en erupció,5AnPNGsEt7cOjSGmBDq8e2
Som Ocells,Nil Moliner,1,dos,,Som com dos ocells a dins a nit | Som com dos ocells que volen alt | Som com dos ocells a dins a nit | Som com dos ocells que volen alt | Som com dos ocells a dins a nit | Som com dos ocells que volen alt,6cX6NxkQfz67Zq0FtlnOJf
Volcans,Buhos,1,dos,,La llum al cel com dos volcans en erupció | La llum al cel com dos volcans en erupció | La llum al cel com dos volcans en erupció | La llum al cel com dos volcans en erupció,6kp5vm0qtmsG6YTLaWcsoo
LHome Que Treballa Fent De Gos,Els Amics De Les Arts,1,un,deu,"I fa un vistasso a les revistes | Irromp a la festa amb un pastís cantant ""Cumpleaños Feliz"" | I un ós i flors i un dinosaure | Fa un senyal a la mestressa | Que el convida a prendre un cafetó, mentre li firma el taló | I un ós i flors i un dinosaure | I un ós i flors i un dinosaure | I un ós i flors i un dinosaure (I un ós i flors i un dinosaure) | I un ós i flors i un dinosaure | I un ós i flors i un dinosaure",36yV4rgw4Gl4VCFBRCd0iM
LHome Que Treballa Fent De Gos,Els Amics De Les Arts,1,un,deu,"I fa un vistasso a les revistes | Irromp a la festa amb un pastís cantant ""Cumpleaños Feliz"" | I un ós i flors i un dinosaure | Fa un senyal a la mestressa | Que el convida a prendre un cafetó, mentre li firma el taló | I un ós i flors i un dinosaure | I un ós i flors i un dinosaure | I un ós i flors i un dinosaure (I un ós i flors i un dinosaure) | I un ós i flors i un dinosaure | I un ós i flors i un dinosaure",4znP8CTxKfkbUEoW4ujin6
Vivim la nit,Ivette Nadal,1,dos,,Pugem les escales de dos en dos | Que aviat ja no en serem dos | Pugem les escales de dos en dos,4rDcJiz4xcvtwLK6UmcMQ0
Tot Està per Fer,Acció,1,mil,,"Ballarem amb son, amb la son pintarem esperança de mil i un colors, de mil i un colors | Ballarem amb son, amb la son pintarem esperança de mil i un colors, de mil i un colors",17IrhV0fINXu3GCA3Ssz4Y
Milionària,ROSALÍA,1,cent,"un, dos",Només vull veure bitllets de cent | Només vull veure bitllets de cent | Només vull veure bitllets de cent | Només vull veure bitllets de cent | Només vull veure bitllets de cent | Només vull veure bitllets de cent | Només vull veure bitllets de cent | Només vull veure bitllets de cent,2K3bjojp1sCLdMMoO5lJ2p
Si ho deixéssim tot,The Tyets,1,dos,,Només nosaltres dos | Només nosaltres dos | Només nosaltres dos | Només nosaltres dos,1mCKeztD2s1FJLRAWw1xVk
Illes Dins dun Riu,Tomeu Penya,1,un,nou,Era un sentiment tot nou | Cada cop del meu cor és un sentiment tot nou | Vine lluny amb mi a un altre món | Vine lluny amb mi a un altre món,3fPuZeRTy3dpNxRg7DFWNq
sant llorenç,Jo Jet i Maria Ribot,1,tres,,,3uVSYW5PviFsTdSadKSAuf
I Tu Sols Tu,El Diluvi,2,"tres, cinc",,Seràs la tres voltes rebel | Seràs la tres voltes rebel | Seràs la tres voltes rebel | Seràs la tres voltes rebel | Faràs vibrar cinc continents | Faràs vibrar cinc continents | Faràs vibrar cinc continents | Faràs vibrar cinc continents,6zEalal8yQMDXf5TqADTtm
Quin dia feia amics,Manel,1,dos,tres,"Un, dos | Un, dos, tres, qua— | Que hi ha entre els dos, que hi ha entre els dos",3oVbmjT5sAwbyPDbynqA7A
Estiu,ZOO,1,set,mil,"Jo tinc set de vida, no de fama | Jo tinc set de vida, no de fama | Jo tinc set de vida, no de fama | Jo tinc set de vida, no de fama",2IFTKzkdw6XmFlJQiWvHVk
Bon Dia Vida,Gertrudis,1,nou,,"L’endemà és un món nou, ja ha començat | Bon dia de nou aquest món | Bon dia de nou aquest món | Bon dia de nou aquest món | Bon dia de nou aquest món",3gvO67PZ4VIEfeSi68Cc46
sant llorenç,Jo Jet i Maria Ribot,1,tres,,,0TLIZcxS8ZiZJNatOCCA2R
Vola,Txarango,1,mil,,He assaltat dos-cents mil trens | S'han apagat mil i una nits darrere l'aigua clara | He assaltat dos-cents mil trens,4jFoAHaZtbEoZ6OlfvKgTJ
estaré millor demà,MARLENA,1,tres,un,Que estic millor que fa tres setmanes | Que estoy mejor que hace tres semanas | Que estic millor que fa tres setmanes | Que estoy mejor que hace tres semanas | Que estic millor que fa tres setmanes | Que estoy mejor que hace tres semanas,5Iqlweh4ibz1itUOrWHaxo
El senyal que esperaves,Els Amics De Les Arts,1,dos,mil,"Escriurem el final tots dos | Escriurem el final tots dos | Escriurem el final tots dos | Escriurem el final tots dos, lluny d’aquí",5RIsRiZ1u2gfVREW1FPSD3
Les mosques,Ginestà,1,dos,,Però si les mosques viuen dos dies | I si lеs mosques viuen dos dies | Però si les mosques viuen dos dies | I si les mosques viuen dos dies | I si les mosques viuen dos dies,5UC43c7RBHqupP0kLXHwqU
Sushi Poke,The Tyets,1,un,,Que per un cop a l’any | Veiem-nos un cop a l’any | I és només un cop a l’any | Que per un cop a l’any | S’ha comprat un vestit a la costa | Veiem-nos un cop a l’any | I és només un cop a l’any | Que per un cop a l’any,1QvLkhsBtpBFHEz9GxX2zb
