name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Imagina,Flashy Ice Cream,1,casa,"món, llit, país",Una casa i dos bebés amb barretina | Tu no saps les ganes que tinc de pagar-li una casa als meus pares,7IKwf3Y2TQ3jdiRIAetdOC
Si ho deixéssim tot,The Tyets,1,món,,Agaféssim un dia i ens pirem pel món,2TzGyJSmcxF3qHRmstH5tJ
Avions volant,Julieta,1,cel,,Al cel dibuixant | El cel blau no està pintat,15Q0nVMGSUJJWsRcEvk6ik
Volcans,Buhos,2,"món, cel",,Com si a la nit avui se’ns acabes el món | La llum al cel com dos volcans en erupció,5AnPNGsEt7cOjSGmBDq8e2
Tot Anirà Bé,Joan Dausà,1,món,"llit, habitació, hotel",I ara el món em diu,38brAbae4eGYFIGX6JmtXB
Barcelona Sillumina,Buhos,1,ciutat,barri,A un racó de la ciutat | En un racó de la ciutat,45QIyRw4u7swlisLopddtX
Fil de Llum,Andreu Rifé,1,món,,"Que el món continuaria igual si jo no fos aquí | La vida, el món t'espera | Que el món està girat",0dGhSrwTAdfdVG1pDGiLJR
Transmets Energia,Buhos,1,cel,,La vida et regalarà instants al cel,1PN5u1HFeRKkl74aCmSg0K
Menorca,The Tyets,1,platja,"casa, llit","Sona un ukelele, veiem la platja al fons | Quedem tots a la platja i se lia | So so sona un ukelele, veiem la platja al fons",6ktnF4Y4TNzaDTylC92DL8
GOSSEJAR,Oques Grasses,1,cel,llit,"Els teus petons, caiguts del cel | Els teus petons caiguts del cel",1d3DPqoEREz6183cOQDsJm
Ara,LaxnBusto,1,món,,Sento que mhan pres un tros de món | Imagina un món en vida,1sGomTje7YGgxCTkoJpNaG
El Pagés,LaxnBusto,1,carrer,"casa, poble",El va fer fora i al carrer va anar a parar | I allí al carrer on volen les veus | El carrer a l'hivern es fa dur i etern | I al carrer et faran anar,0AFWysHzg2eavYpVCHz0ow
Toc de Plor,LaxnBusto,1,país,,Viatjar de país en país. (x2),0BXIDLpVkvJmbBPmHS1Jzq
Vas Tot Sol,LaxnBusto,1,món,,"Sobre del fons de tot, per sobre d´aquest món | Sobre del fons de tot, tu saps que estas per sobre d´aquest món!",22ZoTVFoaxPNePgTehWxzg
Chingao,Buhos,1,bar,,Aake to dekho ek bar china town | Aakе to dekho ek bar china town,6fSbnOrvkwwU5WCpjDNMSc
El Far del Sud,Sopa De Cabra,1,món,"casa, ciutat",Aquella història va canviar-li el món | Et donaria el món si poguessis parlar-me | L'habitaciú es transforma en un món nou | Et donaria el món si poguessis mirar,5BJUPXEuhz6jEFdvmEXdof
Vivim la nit,Ivette Nadal,1,cel,,Mirant el cel,4rDcJiz4xcvtwLK6UmcMQ0
LIlla,Gossos,1,món,,Vius en un món que canvia | Contemplarem el món des d'un miratge | Vull canviar el món amb tu si vols... (x2),50iczgZuJZAmWgAHTggKQZ
Tanca els Ulls,Txarango,1,casa,llit,I casa nostra és un tros de temps | Eh! Quan et plogui a dins vine a casa | Que quan siguis lluny una cançó et torni a casa,2hoxBso1VWz61IB4uIrJWD
Farem que Surti el Sol,Sopa De Cabra,1,món,cel,"Miro a fora, el món calla | Mira el món com balla | Com segueix callant el món | Sents el món com calla | Sents el món com balla",0rEUGnGFakwxI2LxaMx9rY
No Vam Saber Tornar,Els Amics De Les Arts,1,món,,Rècord del món en absurditat,3WuUV21FU3L2TP6Yi5WZtG
Som Foc,Txarango,1,món,,"Portem a dins el crit d'un món que desespera | Explicant batalles, somiant un altre món | Lluny dels problemes del món | Un món que balla avui és un món millor",0Ts9pYRmCiyAEF1yqNtgfa
Metres per segon,Da Souza,1,món,,I gira tant el món | Gira tant el món,3q5zVNUXgR3BUjFHiZAIfX
Batega,Txarango,1,món,"ciutat, cel","Que algú a l'altre costat del món les estigués mirant també | Imagina que gira el món sencer | Que a fora s'ensorri el món, que caiguin mil tempestes | Que s'ensorri el món",4Jn1yhb0eMiS1MVs5KsNOb
Rumba De Barcelona,Gato Pérez,1,carrer,"món, poble",La Rumba neix al carrer,37enJgsRqIrhOlEFniMd7j
Perquè He Plorat,Dagoll Dagom,1,món,,Que el món és una meravella | Veig que en el món la gent s'odia | Però en aquest món cruel i sord | Hi ha algú que porta un món tan nou,5vRHAzn01j14aBPc19fJAW
Bon Dia Vida,Gertrudis,1,món,"carrer, ciutat, llit, cel","L’endemà és un món nou, ja ha començat | Bon dia a cada cos del món que avui respira | Bon dia de nou aquest món",3gvO67PZ4VIEfeSi68Cc46
Serrallonga,Lildami,1,cel,món,Una bala al cel,0dd95HhOJwjCqG6TzCRTux
Bona Vida,Flashy Ice Cream,1,llit,"casa, carrer, platja",Però és que amb tu nai t'ho he de dir jo si al meu llit vols quedar-te | Necessito anestèsia al meu cos per poder anar al llit,60NiTRZhf2nhmgghPRbNET
Quan em tornes a mirar,Flashy Ice Cream,1,món,cel,I se'm para el món quan em tornes a mirar | I se’m para el món quan em tornes a mirar,0xIAUUb8lvF1gVfg1BsOUB
Atracció Magnètica,Flashy Ice Cream,1,llit,,"Els dos al llit, aquí no hi cap el que et preocupa | Al meu llit t'has instal·lat com un okupa",6HGRLNyJ4cgsDmwDUawQQc
La Rosa,Manu Guix,1,bar,"club, hospital","From the first bar down to the last syllable | Omnivorous with the flow, it don't matter which bar I bit you with | Return of the barbaric barbarian bar spitter | Bar 9 bar guns ballin' like Bar Mitzvah | You bar 9, your bars done, I'm Barific | Cooked like a bar & grill, I spit these bars in your grill | My bars mention muscle bars, I'm bar benchin' | Every bar has a plot and these lines are configurate",1t3KKxExWyqXvkElTvFSti
Nit freda per ser abril,Manel,1,casa,ciutat,"Ell la vol treure a ballar, ella se'l vol endur a casa | I tindriem fills ben forts i una casa amb balconada | No s'està enlloc com a casa (No s'està, no s'está enlloc com a casa; no s'està enlloc com a casa) | No s'està enlloc com a casa (No s'está, no s'està enlloc com a casa; la nit seria tan llarga, no s'està enlloc) | No s'està enlloc com a casa (La Maria) | No s'està enlloc com a casa (De costat en una barra) | No s'està enlloc com a casa",2Hjl1hTJTSubmZz5lR0xnK
Es teus ulls davant la mar,MARIA HEIN,1,cel,carrer,I el cel reflexat | Un cel rosat | Un cel ben clar,1Y8yLQOXxCzCdJDsUcbhnn
