name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Petarho,Oques Grasses,1,merda,,Tan merda i tan bonic | Tan merda i tan bonic | Tan merda i tan bonic | Tan merda i tan bonic,1MSDGd04edeapRQl0j78lj
Tintin,Els Catarres,1,cul,"puta, cony, puta",No tinc ningú que em salvi el cul | No tinc ningú que em salvi el cul | No tinc ningú que em salvi el cul | No tinc ningú que em salvi el cul | No tinc ningú que em salvi el cul | No tinc ningú que em salvi el cul,1bzvpvkhOTzHeFPxAepFZt
Ventiladors,ZOO,1,merda,,"Que esguiten merda, merda per a tots! | Volien merda i tenen Raval | Que esguiten merda, merda per a tots! | Que esguiten merda, merda per a tots!",0M25X6yEbmDd40kH7bxjLf
Petarho,Oques Grasses,1,merda,,Tan merda i tan bonic | Tan merda i tan bonic | Tan merda i tan bonic | Tan merda i tan bonic,6uA2ws8LIx8zUMEsBwEWAA
Petarho,Oques Grasses,1,merda,,Tan merda i tan bonic | Tan merda i tan bonic | Tan merda i tan bonic | Tan merda i tan bonic,1sgYwBdUqLIXiQeXnLrUVa
Bancals,Oques Grasses,1,merda,,"I a sobre la merda que ens venen | A la merda tot, a la merda tot | A la merda tot, a la merda tot | I a la merda tot, a la merda tot",1RsBCNUXei3DlWnZ29JyEA
Una Altra Vegada,LaxnBusto,1,merda,,Aquesta merda em posa bé! | Veus realment que un merda ets tu | Aquesta merda em posa bé! | Aquesta merda em posa bé!,24hvbFediI4WmtA0LEQPP3
Una Altra Vegada,LaxnBusto,1,merda,,Aquesta merda em posa bé! | Veus realment que un merda ets tu | Aquesta merda em posa bé! | Aquesta merda em posa bé!,1cWRKjQSAdiKiXm5rStSy4
En sestiu,Antònia Font,2,"puta, puta",,I és que estic de puta mare | I és que estic de puta mare | I és que estic de puta mare | I és que estic de puta mare | I és que estic de puta mare | I és que estic de puta mare | I és que estic de puta mare | I és que estic de puta mare | I és que estic de puta mare | I és que estic de puta mare | I és que estic de puta mare | I és que estic de puta mare,5dpoGuFGb01syYB4ZXcgk8
tota la vida,Iglú,2,"puta, puta",,Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida... | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida... | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida... | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida... | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida... | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida... | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida... | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida... | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual | Toda la puta vida igual,7ofUma7jeWAAc7AWMnvagX
Bancals,Oques Grasses,1,merda,,"I a sobre la merda que ens venen | A la merda tot, a la merda tot | A la merda tot, a la merda tot | I a la merda tot, a la merda tot",0q1TD0i8SaMHUw7Zfp9hKN
Ventiladors,ZOO,1,merda,,"Que esguiten merda, merda per a tots! | Volien merda i tenen Raval | Que esguiten merda, merda per a tots! | Que esguiten merda, merda per a tots!",2bYdFvFow6fNIJL3XpvDbo
Casa nostra,Cor,1,merda,,Dopo 2 barre che scrive la mia scuderia frate si dopo ne riparliamo  Questa merda è casa nostra (eih) | Non mi fotti cazzo sfotti vedo questa merda con quella tua fratello te lo dico si peggiora e zitto | Dopo 2 barre che scrive la mia scuderia frate si dopo ne riparliamo  Questa merda è casa nostra (eih) | Dopo 2 barre che scrive la mia scuderia frate si dopo ne riparliamo  Questa merda è casa nostra (eih) | Questa merda è casa nostra (eih),2xWONZoeBFf2pWY9igre8D
Ventiladors,ZOO,1,merda,,"Que esguiten merda, merda per a tots! | Volien merda i tenen Raval | Que esguiten merda, merda per a tots! | Que esguiten merda, merda per a tots!",32ZpKHVbjtK5NZDKRZkbVq
