name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
ARTIFICIAL REMIX,FADES,1,cotxe,,Dins del cotxe perquè neva | Dins del cotxe perquè neva | Dins del cotxe perquè neva | Dins del cotxe perquè neva,3jsN5AUIThFnZ6V30i8SAz
Jenifer,Els Catarres,1,cotxe,,"Jo que penso que en Serrat sempre ha estat un traïdor, al meu cotxe només sona Lluïs Llach | Oh Jenifer, em tunejaré el cotxe per tu | Oh Jenifer, em tunejaré el cotxe per tu | Oh Jenifer, em tunejaré el cotxe per tu",2MeWCYKsmvPt8HSYVYVEUJ
Jenifer,Els Catarres,1,cotxe,,"Jo que penso que en Serrat sempre ha estat un traïdor, al meu cotxe només sona Lluïs Llach | Oh Jenifer, em tunejaré el cotxe per tu | Oh Jenifer, em tunejaré el cotxe per tu | Oh Jenifer, em tunejaré el cotxe per tu",7hiceWoDGGP4RadNyGxRdm
JUBILARME,Oques Grasses,1,vaixell,,"No vull un vaixell, dona'm il·lusió | No vull un vaixell, dona'm il·lusió | No vull un vaixell, dona'm il·lusió | No vull un vaixell, dona'm il·lusió",4g2Peylir906x3OLl4smjm
JUBILARME,Oques Grasses,1,vaixell,,"No vull un vaixell, dona'm il·lusió | No vull un vaixell, dona'm il·lusió | No vull un vaixell, dona'm il·lusió | No vull un vaixell, dona'm il·lusió",5NnVYDzchKktmiDCGZgvtd
En sestiu,Antònia Font,1,barca,,Sa barca va on vol | Estirat damunt sa barca | Allargat damunt sa barca | En de dia trec sa barca | Allargat damunt sa barca | Allargat damunt sa barca,5dpoGuFGb01syYB4ZXcgk8
Jenifer,Els Catarres,1,cotxe,,"Jo que penso que en Serrat sempre ha estat un traïdor, al meu cotxe només sona Lluïs Llach | Oh Jenifer, em tunejaré el cotxe per tu | Oh Jenifer, em tunejaré el cotxe per tu | Oh Jenifer, em tunejaré el cotxe per tu",5w0FYsvzrDzZ3x8RncVOel
La meva sort,Ginestà,1,vol,,Però el vol de l'oreneta em guia | Però el vol de l'oreneta em guia | Però el vol de l'oreneta em guia | Però el vol de l'oreneta em guia | Però el vol de l'oreneta em guia lluny,2VOwxQnBFyAYRsRKtO9zbm
Atracció Magnètica,Flashy Ice Cream,1,taxi,,"Nena, disfruta, tu el taxi i jo la hookah | Nena, disfruta, tu el taxi i jo la hookah | Nena, disfruta, tu el taxi i jo la hookah | Nena, disfruta, tu el taxi i jo la hookah | Nena, disfruta, tu el taxi i jo la hookah | Nena, disfruta, tu el taxi i jo la hookah | Nena, disfruta, tu el taxi i jo la hookah | Nena, disfruta, tu el taxi i jo la hookah",6HGRLNyJ4cgsDmwDUawQQc
ARTIFICIAL REMIX,FADES,1,cotxe,,Dins del cotxe perquè neva | Dins del cotxe perquè neva | Dins del cotxe perquè neva | Dins del cotxe perquè neva,1xi88cfy0nfuSZHXsmng7S
La meva sort,Ginestà,1,vol,,Però el vol de l'oreneta em guia | Però el vol de l'oreneta em guia | Però el vol de l'oreneta em guia | Però el vol de l'oreneta em guia | Però el vol de l'oreneta em guia lluny,01q7SgslZuHOGFkuzcIZgS
Jenifer,Els Catarres,1,cotxe,,"Jo que penso que en Serrat sempre ha estat un traïdor, al meu cotxe només sona Lluïs Llach | Oh Jenifer, em tunejaré el cotxe per tu | Oh Jenifer, em tunejaré el cotxe per tu | Oh Jenifer, em tunejaré el cotxe per tu",2WOTHXKXl7iQGyvNj2g5kV
