name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
CENT PER CENT,Julieta,1,estrella,,Una estrella que només neix si s'incendia | Una estrella que només neix si s'incendia | Una estrella que només neix si s'incendia | Una estrella que només neix si s'incendia,4DN7qIOgFue3K9mH6sJs6Y
La mar,NINGÚ,1,estrella,mar,,5BXMlOutyriwuCSEk73xBs
Espurna,Stay Homas,1,llum,sol,"La llum al fons del pou, brilla més que una espurna | I reflexa la llum de la lluna | La llum al fons del pou, brilla més que una espurna | I reflexa la llum de la lluna",0YLvq215pAthBeTs5qp5yg
Només viure,Ginestà,1,mar,cel,Si el mar és l'amor jo soc el mar | Si el mar és l'amor jo soc el mar | Si el mar és l'amor jo soc el mar | Si el mar és l'amor jo soc el mar,1JElpM8NFE6PzsTRkca0ru
Avions volant,Julieta,1,cel,,Al cel dibuixant | Al cel dibuixant | Al cel dibuixant | Al cel dibuixant | El cel blau no està pintat | El cel blau no està pintat,15Q0nVMGSUJJWsRcEvk6ik
Bicicletes,Blaumut,1,llum,arbre,Bicicletes sense llum,5EiZgiIaQ55WLhF5kMTx00
Agafant lHoritzó,Txarango,1,mar,"foc, terra","Gent de mar, de rius i de muntanyes | Gent de mar, de rius i de muntanyes | Gent de mar, de rius i de muntanyes | Gent de mar, de rius i de muntanyes | Gent de mar, de rius i de muntanyes | Gent de mar, de rius i de muntanyes | Gent de mar, de rius i de muntanyes | Gent de mar, de rius i de muntanyes | Gent de mar, de rius i de muntanyes",5YB821pnkkytFH7CpZj9PV
Volcans,Buhos,2,"cel, llum","foc, volcà",La llum al cel com dos volcans en erupció | La llum al cel com dos volcans en erupció | La llum al cel com dos volcans en erupció | La llum al cel com dos volcans en erupció | La llum al cel com dos volcans en erupció | La llum al cel com dos volcans en erupció | La llum al cel com dos volcans en erupció | La llum al cel com dos volcans en erupció,5AnPNGsEt7cOjSGmBDq8e2
Transmets Energia,Buhos,3,"foc, gel, cel",,Encén un foc sobre el gel | Encén un foc sobre el gel | Encén un foc sobre el gel | Encén un foc sobre el gel | Encén un foc sobre el gel | Encén un foc sobre el gel | Encén un foc sobre el gel | Encén un foc sobre el gel | La vida et regalarà instants al cel | La vida et regalarà instants al cel | La vida et regalarà instants al cel | La vida et regalarà instants al cel,1PN5u1HFeRKkl74aCmSg0K
Boig Per Tu,Sau,1,llum,"pluja, terra","Reflexada la teva llum, me la beuré | Ebri d'aquesta llum | Reflexada la teva llum, me la beuré | Reflexada la teva llum, me la beuré",5gtwBFz91hNzSpSSiSmTvA
Agafant LHoritzó,Txarango,1,mar,"foc, terra","Gent de mar, de rius i de muntanyes | Gent de mar, de rius i de muntanyes | Gent de mar, de rius i de muntanyes | Gent de mar, de rius i de muntanyes | Gent de mar, de rius i de muntanyes | Gent de mar, de rius i de muntanyes | Gent de mar, de rius i de muntanyes | Gent de mar, de rius i de muntanyes | Gent de mar, de rius i de muntanyes",7McIJl4WBaSynRKQvHtrVO
Les Coses Senzilles,Txarango,1,vent,terra,Som de vent i ales | Som de vent i ales | Som de vent i ales | Som de vent i ales,0BnwoPXM88SdUwj5WwKvxc
El Raïm Es Fa Pansa,Doctor Prats,1,mar,,"Fins que l’aigua arriba al mar no descansa | La por ens fa estar desperts, no vull un mar de llàgrimes | Vull estar la mar de bé, però no puc saltar-me aquestes pàgines, perquè | Fins que l’aigua arriba al mar no descansa",3nCHTHm5rvLUo5EcQy4boF
Mediterrània,La Fúmiga,1,tempesta,"mar, terra, ona, llum","Meditеrrània és la tempesta | Mediterrània és la tempesta | Creuar la tempesta, la pena, la ona, la cresta | Mediterrània és la tempesta",6PSa8yVwOCDUteo1trGtUm
