Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"SORT DE TU","Oques Grasses","Fruit del Deliri","Català","Playlist","ES71G2406653","054BhpaxELmhu24ECqU8un"
"Tutu Turú","Siderland","Tutu Turú","Català","Playlist","ES17D2502987","0nMNmyhAnUSNNJ8YjzCnWA"
"a la freSka","Figa Flawas","a la freSka","Català","Playlist","QMBZ92588679","1lvBVtU6beiq5UzUZRDHfk"
"GRÀCIES","Buhos","GRÀCIES","Català","Playlist","US6R22570589","0pEOVHVyre2UtuQFDza4JY"
"Inigualable","Max Navarro","Inigualable","Català","Playlist","ES61A2630021","4HilSPgYbcZdtR6bJDGkF8"
"Des de lluny","Ivan Herzog","Des de lluny","Català","Playlist","QM6P42665573","2JFTbiGHVX4KuWrx0ovGn0"
"Un altre cop","Miki Núñez","Un altre cop","Català","Playlist","ES5952507322","1uVxeC2DdSbPFcwOdhYMfs"
"DIUMENGE SENSE DRAMA","Els Catarres","DIUMENGE SENSE DRAMA","Català","Playlist","QM6P42679370","2kYWt6YP1M6gFCgpErIkIu"
"Paisatges Diferents","Joan Rafart","Paisatges Diferents","Català","Playlist","USCGJ2696490","4rGiu9RrEF5G1Fqv6JgvWI"
"Perdre el cap","Ginestà","Perdre el cap","Català","Playlist","QM4TX2672051","0y5LTiNgYzGXTzPVFTQSko"
"VULL PERQUÈ NO PUC","Maig","VULL PERQUÈ NO PUC","Català","Playlist","ES5152600121","73bHFQCZegTakTGrJHrWeT"
"cançó de primavera","Rigoberta Bandini","cançó de primavera","Català","Playlist","QM6MZ2657043","5O9TTc0MbzONEZjSMxQAqe"
"CÓRRER PELS CAMPS","Oques Grasses","Fruit del Deliri","Català","Playlist","ES71G2406647","7aCZM1ApvudN9LTlzgiyAu"
"LA MARINA STA MORENA","Figa Flawas","LA MARINA STA MORENA","Català","Playlist","ES71G2416276","0HIbm4W6C8Ar2Cnen0tE44"
"Et prometo","Ivan Herzog","Et prometo","Català","Playlist","ESA092505428","5l1IMQfU4XlRKq2mXPXreJ"
"Camila","The Tyets","Camila","Català","Playlist","ES84D2500038","7Cm5tjS184tqmc2IcoRpvY"
"NO VULL DESPERTAR","Buhos","NO VULL DESPERTAR","Català","Playlist","QMFME2532796","5lthjy7KCQZ1szrp1r9QJJ"
"Estrelles","Max Navarro","Estrelles","Català","Playlist","QMFMG2594773","5LIpGWJvwV07LiR3HakLGb"
"Amb un somriure","Joan Rafart","Amb un somriure","Català","Playlist","GX89G2254572","3tF8kSlAjNjXpSFEeR3csO"
"Seria bonic","Joan Dausà","IMMORTALS","Català","Playlist","ES51G2600024","2dYgWhVAx08DX1FdTtNfti"
"PENJAT","BUBU348","PENJAT","Català","Playlist","ES17E2520142","5LH5D3wyQiFBRs1PDUUyjK"
"L'últim petó i el primer","Miki Núñez","L'últim petó i el primer","Català","Playlist","ES5952507225","4oqKG8gAa1sulMIiokvfaL"
"PAÍS ESTRANY","Els Catarres","PARACAIGUDISTES","Català","Playlist","ES71G2510500","3GOUFzx8TuvIp422z2npOS"
"Si tu vols","Lluís Arruga","Un artefacte de nostàlgia","Català","Playlist","QZWFR2652224","0R1zFqUawrdqDF0GqcEVXW"
"RED FLAGS","Julen","RED FLAGS","Català","Playlist","ES5952507338","3e2V93sJA5625KQaS0Tx37"
"CENT PER CENT","Julieta","CENT PER CENT","Català","Playlist","ES5022600038","4DN7qIOgFue3K9mH6sJs6Y"
"Avui","Miki Núñez","Avui","Català","Playlist","ES5952507185","7hL6vcj0fRSOV4er8jfqya"
"Imagina","Flashy Ice Cream","Imagina","Català","Playlist","ES5062605801","7IKwf3Y2TQ3jdiRIAetdOC"
"Treu-te el Bikini","FADES","Treu-te el Bikini","Català","Playlist","QM6MZ2620101","3aSniXUsdmFyrmWNJHO5FL"
"PECAT ORIGINAL","NAINA","PECAT ORIGINAL","Català","Playlist","US6R22577062","7niTcci4hQxzcKrLUDoIOi"
"Les coses senzilles","Ginestà","Les coses senzilles","Català","Playlist","QMFMF2501670","5IrVPyWtWTvlu0e6WRr3jC"
"Ha valgut la pena - amb Nil Moliner","Mama Dousha","Ha valgut la pena (amb Nil Moliner)","Català","Playlist","ES51G2500013","093gvGScy3E1GpnwDdsX4y"
"No m'importa una merda","Pèl De Gall","No m'importa una merda","Català","Playlist","ES80A2623401","0GWJaXUinmX81eGyq5oCFb"
"Com a Crims","Joan Rafart","Com a Crims","Català","Playlist","USY282559497","23RfS0ejbUxhSxEc7wkq9R"
"AVUI VÉNS","Svetlana","AVUI VÉNS","Català","Playlist","ES8022500281","0hDKU5GkrwYOxUO9mTV2WW"
"No és pas veritat","Tesis","No és pas veritat","Català","Playlist","QM6P42652474","5jisjIwdKnpPpcqW20cStI"
"de mica en mica","Claudia Steccato","de mica en mica","Català","Playlist","FR96X2601462","7DRfx41obpYrFWyqyMv7DD"
"Tots Els Camins","Júlia Pascual","Tots Els Camins","Català","Playlist","ES5952507345","2ToYbKubt7wOfw2OkKQsEx"
"No t'enyoro","Manel","No t'enyoro","Català","Playlist","ES14E2500013","00pZ6RqwiGJIRtF3b1Eg0z"
"QUÈ PASSARIA?","Àlex Pérez","QUÈ PASSARIA?","Català","Playlist","ES5952507214","0HMtmhu1nNmysiCbu9d9pX"
"És meravellós","Auria Franch","És meravellós","Català","Playlist","GBRKQ2677564","5RbJNk1N5ZyODcIcHXhUie"
"La nostra història","Muchacho","La nostra història","Català","Playlist","ES5952507323","4ElW5YihE3Fo8ThFknlVsc"
"Rutines preferides","Dani Leiva","Rutines preferides","Català","Playlist","ESA092411426","7kTctSFIhqLvr9kr1fQL60"
"GRÀCIES PER TANT","La Fúmiga","GRÀCIES PER TANT","Català","Playlist","QMFMF2514136","50UjwcHTdhxXHg14P6uJ3t"
"Merci","Edu Esteve","Merci","Català","Playlist","QT6672523645","4tpNv1VM1ahNXCU0xGT4pP"
"Sobrenatural","Tesis","Sobrenatural","Català","Playlist","QM6N22633852","5GRP85cYOkQhNulT2mkhbL"
"per a mi","Júlia Sart","per a mi","Català","Playlist","QZWFE2691013","5JG5bO55tsqvJGY1CZxgvL"
"3Estius","Ceaxe","3Estius","Català","Playlist","ES5062605301","6LhAlR86UQb5RiLjsW0GfY"
