name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Ihre Sachen,Strob,1,scheiß,,Dеnn ihre scheiß Jacke da hat sie nicht mitgenomm'n | Denn ihre scheiß Jacke da hat sie nicht mitgenomm'n | Denn ihre scheiß Jacke da hat sie nicht mitgenomm'n | Denn ihre scheiß Jacke da hat sie nicht mitgenomm'n,5ShgVsE6BKrejtIiqP5DOv
Auf uns,KALUMA,1,scheiß,,Du scheiß Idiot | Du scheiß Idiot | Du scheiß Idiot | Du scheiß Idiot,6EtaQZ17DcFWychSvbLyAc
Diese Tage feat Dante Thomas,Kris,1,scheiße,scheiß,"Egal wie scheiße es war | Egal, wie scheiße es war | Egal wie scheiße es war | Egal, wie scheiße es war | Egal wie scheiße es war | Egal, wie scheiße es war | Egal wie scheiße es war | Egal, wie scheiße es war",10FLRAFBUypdI3i2mxiUwr
Freunde bleiben,Revolverheld,1,scheiß,,Und scheiß auf Freunde bleiben | Und scheiß auf Freunde bleiben | Und scheiß auf Freunde bleiben | Und scheiß auf Freunde bleiben | Und scheiß auf Freunde bleiben | Und scheiß auf Freunde bleiben | Und scheiß auf Freunde bleiben,4bzmkrtJDog1RpvWAibK2n
Fliederfarbensommer,Kira,1,verdammt,,Alles macht verdammt Sinn | Alles macht verdammt Sinn | Alles macht verdammt Sinn | Alles macht verdammt Sinn,2FsGIFf4RZYT5h2Kvzk3dR
For You,MQstylez,1,scheiß,scheiße,"Es ist meine Zeit, komm, scheiß auf das Business | Es ist meine Zeit, komm, scheiß auf das Business | Es ist meine Zeit, komm, scheiß auf das Business | Es ist meine Zeit, komm, scheiß auf das Business | Es ist meine Zeit, komm, scheiß auf das Business | Es ist meine Zeit, komm, scheiß auf das Business | Es ist meine Zeit, komm, scheiß auf das Business | Es ist meine Zeit, komm, scheiß auf das Business",2mpxOprAg39JBoiUVr62l9
reich,JEREMIAS,1,verdammt,,"Und wir sitzen schon wieder hier, verdammt, wie kann das sein? | Ja, verdammt, wie kann das sein? | Und wir sitzen schon wieder hier, verdammt, wie kann das sein? | Und wir sitzen schon wieder hier, verdammt, wie kann das sein? | Und wir sitzen schon wieder hier, verdammt, wie kann das sein?",0H8JA19H6FVUyCbP8ZNdlU
Vermissen feat Henning May,Juju,1,scheiß,,Wie ich dich in diesem scheiß Augenblick? | Wie ich dich in diesem scheiß Augenblick? | Wie ich dich in diesem scheiß Augenblick? | Wie ich dich in diesem scheiß Augenblick?,1SSzM044DUbVpYNNHWIhYJ
Venedig,Shindy,1,ficken,scheiß,"Und trägt ihren Schmuck, wenn wir ficken – Schweißperl'n | Wir ficken in Venedig, willkomm'n im Paradies | Wir ficken in Venedig, willkomm'n im Paradies | Aber ich und meine italienische Bitch, wir ficken in Venedig | Panorama-Blick auf Venedig, wenn wir ficken auf dem Fenstersims | Wir ficken in Venedig, willkomm'n im Paradies | Wir ficken in Venedig, willkomm'n im Paradies | Aber ich und meine italienische Bitch, wir ficken in Venedig",5gr8txrWi5JFLDoxzVZxLE
LDNB,AK AUSSERKONTROLLE,1,ficken,,"Ich lass' dich ficken (Ja, ja, ja, ja) | Mit mir ficken ist ein tragischer Fehler | Ich lass' dich ficken (Ja, ja, ja, ja) | Ich lass' dich ficken (Ja, ja, ja, ja) | Ich lass' dich ficken (Ja, ja, ja, ja)",5O8HYf2CdbUJIQdd6PzAA7
