Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Vielleicht","Rowli","Vielleicht","Deutsch","Playlist","QM7282543953","7FuwizV4bAUFBhyNB5dCxm"
"Verschwendete Zeit","01099","Kinder der Nacht","Deutsch","Playlist","DE1GM2400047","3E4EuIOS7e5c2swzhyRQSX"
"Ich bleib","Carlo5","Teil 2: Drunter/Drüber","Deutsch","Playlist","CH7812368400","5rA5nQkEswo9hBuQ6y4P1h"
"Sommersprossenzeit","Strob","Sommersprossenzeit","Deutsch","Playlist","QZTB62570117","3oMztnovVLeOS9NArSklLi"
"Liebe zu dritt","Provinz","Liebe zu dritt","Deutsch","Playlist","DEA622100847","1CeL9v59rZeFX63hYI4eAO"
"Hals über Kopf","frytz","Backup '25","Deutsch","Playlist","DEXO42425826","6na2BbMxVT9ZXFX5JHns6Q"
"Ich will","Miksu / Macloud","Ich will","Deutsch","Playlist","DEQ022372201","16HZAn6XX5XIzKMqcZYoIY"
"Kippen + Schlechter Wein","Ritter Lean","Stell dir vor","Deutsch","Playlist","DE1FB2400509","6WrxkzUIrCUfKXo6DxKibh"
"liebesbeweis","Rrotzer","liebesbeweis","Deutsch","Playlist","QZWFS2445915","79kMwRNa5TzMU02A65vDF6"
"hau rein","moi","hau rein","Deutsch","Playlist","QZWFF2480786","6Zy8Ybn3LQ8cPiIgDGWMKE"
"Anders","01099","Blaue Stunden","Deutsch","Playlist","DE1GM2200005","5RKvst7SDOCTWGlLcF6kSE"
"Wolken am Abend","Carlo5","Wolken am Abend","Deutsch","Playlist","CH7812358961","16M87fBeuDhq4yJOTLN1fd"
"Weinbrand","Amaru","Weinbrand","Deutsch","Playlist","DECE72400848","50Ap2wslYhEhIdoAp6jwQz"
"Theater★","Ski Aggu","denk mal drüber nach...","Deutsch","Playlist","DE1FB2300080","3mXLCPmEwNPOll1BZedEA9"
"Blicke kreuzen","frytz","Backup '25","Deutsch","Playlist","DEUE22503420","09nmDKT60f0LMaNZMuwnhX"
"Nachts wach","Miksu / Macloud","Nachts wach","Deutsch","Playlist","DEQ022291049","3kgt8Ys78I6GBZlQrWqZiA"
"OHMEINGOTT","Ritter Lean","Mixtape","Deutsch","Playlist","DE1FB2500207","7AKYrp5j7ZxOzbx7KV9iyR"
"BRING ME HOME","Rrotzer","BLACKED OUT DIARIES","Deutsch","Playlist","QZTAU2107072","5tTxzVAy7Z4tNcbO96GuBD"
"sorry jessica","moi","sorry jessica","Deutsch","Playlist","QZTAY2450778","3RMWYgfDgYScq2Q6MeL2AH"
"Tanzalarm","01099","Kinder der Nacht","Deutsch","Playlist","DE1FB2400294","1wtXpsjzyFyCh4mOtHbZTl"
"5min","AyVe","5min","Deutsch","Playlist","DEA622300229","4iYhkApfT5dTmYPQ6sT8K2"
"BERGSTEIGEN","$OHO BANI","TRÄUM $OHO","Deutsch","Playlist","DECE72203195","1mA6QQVlapkezo0UXSXKFL"
"Crash Dummy","BHZ","2013","Deutsch","Playlist","DEXK52300384","0kEO3qtCCZN8S42RdL1fp2"
"Kleiner Junge viel Herz","Rowli","Kleiner Junge viel Herz","Deutsch","Playlist","QM6MZ2580884","6eD8lAbNHFfhuuNapSWagn"
"vielleicht in einem jahr","Kasi","sommernacht <3","Deutsch","Playlist","DEE862300006","3ooxYFx0gfdj4eqSmCtoh1"
"allein mit dir","frytz","Backup '25","Deutsch","Playlist","DEXO52428791","7a7yBlS1lis9vtdV3Nq8xS"
"Break my heart","Rrotzer","Obsession","Deutsch","Playlist","QZK6N1989917","3z0XA6usBDO0hVNoRpIFPg"
"Tote Liebe","moi","LOVE IS A BITCH 2","Deutsch","Playlist","QZMEQ2421170","65WbUFidKO1zenYV5EPPHm"
"Cider","01099","Blaue Stunden","Deutsch","Playlist","DE1FB2200012","3Dwpw7G06KapVKxZAwPzNR"
"Scheiß auf dich","Rowli","Scheiß auf dich","Deutsch","Playlist","QMDA62490963","5j2zBTSOX4ujO3iEHCfrne"
"Goodbye","AyVe","Goodbye","Deutsch","Playlist","DEA622304116","60QGfl0L7EP7R538DGGTUw"
"Powerade","BHZ","In Liebe, Ion","Deutsch","Playlist","DEXK52200237","20l2YWgtEXAAAEzoWs3gkE"
"OLYMPIA","$OHO BANI","TRÄUM $OHO","Deutsch","Playlist","DECE72202532","249MSbYpwdCyxIZs5OuA0n"
"Boys Do Cry","Kasi","Boys Do Cry","Deutsch","Playlist","DEZC62286367","1iICY8qXRZKHThDyFYJql1"
"Changes","Rowli","Changes","Deutsch","Playlist","QZTAT2168766","3FaWMH0C3VxY5fDknvr5zB"
"immer allein","Rrotzer","immer allein","Deutsch","Playlist","QZWFP2408007","4b6wihjhzAjo2TJXLDSM5z"
"Optimist","moi","Optimist","Deutsch","Playlist","QZDA82486873","6TjlzZLQyYwUKAIgdqjIjJ"
"25grad (feat. Kasi)","01099","orange","Deutsch","Playlist","DE1FB2500152","06UcT73c5iTJ0XJzWAS83U"
"Ihre Sachen","Strob","Ihre Sachen","Deutsch","Playlist","QZNWT2566567","5ShgVsE6BKrejtIiqP5DOv"
"brich mein herz in nrw","AyVe","brich mein herz in nrw","Deutsch","Playlist","DEA622402639","3OBEAPI8JKVQDI19ccftfF"
"Bags","Rowli","Bags","Deutsch","Playlist","QZES92276290","6FfKS7iz7t2Vv3p2rqOoe9"
"Zungkuss","Ritter Lean","Muss mein eigener Atze sein","Deutsch","Playlist","DE1FB2400151","5E0TnhyZbOsygOe2xQUrCc"
