name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Ihre Sachen,Strob,1,jacke,,,5ShgVsE6BKrejtIiqP5DOv
Durstlöscher,01099,1,hose,jacke,,2QAsTQ1tydZ6mhYH2FyzfG
IMMER MIT MAKKO,Ski Aggu,1,ring,,"Ring, ring, ja, mein Phone steht niemals still, heh | Ring, ring, ja, mein Phone steht niemals still, heh | Ring, ring ganzen Tag, doch bin kein Ticker mehr, ah (Mhh) | Ring, ring, ja, mein Phone steht niemals still, heh",0UZOCEkRQ7kBNFH4NZgmHq
IMMER MIT MAKKO,Ski Aggu,1,ring,,"Ring, ring, ja, mein Phone steht niemals still, heh | Ring, ring, ja, mein Phone steht niemals still, heh | Ring, ring ganzen Tag, doch bin kein Ticker mehr, ah (Mhh) | Ring, ring, ja, mein Phone steht niemals still, heh",4P2Sdu2zPhm2XN2W9Z8e1X
Gekommen um zu bleiben,Wir sind Helden,1,hose,,,0UdNzmV16GbFEDohWcEaDC
Sterne klauen oder so,PLUS,1,jeans,,,19qTkODQIbCobwf2S08g92
1975,Kaprice,1,kleid,"gürtel, brille, tasche",,6A6maoc5Cia5IfDK0Ji5AH
Diadem,MERO,1,kleid,uhr,,5my01OPtKE7EbyBiyjfRvy
All diese Momente,FaMo,1,jeans,,"Ass fat, let me get in them jeans (Get in them jeans) | Ass fat, let me get in them jeans (Get in them jeans) | Ass fat, let me get in them jeans (Get in them jeans)",7jroFmtJZcIkeo29UL3hsO
Donuts,Gzuz,1,kette,,,5XVPNr0CAoUn1jD033Ucoo
Ohne mein Team,Bonez MC,1,uhr,,,05Mp2UJulSttxQ4E6hQPH3
Airwaves,Pashanim,1,jeans,,,5CqkgDH8QZjSqqI3HmYxDD
Iz da,XATAR,1,mantel,"hose, tasche",,2k0cvQmGvHOuNmKo2rMYIj
Labyrinth,Loredana,2,"ring, kette",,,3vweZWLjXE2LsKzG9teQoR
Kompliziert,Lune,1,uhr,,,1jdwspR9dg5lJ0y5KuqtgJ
Häagen Dazs,Sosa La M,1,uhr,,,5gBDMQlmL0DBjxTxpgTgMn
SANTA FREESTYLE,THIZZY52,1,jacke,,,2kOxp9BK7kiD2e4odseUN2
Geringverdiener,Finnel,1,uhr,,,45brbM7Ij9LxQWjC0DjBXj
Kein Paragraph  PasticheRemixMashup,Chilli Vanilli,1,hut,,,7L9khRqTMZXQcxxcQilL6C
Kein Tabu  PasticheRemixMashup,Brass Knuckle,1,hut,,,6YO0MiS7OHVIHbQCF1x58P
Leicht gesagt,Jamie Roseanne,1,uhr,,,2hQwYGvO1HZRsHoVYZgZly
Gebt uns ruhig die Schuld den Rest könnt ihr behalten,Die Fantastischen Vier,1,schuhe,,,47frgG1eiZSFJHsdvJn3VX
Gebt uns ruhig die Schuld den Rest könnt ihr behalten  Live in Wien,Die Fantastischen Vier,1,schuhe,,,3lzpXClqLVZyBnWk54fox1
Alles über Bord,Anna Depenbusch,1,kleid,"schuhe, uhr",,65iZrBHG6SEIOQiYDasJTV
Welt feat Kontra K,Xavier Naidoo,1,uhr,,,0dME4tJbBf9SUI2uZHTHs1
IMMER MIT MAKKO,Ski Aggu,1,ring,,"Ring, ring, ja, mein Phone steht niemals still, heh | Ring, ring, ja, mein Phone steht niemals still, heh | Ring, ring ganzen Tag, doch bin kein Ticker mehr, ah (Mhh) | Ring, ring, ja, mein Phone steht niemals still, heh",2vWk7h0nrsHCTxcWF6A0sk
BALLA BALLA,Ski Aggu,1,rock,,,1PPKayYlydvupkWxjCtUoV
BALLA BALLA,Ski Aggu,1,rock,,,1TFK9oczePSWgNtWRWlUoI
Graue Tatzen,Tom Hengst,1,jacke,ring,,0aLAeROfhEpyiJmlWuSjCK
MOIN MEISTER,Ikkimel,1,uhr,,,60TjIGnWDi0BCHJNIPVirG
SHEMLORD,Ikkimel,1,hose,,,4ku7QchA7jvPef2Td3n0UJ
Nachtschicht feat Ikkimel,01099,1,uhr,,,3eD2oSWXQJpfvAjhIBzbDa
