name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Verschwendete Zeit,01099,1,weiß,,"Verschwendete Zeit, ich weiß nicht, was du meinst (Ey, ja) | Verschwendete Zeit, ich weiß nicht, was du meinst (Ich weiß nicht, was du meinst, ja) | Verschwendete Zeit, ich weiß nicht, was du meinst (Ey, ja) | Verschwendete Zeit, ich weiß nicht, was du meinst (Ich weiß nicht, was du meinst, ja)",3E4EuIOS7e5c2swzhyRQSX
Blicke kreuzen,frytz,1,weiß,,"Ich weiß nicht genau, aber ich glaub', du verstehst mich | Wie viel liegt in einem Blick? Ja, ich weiß es auch nicht | Du gibst mir tausend kleine Gründe, aber ich weiß nicht, was du meinst | Du gibst mir tausend kleine Gründe, aber ich weiß nicht, was du meinst",09nmDKT60f0LMaNZMuwnhX
Nachts wach,Miksu  Macloud,1,weiß,,"Weil ich bin nachts wach, fucked up, Babe, ich weiß, du hasst das | Ja, ich bin nachts wach, fucked up, Babe, ich weiß, du hasst das | Weil ich bin nachts wach, fucked up, Babe, ich weiß, du hasst das | Ja, ich bin nachts wach, fucked up, Babe, ich weiß, du hasst das | Weil ich bin nachts wach, fucked up, Babe, ich weiß, du hasst das",3kgt8Ys78I6GBZlQrWqZiA
5min,AyVe,1,weiß,,"Ey, ich weiß nicht was du meinst und | We-weil ich weiß, egal, wer kommt, am Ende will ich wieder dich | Ich hab' nachgedacht und weiß jetzt | Ey, ich weiß, du bist jetzt enttäuscht | Draußen ist kalt und ich weiß, wo ich hinkann | Ey, ich weiß nicht, was du meinst und | We-weil ich weiß, egal, wer kommt, am Ende will ich wieder dich | Ey, ich weiß nicht, was du meinst und | We-weil ich weiß, egal, wer kommt, am Ende will ich wieder dich",4iYhkApfT5dTmYPQ6sT8K2
vielleicht in einem jahr,Kasi,1,weiß,,"Ich weiß nicht, ob das geht, doch bitte gib uns noch ein Jahr | Ich weiß nicht, ob das geht, doch bitte gib uns noch ein Jahr | Ich weiß, dass es dir ähnlich geht | Ich weiß, dass es dir ähnlich geht | Ich weiß nicht, ob das geht, doch bitte gib uns noch ein Jahr",3ooxYFx0gfdj4eqSmCtoh1
Cider,01099,1,weiß,,"Uh, ich weiß, er macht ihn leichter (Er macht ihn leichter) | Ja, ich weiß, sie ist nicht einfach (Sie ist nicht einfach) | Gibt es was, was ich nicht weiß? Ich war immer da | Gibt es was, was ich nicht weiß? Ja, dann sag es mir, sag es mir | Uh, ich weiß, er macht ihn leichter (Er macht ihn leichter) | Ja, ich weiß, sie ist nicht einfach (Sie ist nicht einfach)",3Dwpw7G06KapVKxZAwPzNR
EINFACH,Rrotzer,1,weiß,,"Du sagst mir, ich bin nicht einfach, ja, ich weiß | Du sagst mir, ich bin nicht einfach, ja, ich weiß | Und ich weiß selber, dass' mit mir nicht immer lеicht war | Wenn ich weiß, dass du zu mir willst | Ich denk' zu viel und weiß nicht mehr wohin | Ich weiß nicht, wo ich bin | Ich weiß nicht, wo du bist und deshalb streiten wir uns blind | Du sagst mir, ich bin nicht einfach, ja, ich weiß | Du sagst mir, ich bin nicht einfach, ja, ich weiß | Du sagst mir, ich bin nicht einfach, ja, ich weiß | Du sagst mir, ich bin nicht einfach, ja, ich weiß | Du sagst mir, ich bin nicht einfach, ja, ich weiß",730aVUGfYZyBM21EeazMPV
61 Grad Deep House RMX,Endzone,1,weiß,,"Cocktail im Glas und Vapor sind weiß, ja (Bah, bah, bah, bah, bah, bah) | Cocktail im Glas und Vapor sind weiß, ja (Bah, bah, bah, bah, bah, bah) | Cocktail im Glas und Vapor sind weiß, ja (Bah) | Cocktail im Glas und Vapor sind weiß, ja",5HsrYtb503rCCWyZvGtf4v
Astronaut,Sido,1,grau,,Alles blass und grau | Alles blass und grau | Alles blass und grau | Alles blass und grau (Yeah) ‏‏‎ ‎ ‏‏‎ ‎‏‏‎,0pQr5WsobmdZHnuObT0sc2
TABU,Yung Yury,1,weiß,,"Mache Fehler, ja, ich weiß das, aber alles, was ich brauche und nie hatte, das bist du | Mache Fehler, ja, ich weiß das, aber alles, was ich brauche und nie hatte, das bist du | Mache Fehler, ja, ich weiß das, aber alles, was ich brauche und nie hatte, das bist du | Mache Fehler, ja, ich weiß das, aber alles, was ich brauche und nie hatte, das bist du",42Ztw2ZtZR3mtWjXpg0R5I
MAKRODOSIS,Ski Aggu,1,schwarz,grau,Mir wird schwarz vor Augen und seh' Sterne so wie Astronomen | Mir wird schwarz vor Augen und seh' Sterne so wie Astronomen | Mir wird schwarz vor Augen und seh' Sterne so wie Astronomen | Mir wird schwarz vor Augen und seh' Sterne so wie Astronomen,1OoJQg9FeY3UqWPODcBKGj
Vertigo,Edwin Rosen,1,weiß,,"Und ich weiß nicht, wohin, ich hab' vergessen, wo ich bin | Und ich weiß nicht, wohin, ich hab' vergessen, wer ich bin | Und ich weiß nicht, wohin, ich hab' vergessen wer ich bin | Und ich weiß nicht, wohin, ich hab' vergessen, wo ich—",3Iq8XToI0I9KSnqovkv1AV
Sehnsucht,Miksu  Macloud,1,weiß,,"Und ich weiß, du kommst nicht klar, wenn ich geh'n muss | Und ich weiß, du kommst nicht klar, wenn ich geh'n muss | Ich weiß, du liebst mich und ich dich auch, ja | Ich sag', du kannst mir vertrau'n, doch weiß, du kannst es nicht | Und ich weiß, du kommst nicht klar, wenn ich geh'n muss",7xaqxUl08zOg0YNUHokQpq
Mucho Gusto,viko63,1,weiß,,"Er darf auch weiß sein, also hol' ich Vino Blanco | Er darf auch weiß sein, also hol' ich Vino Blanco | Er darf auch weiß sein, also hol' ich Vino Blanco | Er darf auch weiß sein, also hol' ich Vino Blanco",0zzJnnLm3NqyozbcP7qEUT
