name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Ich will,Miksu  Macloud,1,glücklich,,"Schau mir ins Gesicht, mein Baby, sag mir, bist du glücklich? | Schau mir ins Gesicht, mein Baby, sag mir, bist du glücklich? | Schau mir ins Gesicht, mein Baby, sag mir, bist du glücklich? | Schau mir ins Gesicht, mein Baby, sag mir, bist du glücklich? | Schau mir ins Gesicht, mein Baby, sag mir, bist du glücklich? | Schau mir ins Gesicht, mein Baby, sag mir, bist du glücklich?",16HZAn6XX5XIzKMqcZYoIY
TABU,Yung Yury,1,glaube,"verrückt, lachen","Wollte fliegen, leben, lachen, glaube, Schmerz gehört dazu | Wollte fliеgen, leben, lachеn, glaube, Schmerz gehört dazu | Wollte fliegen, leben, lachen, glaube, Schmerz gehört dazu | Wollte fliegen, leben, lachen, glaube, Schmerz gehört dazu",42Ztw2ZtZR3mtWjXpg0R5I
Ich will nur dass du weißt  IIVEN Remix,SDP,1,liebe,,Und dass ich dich liebe und so'n Scheiß | Und dass ich dich liebe und so'n Scheiß | Und dass ich dich liebe und so'n Scheiß | Und dass ich dich liebe und so'n Scheiß | Und dass ich dich liebe und so'n Scheiß,7MCNurIGh8Hg9SYaCPP9vv
Nur geträumt,Nena,1,verrückt,,"Ich werd' verrückt, wenn's heut passiert | Ich werd' verrückt, wenn's heut passiert | Ich werd' verrückt, wenn's heut passiert | Ich werd' verrückt, wenn's heut passiert",0ukySDr4uEzZE36s7t7X8E
Unter den Masken,Buntspecht,1,verrückt,,"Denn du bist verrückt genug | Ja, du bist verrückt genug | Denn du bist verrückt genug | Ja, du bist verrückt genug",4TO1feWbbSrPgsQcU7z4rF
Lieblingsmensch,Namika,1,verrückt,lachen,"Bei dir kann ich ich sein, verträumt und verrückt sein | Bei dir kann ich ich sein, verträumt und verrückt sein | Bei dir kann ich ich sein, verträumt und verrückt sein | Bei dir kann ich ich sein, verträumt und verrückt sein | Bei dir kann ich ich sein, verträumt und verrückt sein",6oHDvarQSp0mf5AD1SyNH0
Wir leben den Moment,Christina Stürmer,1,verrückt,,Und die Endorphine spiel'n verrückt | Und die Endorphine spiel'n verrückt | Und die Endorphine spiel'n verrückt | Und die Endorphine spiel'n verrückt | Und die Endorphine spiel'n verrückt | Und die Endorphine spiel'n verrückt,25xOC9dCzbfKMzoLSuPgbV
Vergiss mich,Bushido,1,glücklich,,"Sag mir, bist du jetzt glücklich? | Sag mir, bist du jetzt glücklich? | Sag mir, bist du jetzt glücklich? | Sag mir, bist du jetzt glücklich?",77ssprf5UqnXmZLVWCzWGy
Diese Tage feat Dante Thomas,Kris,1,liebe,,Ich liebe diese Tage | Ich liebe diese Tage | Ich liebe diese Tage | Ich liebe diese Tage | Ich liebe diese Tage | Ich liebe diese Tage | Ich liebe diese Tage | Ich liebe diese Tage | Ich liebe diese Tage | Ich liebe diese Tage | Ich liebe diese Tage | Ich liebe diese Tage | Ich liebe diese Tage | Ich liebe diese Tage | Ich liebe diese Tage | Ich liebe diese Tage | Ich liebe diese Tage | Ich liebe diese Tage,10FLRAFBUypdI3i2mxiUwr
Jede Stunde,Karat,1,liebe,,Ich liebe jede Stunde | Ich liebe jede Stunde | Ich liebe diese Stunde | Ich liebe jede Stunde | Ich liebe die Sekunde | Ich liebe jede Stunde | Ich liebe diese Stunde | Ich liebe jede Stunde | Ich liebe diese Stunde | Ich liebe seinen Zauber | Ich liebe jede Stunde | Ich liebe seinen Zauber,6hvQQGEA9qmkci6MTdVWRa
