name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Tote Liebe,moi,1,wein,,Und Bitches am wein',65WbUFidKO1zenYV5EPPHm
Cider,01099,1,eis,wein,,3Dwpw7G06KapVKxZAwPzNR
61 Grad Deep House RMX,Endzone,1,cocktail,"eis, zitrone, gin",,5HsrYtb503rCCWyZvGtf4v
Mucho Gusto,viko63,1,wein,traube,,0zzJnnLm3NqyozbcP7qEUT
Secco Maracuja,SIRA,1,eis,,,3iATVzRm0E8scMQ7aWoAmh
Weißwein  Pappbecher,Ski Aggu,1,wein,eis,,3sFqd1tsrvuHE9ToJeif8L
Nicht so schnell,Max Giesinger,1,eis,,,7fHNd0Qvk7zwlU12dkVfOP
Wo du bist,Tommy Amper,1,wasser,fleisch,,4cDtkRdvpAX6iNailxvxNZ
todas,CRO,1,eis,,,6oh6njZqTXlIkHDC2tjvWi
Mambo,Herbert Grönemeyer,2,"kaffee, kuchen",,,09xzup1C7H52KnSw0367rz
Ein Teil von mir,Sido,1,fleisch,,,6UHgwFwUKsbNO3N2Rlhb4l
1975,Kaprice,1,wasser,wein,,6A6maoc5Cia5IfDK0Ji5AH
Capri Sonne,KAFFKIEZ,1,eis,salz,,5biCRSNDhZvHSuLosdlJm5
kerosin,DIEBE,1,zucker,,,7CfgwE0RTOgtxRbrcF7FMI
Ich glaub ich will heut nicht mehr gehen,Nina Chuba,1,eis,,,5iD3wryE1crHM4J2C2omW9
Donuts,Gzuz,1,eis,,,5XVPNr0CAoUn1jD033Ucoo
Veuve,Paula Hartmann,1,champagner,wein,,6Rf0Rg1UgoBj0zoGyoAcSW
Mambo  40Bochum,JEREMIAS,2,"kaffee, kuchen",rum,,6xpuniuA3p9cNic7fnMGTp
Wenn ich liebe,Siggi,1,whiskey,,,3H5BfyY0AcgvMbI4O8pHRz
Segel,bac,1,wasser,,,3g87HCtPJ4tQ7Vam4cxWvT
Wieder alleine,Apache 207,1,wein,,,66yIvZgthC79Tkeedb0ZAQ
Bamba feat Aitch  BIA,Luciano,1,tequila,,,7nFJSfGvvV0WjatTZN6QYi
Rapstar,Amo,2,"brot, fleisch",rum,,57gjUsErLOYxTOqyiK6CVm
Capri Sun,Aymen,1,wodka,,,2U07Gukj3QGlLh0krokPdG
MNG,LACAZETTE,1,eis,"kaffee, milch",,2zsb697TLzjzMcRyhmuHt4
Eisgekühlter Bommerlunder,Die Toten Hosen,2,"brot, ei",,,31vf35YB7M8muNPXoGtf9b
Beinhart,Torfrock,1,bier,,,3nOernkswNwTfHHGya0GAk
FrühStück,Gebrüder Blattschuss,2,"kaffee, ei",butter,,3PeUytVHSB0plBO03sT7NA
Im 5 Element  Radio Version,Roland Kaiser,1,salz,,,42oH7c1bK7qtuKn38Jk9wP
Ich glaub ich will heut nicht mehr gehen,Nina Chuba,1,eis,,,4zLCLlqLivpZXvYfQCqTWh
Nicht so schnell,Max Giesinger,1,eis,,,30WNL8yuWun7cvfia1qiAS
Eiskalt,Culcha Candela,1,eis,,,45nKh6J4zvMOK4MJTZjVuX
Party mit mir selbst,BRUCKNER,1,wodka,salz,,2kNpg9AiImLPLhDDbgWgZs
Bayern,Haindling,2,"bier, brot",,,3oAr0vS5s6nBzxxwBkwknF
Zukunft Pink feat Inéz,Peter Fox,2,"eis, gin",wasser,,1uUgy87UHT9rlbxHirty3g
Wenn nur Liebe hilft,LEA,1,bier,,,0UukVVTyf3tqZr4iE5TcYm
Leicht gesagt,Jamie Roseanne,1,kaffee,,,2hQwYGvO1HZRsHoVYZgZly
Zwei Zimmer Küche Bad,LOT,1,wein,,,0oumhff6SF9nGwV3Suxzql
Gib mir ein bisschen Sommer,Mono  Nikitaman,1,eis,,,0XCEXxzjV67yyFR80C1zT6
Weißwein  Pappbecher,Ski Aggu,1,wein,eis,,0b68Ledc3AzYWpqr6vpV5o
Weißwein  Pappbecher,Ski Aggu,1,wein,eis,,6iEuT7mV90BRILzxf89EEE
VODKA E,Ikkimel,1,wodka,,,4sGQojPt2mPodl4S6YS3AD
WELLNESS,Ikkimel,1,eis,ei,,4v7VTj5IplCUp32I7l15jX
