name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Ich will,Miksu  Macloud,1,baby,mann,,16HZAn6XX5XIzKMqcZYoIY
liebesbeweis,Rrotzer,1,junge,"bruder, frau",,79kMwRNa5TzMU02A65vDF6
Weinbrand,Amaru,1,mann,,,50Ap2wslYhEhIdoAp6jwQz
OHMEINGOTT,Ritter Lean,1,gott,baby,,7AKYrp5j7ZxOzbx7KV9iyR
Changes,Rowli,1,baby,,,3FaWMH0C3VxY5fDknvr5zB
bleiben,Ski Aggu,1,junge,,,4SdhCNvmvsDj0xvhi7xuNA
Liebe Grüsse,RAF Camora,2,"freund, freund","mann, frau",,4mVnqNiw2Kf5AHj9j0KD6u
Hubba Bubba,Ski Aggu,2,"bruder, schwester",,,1LhYl7a5VxCqpD1NgOhUJa
Einmal um die Welt,CRO,1,baby,,,7qiUjLVo6zLj8WmxPMqoXD
Traum,CRO,1,baby,mann,,6Mw1NYkSkqrX1HtzDdTdAZ
Die Nacht von Freitag auf Montag,SDP,1,mann,gott,,27iLwU19SCH7tDeU64AieP
TABU,Yung Yury,1,baby,,,42Ztw2ZtZR3mtWjXpg0R5I
Hin und her,Yung Yury,1,mama,baby,,7MCS8omROXkciIVOzS9YcQ
Wildberry Lillet,Nina Chuba,1,mama,,,6yeZM8gyykjaf8w0GqRfK4
Dior 2001,RIN,1,baby,junge,"Pop, pop, lock it, baby, komm und tanz (Pop and drop it)",6WusSsncC0Oo9sFHKwQii6
Hubba Bubba,Ski Aggu,2,"bruder, schwester",,,1KccrY8S2MUvU91PCQa9hZ
Wildberry Lillet,Nina Chuba,1,mama,,,6LBmaJYwbLHfQwIreMCLlw
Was du Liebe nennst,Bausa,1,baby,,,2hIY4sjfMeKwXXh2LvhrMo
Die Eine 2005,Die Firma,1,frau,"baby, mädchen",,3jd4ya9vCwExxTVOjPcqsf
photosynthese,Dilla,1,gott,mutter,,7aaeOKbjLe1zah55isgqdC
Weißwein  Pappbecher,Ski Aggu,1,mädchen,freundin,,3sFqd1tsrvuHE9ToJeif8L
Tour de Berlin,Ski Aggu,1,baby,bruder,,6bTtaSmqjMD6TggNfoR4N5
Ski Aggu Typebeat,Ski Aggu,1,mann,,,6RqAIV8SprEo2B4Q4sGsN8
Traum,CRO,1,baby,mann,,7s3VxmIizcDgDTRCA4kDzd
Bye Bye,CRO,1,mann,frau,,6Sr3iRWoMsyqVfNDJJQmzk
Nur ein Tanz,Pietro Lombardi,1,baby,,,6oaNpCVXUtmG0eKxsPO6Uf
194 Länder,Mark Forster,1,baby,mann,,6rnJn3QbXeYUQpdFsr3kzm
Haus am See,Peter Fox,1,frau,"enkel, gott",,7A4KdLy1DXOOC5fhIdDuHz
Willst du einen Schneemann bauen,Valeska Gerhart,1,junge,,,5xkRXWqt8MAXh6wlhE3ODp
2002,Sido,1,bruder,"baby, freund, mutter, vater, mama, freund",,2u8AXJyk8pICzj2wyPBL0b
Stehaufmädchen,EULE,1,mädchen,,,4vhHstIu2nKkciMFBeoMCQ
110 Prolog,LEA,1,mann,,,6D9KQOouQLGlgvrVB4P3vZ
Einmal um die Welt,CRO,1,baby,,,2L6hCTpUlR2p7Su3hiSB0s
Du,CRO,1,baby,"mann, freundin",,4K9WfO5lYNlBpBugIak98k
Flash Mich,Mark Forster,1,baby,,,2aGDxHavIuRArjI3NwfaVY
Flash Mich  Single Version,Mark Forster,1,baby,,,3ZBdWDhJHsWcmFXvabmHXh
Schüttel deinen Speck,Peter Fox,1,mama,frau,,4zAV2pS81cE30xhBHwG9Pf
Augen auf,Sido,2,"mama, papa","schwester, junge, mädchen",,3nAJAotlLWvmSWHQ05D2ma
Sie ist weg,Die Fantastischen Vier,1,mann,könig,,3rTSoSOTvOebYMy2kzKvkJ
Die Eine 2005,Die Firma,1,frau,"baby, mädchen",,1eS7Dfb5pe27NOHYxLy7iS
Männer,Herbert Grönemeyer,1,mann,,,2PfEAFaaLabTXfmlV58LIj
Cello feat Clueso  MTV Unplugged Radio AtmoVersion,Udo Lindenberg,1,mann,,,67UtSTImmThuQAxv1iEgGF
Fühlt sich wie fliegen an,Max Herre,1,mädchen,,,0gsXBDy0CT4bti4LmqVsT3
Männer sind Schweine,Die Ärzte,1,mann,"mädchen, ehemann",,3oTqsRhrOvnUEavb1NQIWa
Rosemarie,Hubert Kah,1,könig,"mann, frau",,4LYvl2jiB2EkCpZzTA8vxS
Was soll das  Remastered 2016,Herbert Grönemeyer,1,bruder,"junge, gott",,1AN1GaGhfXfofnmonu7jYx
Endgegner  Live,Bushido,1,junge,"mutter, mama, mann",,2JncPeCHHVtIQIZOUJWhYO
Ein Teil von mir,Sido,1,sohn,"mutter, mama, mädchen, mann, tante",,6UHgwFwUKsbNO3N2Rlhb4l
Bevor du gehst,Xavier Naidoo,1,baby,,,0GzQhzOvWYxQwrYq4Yn6I7
Mama ist stolz,Sido,1,mutter,"mama, mann, sohn",,1cdJI7KavbADJ2NRDZ5d7t
Gheddo feat Bushido,Eko Fresh,1,junge,"mädchen, mann, gott",,6cuRgeAOdWbCpqcq29UlLo
Aufstehn feat CeeLo Green,Seeed,1,baby,gott,,2KpvM181ZwtIWwIElZx4vI
Lied 1  Stück vom Himmel,Herbert Grönemeyer,1,gott,feind,,5MDgIJMfN3VsxVBLjpDPIP
Abschied nehmen,Xavier Naidoo,1,mann,bruder,,7CO9TfvhJXNf4hSkBg1GNn
