name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Ich will,Miksu  Macloud,1,himmel,,,16HZAn6XX5XIzKMqcZYoIY
OHMEINGOTT,Ritter Lean,2,"welt, himmel",hölle,,7AKYrp5j7ZxOzbx7KV9iyR
Tanzalarm,01099,1,bar,"stadt, stadt",,1wtXpsjzyFyCh4mOtHbZTl
Boys Do Cry,Kasi,3,"stadt, zimmer, stadt",,,1iICY8qXRZKHThDyFYJql1
Sommerregen,RAUM27,1,bett,,,6Vfp81iuChEl7GopcdVvEb
bleiben,Ski Aggu,1,haus,club,,4SdhCNvmvsDj0xvhi7xuNA
Party Sahne,Ski Aggu,1,disco,,,2hFOXN8Eq2gXIGGMIdHdWJ
Vielleicht Vielleicht,MilleniumKid,1,welt,,,559mLg44MrcA7JzYGbpXfL
MAKRODOSIS,Ski Aggu,2,"stadt, stadt",,,1OoJQg9FeY3UqWPODcBKGj
Für immer Frühling,SOFFIE,1,land,"bett, himmel",,3pn5z4CvMz95uEysWBUYCc
SUPERSTARS,Tream,1,schule,land,,6NIp5k4DPAB2hGI8Mg908B
Dieser Sommer,Tream,2,"stadt, stadt",himmel,,0Cnf2mlQavyPknr3OxzTAn
Halligalli,01099,2,"stadt, stadt","welt, himmel, ecke",,167qodTKwnZUeRc1f6Nlke
VHS,01099,1,himmel,straße,,2PE71wHgZG5Z6CLOxPDPe7
Dies  Das,01099,2,"stadt, stadt",strand,,4lZ7OpzFPYJIWVgfuWU0zv
Pistazieneis,01099,1,straße,,,0O1LqLDF2mQmWVlSrC4Mwn
Flasche kreist,01099,1,straße,"haus, stadt, stadt",,0N6OgNSefDTYZWqlzjVHrY
Wildberry Lillet,Nina Chuba,1,haus,"straße, welt",,6yeZM8gyykjaf8w0GqRfK4
Dior 2001,RIN,3,"stadt, zimmer, stadt",haus,,6WusSsncC0Oo9sFHKwQii6
ATZENMODUS,BHZ,1,bar,"welt, bett, strand, schule",,7BfRyF3eUgZxXBmt01PBZY
Ich hass dich,Nina Chuba,1,bar,haus,,2toCf2FDbTIdWriPI6kcsY
Wildberry Lillet,Nina Chuba,1,haus,"straße, welt",,6LBmaJYwbLHfQwIreMCLlw
TikTok,Cenkgo,1,club,bar,,4HneymubY1mJuBCekxM1KO
IMMER MIT MAKKO,Ski Aggu,1,zimmer,bett,,0UZOCEkRQ7kBNFH4NZgmHq
photosynthese,Dilla,1,himmel,,,7aaeOKbjLe1zah55isgqdC
IMMER MIT MAKKO,Ski Aggu,1,zimmer,bett,,4P2Sdu2zPhm2XN2W9Z8e1X
Party Sahne aber schneller,Ski Aggu,1,disco,,,72FMrJkNyj6GF4nx73cego
Denkmal,Wir sind Helden,2,"stadt, stadt",straße,,58zHoX9U5VlSXLUUmWTfe2
Unter den Masken,Buntspecht,1,welt,himmel,,4TO1feWbbSrPgsQcU7z4rF
Wir Sind Groß,Mark Forster,1,welt,himmel,,7AraSdlKIOoPCLRKkI3WjP
