Name,Artist,Total_Matches,Found_Words,Matched_Lines,Link
Killing Me Softly With His Song,Fugees,4,"two, two, two, two","[two] Singing my life with his words (Two times, two times) | [two] Singing my life with his words (Two times, two times)",https://open.spotify.com/track/0Q0IVlqMV64kNLlwjPj0Hl
Say My Name,Destiny's Child,4,"two, two, two, two",[two] Where you're sayin' everything to me times two | [two] When two seconds ago said you just got in the house | [two] Where you're sayin' everything to me times two | [two] Where you're sayin' everything to me times two,https://open.spotify.com/track/7H6ev70Weq6DdpZyyTmUXk
One More Night,Maroon 5,5,"million, million, million, million, million","[million] And I know I've said it a million times | [million] And I know I've said it a million times (Yeah) | [million] And I know I've said it a million times | [million] (Oh, I've said it a million times) | [million] And I know I've said it a million times (Yeah, yeah)",https://open.spotify.com/track/6cpk00i5TxCqSeqNi2HuIe
Back To Black,Amy Winehouse,5,"hundred, hundred, hundred, hundred, hundred",[hundred] I died a hundred times | [hundred] I died a hundred times | [hundred] I died a hundred times | [hundred] I died a hundred times | [hundred] I died a hundred times,https://open.spotify.com/track/3FAclTFfvUuQYnEsptbK8w
Back To Black,Amy Winehouse,5,"hundred, hundred, hundred, hundred, hundred",[hundred] I died a hundred times | [hundred] I died a hundred times | [hundred] I died a hundred times | [hundred] I died a hundred times | [hundred] I died a hundred times,https://open.spotify.com/track/3FAclTFfvUuQYnEsptbK8w
Just the Two of Us,"Grover Washington, Jr.",52,"two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two, two",[two] Just the two of us | [two] Just the two of us | [two] Just the two of us | [two] Just the two of us | [two] Just the two of us | [two] Just the two of us | [two] Just the two of us | [two] Just the two of us | [two] Just the two of us | [two] Just the two of us | [two] Just the two of us | [two] We can make it just the two of us | [two] Just the two of us | [two] We can make it just the two of us | [two] Just the two of us | [two] We can make it just the two of us | [two] Just the two of us | [two] We can make it just the two of us | [two] Just the two of us | [two] We can make it just the two of us | [two] Just the two of us | [two] We can make it just the two of us | [two] Just the two of us | [two] We can make it just the two of us | [two] Just the two of us | [two] We can make it just the two of us | [two] Just the two of us | [two] We can make it just the two of us | [two] Just the two of us | [two] Just the two of us | [two] Just the two of us | [two] Just the two of us | [two] Just the two of us | [two] (Justthe two of us) | [two] Yes! The two of us | [two] We can make it just the two of us | [two] Just the two of us | [two] Yes! The two of us | [two] We can make it just the two of us | [two] Just the two of us | [two] We can make it just the two of us | [two] Just the two of us | [two] We can make it just the two of us | [two] Just the two of us | [two] We can make it just the two of us | [two] Just the two of us | [two] We can make it just the two of us | [two] Just the two of us | [two] We can make it just the two of us | [two] Just the two of us | [two] We can make it just the two of us | [two] Just the two of us,https://open.spotify.com/track/5fdNHVZHbWB1AaXk4RBGVD
7 Years,Lukas Graham,14,"seven, seven, seven, seven, seven, twenty, twenty, twenty, twenty, sixty, sixty, sixty, sixty, sixty","[seven] Once, I was seven years old, my mama told me | [seven] Once, I was seven years old | [seven] Once, I was seven years old, my mama told me | [seven] Once, I was seven years old | [seven] Once, I was seven years old | [twenty] Once, I was twenty years old, my story got told | [twenty] Once, I was twenty years old (Lukas Graham!) | [twenty] Once, I was twenty years old, my story got told | [twenty] Once, I was twenty years old | [sixty] Soon, I'll be sixty years old, my daddy got sixty-one | [sixty] Soon, I'll be sixty years old, will I think the world is cold | [sixty] Soon, I'll be sixty years old | [sixty] Soon, I'll be sixty years old, will I think the world is cold | [sixty] Soon, I'll be sixty years old",https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
How You Remind Me,Nickelback,5,"five, five, five, five, five","[five] These five words in my head | [five] These five words in my head | [five] These five words in my head | [five] Yeah, yeah (These five words in my head scream) | [five] Yeah, yeah (These five words in my head)",https://open.spotify.com/track/0gmbgwZ8iqyMPmXefof8Yf
High Hopes,Panic! At The Disco,4,"million, million, million, million",[million] I was gonna be that one in a million | [million] I was gonna be that one in a million | [million] I was gonna be that one in a million | [million] I was gonna be that one in a million,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
I'm Gonna Be (500 Miles),The Proclaimers,20,"five, five, five, five, five, five, five, five, hundred, hundred, hundred, hundred, hundred, hundred, hundred, hundred, thousand, thousand, thousand, thousand",[five] But I would walk five hundred miles | [five] And I would walk five hundred more | [five] But I would walk five hundred miles | [five] And I would walk five hundred more | [five] But I would walk five hundred miles | [five] And I would walk five hundred more | [five] And I would walk five hundred miles | [five] And I would walk five hundred more | [hundred] But I would walk five hundred miles | [hundred] And I would walk five hundred more | [hundred] But I would walk five hundred miles | [hundred] And I would walk five hundred more | [hundred] But I would walk five hundred miles | [hundred] And I would walk five hundred more | [hundred] And I would walk five hundred miles | [hundred] And I would walk five hundred more | [thousand] Just to be the man who walked a thousand | [thousand] Just to be the man who walked a thousand | [thousand] Just to be the man who walked a thousand | [thousand] Just to be the man who walked a thousand,https://open.spotify.com/track/66S14BkJDxgkYxLl5DCqOz
Maria,Blondie,6,"million, million, million, million, million, million",[million] A million and one candle lights | [million] A million and one candle lights | [million] A million and one candle lights | [million] A million and one candle lights | [million] A million and one candle lights | [million] A million and one,https://open.spotify.com/track/7bOYOD0d7ByMTXvJnQVl8d
Six Blade Knife,Dire Straits,4,"six, six, six, six","[six] Your six blade knife do anything for you | [six] Your six blade knife do anything for you | [six] A six blade knife, you're strong | [six] Your six blade knife do anything for you",https://open.spotify.com/track/2miIOgni3EEut8pvYcxeYn
Sacrifice,Elton John,6,"two, two, two, two, two, two",[two] It's two hearts livin' | [two] In two separate worlds | [two] It's two hearts livin' | [two] In two separate worlds | [two] It's two hearts livin' | [two] In two separate worlds,https://open.spotify.com/track/0e3yhVeNaTfKIWQRw9U9sY
