Name,Artist,Total_Matches,Found_Words,Matched_Lines,Link
Piano Man,Billy Joel,5,"man, man, man, man, man","[man] There's an old man sittin' next to me | [man] Sing us a song, you're the piano man | [man] Sing us a song, you're the piano man | [man] And say, ""Man, what are you doin' here?"" | [man] Sing us a song, you're the piano man",https://open.spotify.com/track/70C4NyhjD5OZUMzvWZ3njJ
Father And Son,Yusuf / Cat Stevens,5,"father, father, father, father, father",[father] In “Father… Read More [Chorus: Father] | [father] [Verse 1: Father] | [father] [Chorus: Father & (Son)] | [father] [Verse 3: Son & (Father)],https://open.spotify.com/track/7GqRj0q9rPorTF52C6Sox5
Don't Cry (Original),Guns N' Roses,7,"baby, baby, baby, baby, baby, baby, baby","[baby] Don't you cry tonight, I still love you, baby | [baby] Don't you cry tonight, there's a heaven above you, baby | [baby] I'll still be thinking of you and the times we had, baby | [baby] Don't you cry tonight, there's a heaven above you, baby | [baby] You'll feel better tomorrow, come the morning light now, baby | [baby] Don't you cry tonight, there's a heaven above you, baby | [baby] Don't you cry tonight, baby, maybe someday",https://open.spotify.com/track/2N2yrmodOnVF10mKvItC9P
Saturday Night - Radio Mix,Whigfield,476,"baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man, man","[baby] (Man, man, man, man, man, man, man, man) Like you baby | [baby] (Man, man, man, man, man, man, man, man) Pretty baby | [baby] (Man, man, man, man, man, man, man, man) Be my baby | [baby] Be my baby (Man, man, man, man, man, man, man, man) | [baby] Pretty baby (Man, man, man, man, man, man, man, man) | [baby] (Man, man, man, man, man, man, man, man) Like you baby | [baby] (Man, man, man, man, man, man, man, man) Pretty baby | [baby] (Man, man, man, man, man, man, man, man) Be my baby | [baby] Pretty baby | [baby] Be my baby | [man] Man, man, man, man, man, man, Dee, dee, na, na, na | [man] Man, man, man, man, man, man, man, man | [man] Man, man, man, man, man, man, man, man | [man] Man, man, man, man, man, man, man, man | [man] Man, man, man, man, man, man, man, man | [man] [Verse: Whigfield & Rockets - ""Synthetic Man"" Sample] | [man] Saturday night, I feel the air is getting hot (Man, man, man, man, man, man, man, man) | [man] (Man, man, man, man, man, man, man, man) Like you baby | [man] I'll make you mine, you know I'll take you to the top (Man, man, man, man, man, man, man, man) | [man] (Man, man, man, man, man, man, man, man) I'll drive you crazy | [man] Saturday night, dance, I like the way you move (Man, man, man, man, man, man, man, man) | [man] (Man, man, man, man, man, man, man, man) Pretty baby | [man] It's party time and not one minute we can lose (Man, man, man, man, man, man, man, man) | [man] (Man, man, man, man, man, man, man, man) Be my baby | [man] [Chorus: Whigfield & Rockets - ""Synthetic Man"" Sample] | [man] Da ba da dan, dee dee dee da nee na na na (Man, man, man, man, man, man, man, man) | [man] Be my baby (Man, man, man, man, man, man, man, man) | [man] Da ba da dan, dee dee dee da nee na na na (Man, man, man, man, man, man, man, man) | [man] Pretty baby (Man, man, man, man, man, man, man, man) | [man] [Post-Chorus: Rockets - ""Synthetic Man"" Sample] | [man] Man, man, man, man, man, man, man, man | [man] Man, man, man, man, man, man, man, man | [man] Man, man, man, man, man, man, man, man | [man] Man, man, man, man, man, man, man, man | [man] [Verse: Whigfield & Rockets - ""Synthetic Man"" Sample] | [man] Saturday night, I feel the air is getting hot (Man, man, man, man, man, man, man, man) | [man] (Man, man, man, man, man, man, man, man) Like you baby | [man] I'll make you mine, you know I'll take you to the top (Man, man, man, man, man, man, man, man) | [man] (Man, man, man, man, man, man, man, man) I'll drive you crazy | [man] Saturday night, dance, I like the way you move (Man, man, man, man, man, man, man, man) | [man] (Man, man, man, man, man, man, man, man) Pretty baby | [man] It's party time and not one minute we can lose (Man, man, man, man, man, man, man, man) | [man] (Man, man, man, man, man, man, man, man) Be my baby | [man] [Bridge: Whigfield & Rockets - ""Synthetic Man"" Sample] | [man] Man, man, man, man, man, man, man, man | [man] Man, man, man, man, man, man, man, man | [man] Man, man, man, man, man, man, man, man | [man] Man, man, man, man, man, man, man, man | [man] [Break: Rockets - ""Synthetic Man"" Sample] | [man] Man, man, man, man, man, man, man, man | [man] Man, man, man, man, man, man, man, man | [man] Man, man, man, man, man, man, man, man | [man] Man, man, man, man, man, man, man, man | [man] Man, man, man, man, man, man, man, man | [man] Man, man, man, man, man, man, man, man | [man] Man, man, man, man, man, man, man, man | [man] Man, man, man, man, man, man, man, man | [man] [Outro: Whigfield & Rockets - ""Synthetic Man"" Sample] | [man] Saturday (Man, man, man, man) | [man] Saturday (Man, man, man, man) | [man] Saturday night (Man, man, man, man) | [man] Saturday night (Man, man, man, man) | [man] Saturday (Man, man, man, man) | [man] Saturday (Man, man, man, man) | [man] Saturday night (Man, man, man, man) | [man] Saturday night (Man, man, man, man) | [man] Saturday (Da ba da dan, dee dee dee/Man, man, man, man) | [man] Saturday (Da nee na na na/Man, man, man, man) | [man] Saturday night (Man, man, man, man) | [man] Saturday night (Man, man, man, man) | [man] Saturday (Da ba da dan, dee dee dee/Man, man, man, man) | [man] Saturday (Da nee na na na/Man, man, man, man) | [man] Saturday night (Man, man, man, man) | [man] Saturday night (Man, man, man, man) | [man] Saturday (Man, man, man, man) | [man] Saturday (Ooh, hoo/Man, man, man, man) | [man] Saturday night (Man, man, man, man) | [man] Saturday night (Man, man, man, man) | [man] Saturday (It's party time, hey!/Man, man, man, man) | [man] Saturday (It's party time, oh!/Man, man, man, man) | [man] Saturday night (Man, man, man, man) | [man] Saturday night (Man, man, man, man) | [man] Saturday (Man, man, man, man) | [man] Saturday (Ooh, hoo/Man, man, man, man) | [man] Saturday night (Man, man, man, man) | [man] Saturday night (Man, man, man, man) | [man] Saturday (It's party time, hey!/Man, man, man, man) | [man] Saturday (It's party time, oh!/Man, man, man, man) | [man] Saturday night (Man, man, man, man) | [man] Saturday night (Man, man, man, man) | [man] Saturday (Man, man, man, man) | [man] Saturday (Ooh, hoo/Man, man, man, man) | [man] Saturday night (Man, man, man, man) | [man] Saturday night (Man, man, man, man)",https://open.spotify.com/track/59VRFpPnC8pOhIH2WCWXF9
Kiss from a Rose,Seal,6,"baby, baby, baby, baby, baby, baby","[baby] Baby, I compare you to a kiss from a rose on the grey | [baby] You remain my power, my pleasure, my pain, baby | [baby] Won't you tell me, is that healthy, baby? | [baby] Baby, I compare you to a kiss from a rose on the grey | [baby] Won't you tell me, is that healthy, baby? | [baby] Baby, I compare you to a kiss from a rose on the grey",https://open.spotify.com/track/3YKptz29AsOlm7WAVnztBh
Say My Name,Destiny's Child,34,"baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, child, child, child, child, child, child, child","[baby] If no one is around you, say, ""Baby, I love you"" | [baby] You actin' kinda shady, ain't callin' me ""baby"" | [baby] If no one is around you, say, ""Baby, I love you"" | [baby] You actin' kinda shady, ain't callin' me ""baby"" | [baby] ""Baby, how's your day?"" But today, it ain't the same | [baby] If no one is around you, say, ""Baby, I love you"" (Love you) | [baby] You actin' kinda shady, ain't callin' me ""baby"" (Baby, yeah, yeah) | [baby] If no one is around you, say, ""Baby, I love you"" (Ye-yeah, ye-yeah, yeah) | [baby] You actin' kinda shady, ain't callin' me ""baby"" | [baby] If no one is around you, say, ""Baby, I love you"" (I love you) | [baby] You actin' kinda shady, ain't callin' me ""baby"" (Say my name) | [baby] If no one is around you, say, ""Baby, I love you"" (If ain't nothin' changed, oh) | [baby] If you ain't runnin' game (Baby, say my name) | [baby] You actin' kinda shady, ain't callin' me ""baby"" (Ooh, oh) | [baby] If no one is around you, say, ""Baby, I love you"" (If no one is around you) | [baby] You actin' kinda shady, ain't callin' me ""baby"" (Woah) | [baby] If no one is around you, say, ""Baby, I love you"" (Say, ""Baby, I love you"") | [baby] If you ain't runnin' game (Baby, say my name) | [baby] You actin' kinda shady, ain't callin' me ""baby"" (Shady, baby) | [baby] If no one is around you, say, ""Baby, I love you"" (Say, ""Baby, I love you"") | [baby] You actin' kinda shady, ain't callin' me ""baby"" (Say my name) | [baby] Say, ""Baby, I love you"" (Ye-yeah, ye-yeah, ye-yeah, ye-yeah) | [baby] Ain't callin' me ""baby"" (Ye-yeah, ye-yeah, ye-yeah, ye-yeah) | [child] [Chorus: Beyoncé & Destiny's Child] | [child] [Pre-Chorus: Destiny's Child & Beyoncé] | [child] [Chorus: Beyoncé & Destiny's Child] | [child] [Pre-Chorus: Destiny's Child & Beyoncé] | [child] [Chorus: Beyoncé & Destiny's Child] | [child] [Pre-Chorus: Destiny's Child & Beyoncé] | [child] [Chorus: Beyoncé & Destiny's Child]",https://open.spotify.com/track/7H6ev70Weq6DdpZyyTmUXk
I Want You Back,The Jackson 5,16,"baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby","[baby] Oh, baby, give me one more chance (To show you that I love you) | [baby] Oh, darlin', I was blind to let you go (Let you go, baby) | [baby] Ooh-ooh, baby (I want you back) | [baby] Oh, baby, all I need is one more chance (To show you that I love you) | [baby] Oh, darlin', I was blind to let you go (Let you go, baby) | [baby] Baby (Baby) | [baby] Baby (Baby) | [baby] Baby (Baby) | [baby] Oh, baby, I was blind to let you go | [baby] Oh, baby, I need one more chance, ha | [baby] (Baby) Oh (Baby), oh (Baby), oh",https://open.spotify.com/track/5LxvwujISqiB8vpRYv887S
"Oh, Pretty Woman",Roy Orbison,16,"woman, woman, woman, woman, woman, woman, woman, woman, woman, woman, woman, woman, woman, woman, woman, woman","[woman] Pretty woman, walking down the street | [woman] Pretty woman, the kind I'd like to meet | [woman] Pretty woman | [woman] Pretty woman, won't you pardon me? | [woman] Pretty woman, I couldn't help but see | [woman] Pretty woman | [woman] Pretty woman, stop a while | [woman] Pretty woman, talk a while | [woman] Pretty woman, give your smile to me | [woman] Pretty woman, yeah, yeah, yeah | [woman] Pretty woman, look my way | [woman] Pretty woman, say you'll stay with me | [woman] Pretty woman, don't walk on by | [woman] Pretty woman, don't make me cry | [woman] Pretty woman | [woman] Oh, oh, pretty woman",https://open.spotify.com/track/48i055G1OT5KxGGftwFxWy
Bohemian Rhapsody - Remastered 2011,Queen,4,"mama, mama, mama, mama","[mama] Mama, just killed a man | [mama] Mama, life had just begun | [mama] Mama, ooh, didn't mean to make you cry | [mama] Mama, ooh (Any way the wind blows)",https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
"What Is Love - 7"" Mix",Haddaway,13,"baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby","[baby] Baby, don't hurt me | [baby] Baby, don't hurt me | [baby] Oh, baby, don't hurt me | [baby] Oh, baby, don't hurt me | [baby] Oh, baby, don't hurt me | [baby] Oh, baby, don't hurt me | [baby] Oh, baby, don't hurt me | [baby] Oh, baby, don't hurt me | [baby] Oh, baby, don't hurt me | [baby] Oh, baby, don't hurt me | [baby] Oh, baby, don't hurt me | [baby] Oh, baby, don't hurt me | [baby] Oh, baby, don't hurt me",https://open.spotify.com/track/0bgkE357h56UcH4tyAnzil
