name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Believer,Imagine Dragons,1,rain,"fire, cloud","Pain, oh, let the bullets fly, oh, let them rain | I was chokin' in the crowd, building my rain up in the cloud | Pain, oh, let the bullets fly, oh, let them rain | Pain, oh, let the bullets fly, oh, let them rain",0pqnGHJpmpxLKifKRmU6WP
La Isla Bonita,Madonna,2,"sun, breeze",wind,"And when the samba played, the sun would set so high | And when the samba played, the sun would set so high | I want to be where the sun warms the sky | And when the samba played, the sun would set so high | And when the samba played, the sun would set so high | Tropical the island breeze, all of nature wild and free | Tropical the island breeze, all of nature wild and free | Tropical the island breeze, all of nature wild and free | Tropical the island breeze, all of nature wild and free",2Iib2MV3ECFJAourgP9dlY
Get Lucky Radio Edit feat Pharrell Williams and Nile Rodgers,Daft Punk,1,sun,,She's up all night 'til the sun | We're up all night 'til the sun | She's up all night 'til the sun | We're up all night 'til the sun | She's up all night 'til the sun | We're up all night 'til the sun,2Foc5Q5nqNiosCNqttzHof
Escape The Pina Colada Song,Rupert Holmes,1,rain,,And gettin' caught in the rain | And gettin' caught in the rain | And gettin' caught in the rain | And gettin' caught in the rain | And gettin' caught in the rain,5IMtdHjJ1OtkxbGe4zfUxQ
Down Under,Men At Work,1,thunder,,"Can't you hear, can't you hear the thunder? | Can't you hear, can't you hear the thunder? | Can't you hear, can't you hear the thunder? Oh | (Yeah, thunder, thunder) Can't you hear, can't you hear the thunder? | Can't you hear, can't you hear the thunder? Ooh yeah | (Can you, can you hear the thunder?) Can't you hear, can't you hear the thunder? | (Oh, hear) Can't you hear, can't you hear the thunder?",5pSvjjfsh34sLrkYSNGCl4
Titanium feat Sia,David Guetta,1,fire,,"Fire away, fire away | Fire away, fire away | Fire away, fire away | Fire away, fire away",0TDLuuLlV54CkRRUOahJb4
We Are Young feat Janelle Monáe,fun,2,"sun, fire",,We can burn brighter than the sun | We can burn brighter than the sun | We can burn brighter than the sun | We can burn brighter than the sun | We can burn brighter than the sun | We can burn brighter than the sun | So let's set the world on fire | So let's set the world on fire | So let's set the world on fire | So let's set the world on fire | So let's set the world on fire | So let's set the world on fire,5rgy6ghBq1eRApCkeUdJXf
Super Trouper,ABBA,1,sun,,Shinin' like the sun (Sup-p-per Troup-p-per) | Shinin' like the sun (Sup-p-per Troup-p-per) | Shinin' like the sun (Sup-p-per Troup-p-per) | Shinin' like the sun (Sup-p-per Troup-p-per),0J2p4KYdr6Mg4ET6JPlbe1
Unwritten,Natasha Bedingfield,1,rain,sun,Feel the rain on your skin | Feel the rain on your skin | Feel the rain on your skin | Feel the rain on your skin | Feel the rain on your skin,3U5JVgI2x4rDyHGObzJfNf
Its a Heartache,Bonnie Tyler,1,rain,,Standing in the cold rain | Standing in the cold rain | Standing in the cold rain | Standing in the cold rain,1Y7VG310Lf5IYP7sVOob4X
