name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Lemon Tree,Fools Garden,1,blue,yellow,"Yesterday, you told me 'bout the blue, blue sky",1yr9HpAu3prvxmq783ZELn
Sweet Home Alabama,Lynyrd Skynyrd,1,blue,"black, white",Where the skies are so blue | They pick me up when I'm feelin' blue | Where the skies are so blue (And the governor's true),7e89621JPkKaeDSTQ3avtg
Mr Jones,Counting Crows,1,gray,"red, blue, yellow, black","Paint myself in blue and red and black and gray | Yeah, well, you know gray is my favorite color | I would buy myself a gray guitar and play | I bought myself a gray guitar",5DiXcVovI0FcY2s0icWWUu
Grace Kelly,MIKA,5,"blue, green, purple, brown, violet",,"I could be brown, I could be blue | Gotta be green, gotta be mean | I could be hurtful, I could be purple | I could be violet sky",2SDx0PooHZI1SQKR0y44bs
Rehab,Amy Winehouse,1,black,,"Yes, I've been black, but when I come back, you'll know, know, know",1L5tZi0izXsi5Kk5OJf4W0
Paradise City,Guns N Roses,1,green,,Where the grass is green and the girls are pretty,3YBZIN3rekqsKxbJc9FZko
Karma Chameleon,Culture Club,2,"red, green",,"Red, gold and green, red, gold and green | Red gold and green, red gold and green",3XDeeP9wBZzGhIPZmLfEEx
Hot N Cold,Katy Perry,2,"black, white",,It's black and it's white,0iGckQFyv6svOfAbAY9aWJ
Super Trouper,ABBA,1,blue,,But I won't feel blue | But I won't feel blue (Sup-p-per Troup-p-per),0J2p4KYdr6Mg4ET6JPlbe1
Roxanne,The Police,1,red,,"You don't have to put on the red light | (Roxanne) Put on the red light | (Roxanne) Put on the red light, oh | (Roxanne) You don't have to put on the red light",3EYOJ48Et32uATr9ZmLnAo
Snow Hey Oh,Red Hot Chili Peppers,1,white,red,Where it's so white as snow | And it's so white as snow,2aibwv5hGXSgw7Yru8IYTO
Too Sweet,Hozier,1,black,,My coffee black and my bed at 3,3HMY0r2BAdpasXMY8rseR0
Big in Japan,Alphaville,1,blue,,"Big in Japan, ooh, the eastern sea's so blue",3BZGi1yUqQyCNC868AqUGG
