name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Losing My Religion,REM,1,up,,I set it up | Tryin' to keep up with you,31AOj9sFz2gM0O3hMARRBx
Basket Case,Green Day,1,up,down,It all keeps adding up | I think I'm cracking up,6L89mwZXSOwYl76YXfX13s
Killing Me Softly With His Song,Fugees,1,up,right,"This is Wyclef, Refugee Camp (L-Boogie up in here) | Pra'zrel, (Pra'zrel up in here! Ha! Ha!) | Lil' Base sits up there on the base (Refugees up in here) | Up in here, you know how we do, L-Boogie up in here | Wyclef, Pra'zrel, said L-Boogie up in here | Wyclef up in here | My man Lil' Base (Pra'zrel up in here) | Jerry one time (T Rocks up in here, we got Warren up in here) | This is how we— (Warren up, up in here, Outsiders up here) | Refugee Camp, Refugee Camp (We got Fallon up in here, Mulaney, Mulaney's up in here, we got Val' up in here)",0Q0IVlqMV64kNLlwjPj0Hl
U Cant Touch This,MC Hammer,1,down,back,"It feels good, when you know you're down | Break it down",1B75hgRqe7A4fwee3g3Wmu
Say My Name,Destinys Child,1,down,"up, back","Something's goin' down, that's the way it seems | Ye-yeah, ye-yeah (Break it down)",7H6ev70Weq6DdpZyyTmUXk
The Real Slim Shady,Eminem,1,up,"down, inside, front","Will the real Slim Shady please stand up? | Yeah, I probably got a couple of screws up in my head loose | So won't the real Slim Shady please stand up | Please stand up, please stand up? | Then you wonder, ""How can kids eat up these albums like Valiums?"" | With his windows down and his system up | So will the real Shady please stand up | And put one of those fingers on each hand up? | Fuck it, let's all stand up",3yfqSUWxFvZELEM4PmlwIR
Seven Nation Army,The White Stripes,1,back,right,"A seven-nation army couldn't hold me back | Takin' their time right behind my back | And if I catch it comin' back my way, I'm gonna serve it to you | And the stains comin' from my blood tell me, ""Go back home""",3dPQuX8Gs42Y7b454ybpMR
Whats Up,4 Non Blondes,1,outside,up,And so I wake in the morning and I step outside | (Wake in the morning and step outside),0jWgAnTrNZmOGmqgvHhZEm
Surfin USA  Remastered 2001,The Beach Boys,2,"inside, outside",down,"You'll catch 'em surfin' at Del Mar (Inside, outside, USA) | Ventura County line (Inside, outside, USA) | Santa Cruz and Trestle (Inside, outside, USA) | Australia's Narrabeen (Inside, outside, USA) | All over Manhattan (Inside, outside, USA) | And down Doheny Way (Inside, outside, USA) | At Haggerty's and Swami's (Inside, outside, USA) | Pacific Palisades (Inside, outside, USA) | San Onofre and Sunset (Inside, outside, USA) | Redondo Beach, L.A. (Inside, outside, USA) | All over La Jolla (Inside, outside, USA) | At Waiamea Bay (Inside, outside, USA)",0wz1LjDb9ZNEYwOmDJ3Q4b
Im Still Standing,Elton John,1,up,"down, back",You'll wind up like the wreck you hide behind that mask you use | Pickin' up the pieces of my life without you on my mind,1jDJFeK9x3OZboIAHsY9k2
Hymn for the Weekend,Coldplay,1,up,"down, above","Oh, angel sent from up above | You know you make my world light up | You came to lift me up | Oh, now I think I must be miles up | When I was a river dried up",3RiPr603aXAoi4GHyXx0uy
The Scientist,Coldplay,1,back,up,"Oh, let's go back to the start | Oh, take me back to the start | And tell me you love me, come back and haunt me (Ooh) | Comin' back as we are | I'm goin' back to the start",2LTl1pU074hnzAdy0SpHAb
Believer,Imagine Dragons,2,"up, down","inside, above","I'm fired up and tired of the way that things have been, oh-ooh | Pain! You break me down, you build me up, believer, believer | Third things third, send a prayer to the ones up above | Your spirit up above, oh-ooh | I was chokin' in the crowd, building my rain up in the cloud | Inhibited, limited 'til it broke open and rained down | It rained down like",0pqnGHJpmpxLKifKRmU6WP
Africa,TOTO,1,down,"inside, above",I bless the rains down in Africa | I bless the rains down in Africa (I bless the rains) | I bless the rains down in Africa (I'm gonna take the time),2374M0fQpWi3dLnB54qaLX
Do I Wanna Know,Arctic Monkeys,1,back,"up, down",Crawlin' back to you | Crawlin' back to you (Crawlin' back to you) | (Do I wanna know?) Do you want me crawlin' back to you?,5FVd6KXrgO9B3JPmC8OPst
In the End,Linkin Park,1,far,"down, right, inside, back, below",I tried so hard and got so far | I'm surprised it got so far | Pushed as far as I can go,60a0Rd6pjrkxjPbaKzXjfq
Radioactive,Imagine Dragons,1,up,"right, inside","I'm waking up to ash and dust | I'm breaking in, shaping up | I'm waking up, I feel it in my bones",62yJjFtgkhUrXktIoSjgP2
Eye of the Tiger,Survivor,1,up,back,"Risin' up, back on the street | Risin' up to the challenge of our rival | Risin' up, straight to the top",2KH16WveTQWT6KOG9Rg6e2
You Are Not Alone,Michael Jackson,1,far,,"Though you're far away, I am here to stay | Though we're far apart, you're always in my heart | Though you're far away (Though you're far away, you and me)",3AoeaZs8dFemFJr3JdzOL0
Bitter Sweet Symphony  Remastered 2016,The Verve,1,down,,I'll take you down the only road I've ever been down | (Have you ever been down?) | Have you ever been down? | (I'll take you down the only road I've ever been down) | Been down | Ever been down,57iDDD9N9tTWe75x6qhStw
Will You Be There,Michael Jackson,1,up,,"Carry me boldly (Carry me), lift me up slowly (Yeah) | Heal me and bathe me (Lift me up, lift me up) | Lift me, lift me up slowly, carry me boldly (Yeah) | Love me and feed me (Lift me up, hold me up) | Kiss me and free me (Lift me up sometimes, up sometimes)",1igW25R8lnb5ze9GWbuVsl
Rain,MIKA,1,back,,"You'd better get back, 'cause I'm ready for | I can't look back | You'd better get back, 'cause I'm ready for)",5blWGYRc1tWm5tjzhsJs0J
Lollipop,MIKA,1,down,,"Oh loves gonna get you down | Cuz love’s gonna get you down” | Oh bad girls get you down” | Cuz love only gets you down | Oh love, come get me down! | Or love’s gonna get you down”",2NjhV99ncY4A5lSkTHvTtU
This Is The Life,Amy Macdonald,1,up,"down, outside","And you wake up in the mornin', and your head feels twice the size",2T3jgoAMbBXiMMD8pSc6QL
This Love,Maroon 5,1,front,,"And her heart is breakin' in front of me | Her heart is breakin' in front of me | And my heart is breakin' in front of me | And her heart is breakin' in front of me (Yeah, oh)",5zF2zGPkL6Ipsn9AfAK6RP
Rolling in the Deep,Adele,1,inside,"down, back",You had my heart inside of your hand (You're gonna wish you never had met me) | You had my heart inside of your hand,4OSBTYWVwsQhGLF9NHvIbR
Rehab,Amy Winehouse,1,back,near,"Yes, I've been black, but when I come back, you'll know, know, know",1L5tZi0izXsi5Kk5OJf4W0
Rocket Man I Think Its Going To Be A Long Long Time,Elton John,1,up,,Rocket man burnin' out his fuse up here alone,3gdewACMIVMEWVbyb8O9sY
Goodbye Yellow Brick Road  Remastered 2014,Elton John,1,back,"up, down",I'm goin' back to my plough,4IRHwIZHzlHT1FQpRa5RdE
Welcome To The Jungle,Guns N Roses,1,down,,"Ever want to come down | So down, so down, so down | It's gonna bring you down",0bVtevEgtDIeRjCJbK3Lmv
Paradise City,Guns N Roses,2,"down, far",back,"Take me down to the Paradise City | Take me down (Oh yeah), meet me 'round (Yeah) | So far away",3YBZIN3rekqsKxbJc9FZko
Like a Prayer,Madonna,1,down,,I'm down on my knees,2v7ywbUzCgcVohHaKUcacV
Hot N Cold,Katy Perry,2,"up, down",,"You're up, then you're down | We fight, we break up | We kiss, we make up | You're up, then you're down (Down)",0iGckQFyv6svOfAbAY9aWJ
Get Lucky Radio Edit feat Pharrell Williams and Nile Rodgers,Daft Punk,1,up,"far, back",To give up who we are | She's up all night 'til the sun | I'm up all night to get some | She's up all night for good fun | I'm up all night to get lucky | We're up all night 'til the sun | We're up all night to get some | We're up all night for good fun | We're up all night to get lucky | Wе're up all night to get lucky | We'rе up all night to get lucky | We're up all night to get | We're up all night to get back together | We're up all night to get (Let's get funked again) | We're up all night to get (Funky),2Foc5Q5nqNiosCNqttzHof
A Man Without Love,Engelbert Humperdinck,1,up,"down, inside, above","Every day I wake up, then I start to break up",0oUBuOO4g9P4lREqfqR5nq
YMCA  Original Version 1978,Village People,1,down,"up, back","Young man, there's no need to feel down, I said | I was down and out with the blues, I felt | Young man, young man, there's no need to feel down | Young man, young man, I was down with the blues",54OR1VDpfkBuOY5zZjhZAY
Come Fly With Me  Remastered 1998,Frank Sinatra,1,up,"down, near","Once I get you up there, where the air is rarefied | Oncе I get you up there, I'll bе holding you so near | Once I get you up there, I'll be holding you so near | Pack up, let's fly away!",4hHbeIIKO5Y5uLyIEbY9Gn
Tiny Dancer,Elton John,1,down,"near, back",Lay me down in sheets of linen,2TVxnKdb3tqe1nhQWwwZCO
Never Gonna Give You Up,Rick Astley,1,down,"up, inside",Never gonna let you down,4cOdK2wGLETKBW3PvgPWqT
Hit the Road Jack,Ray Charles,1,back,,"Hit the road, Jack, and don't ya come back | Hit the road, Jack, and don't ya come back no more | 'Cause I'll be back on my feet someday | Well (Don't ya come back no more) | Uh, what'd you say? (Don't ya come back no more) | I didn't understand you (Don't ya come back no more) | You can't mean that (Don't ya come back no more) | Oh, now, baby, please (Don't ya come back no more) | What you're trying to do to me? (Don't ya come back no more)",5dUMh0ugelpKfoFp3qChuK
I Will Survive,Gloria Gaynor,2,"up, down",back,"I used to cry, but now I hold my head up high | Did you think I'd crumble? Did you think I'd lay down and die? | Did you think I'd crumble? Did you think I'd break down and die?",7rIovIsXE6kMn629b7kDig
Oh Darling  2019 Mix,The Beatles,1,down,,"Well, you know I nearly broke down and cried | Well, you know I nearly fell down and died | I'll never let you down",0vCuYbvaN9wd8dA0LZ40i7
Another Love,Tom Odell,1,up,,But all my tears have been used up | All my tears have been used up,3JvKfv6T31zO0ini8iNItO
Titanium feat Sia,David Guetta,1,down,up,"You shoot me down, but I get up | You shoot me down, but I won't fall | Cut me down, but it's you who'll have further to fall",0TDLuuLlV54CkRRUOahJb4
Think,Aretha Franklin,1,right,back,"Yeah, freedom, right now | Oh, freedom, oh, right now | Think about it right now | Yeah, right now | (To the bone, for deepness) Oh, right now | (To the bone, for deepness) Yeah, right now",0jkBzn7J5jc889TYxwvXy6
Pump It,Black Eyed Peas,3,"up, down, right",back,"Turn up the radio, blast the stereo right | So, turn me up (Turn it up) | Turn me up (Turn it up) | Turn me up | Turn up your radio | Dude need to ease on up (Dude) | 'Cause we gonna turn it up (Turn it up) | Turn it up (Turn it up) | Turn it up | Girls be all on us from London back down to the U.S. (S. S.) | But dude get shut like Flava (Shut 'em down) | Chicks say she ain't down | Breakin' on down for the B-Boys and B-Girls waitin' to do their thing | D-E-F, that's right, we def' (Rock) | Blast your stereo right now (Ha) | It's sizzlin' right | Can you check this out right here? | This joint is fizzlin', it's sizzlin' right",2ygMBIctKIAfbEBcT9065L
The Lazy Song,Bruno Mars,1,up,,"Don't feel like pickin' up my phone | I'm gonna kick my feet up, then stare at the fan | Tomorrow, I'll wake up, do some P90X",386RUes7n1uM1yfzgeUuwp
Love Of My Life  Remastered 2011,Queen,1,back,,"Bring it back, bring it back | (Please bring it back, back) Bring it back, bring it back | Back, hurry back | Please bring it back home to me",790YJcgHlN3SaosQCHlWzn
21 Guns,Green Day,2,"up, down",inside,"Lay down your arms, give up the fight | Throw up your arms into the sky | When you burned down the house and home?",64yrDBpcdwEdNY9loyEGbX
Instant Crush Drumless Edition feat Julian Casablancas,Daft Punk,1,up,"down, right",Can I give it up or give it away?,2jmKcUO1mjqU4uypiDvpny
Instant Crush feat Julian Casablancas,Daft Punk,1,up,"down, right",Can I give it up or give it away?,2cGxRwrMyEAp8dEbuZaVv6
