name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Dont Cry Original,Guns N Roses,1,baby,,"Don't you cry tonight, I still love you, baby | Don't you cry tonight, there's a heaven above you, baby | I'll still be thinking of you and the times we had, baby | Don't you cry tonight, there's a heaven above you, baby | You'll feel better tomorrow, come the morning light now, baby | Don't you cry tonight, there's a heaven above you, baby | Don't you cry tonight, baby, maybe someday",2N2yrmodOnVF10mKvItC9P
Saturday Night  Radio Mix,Whigfield,2,"baby, man",,"(Man, man, man, man, man, man, man, man) Like you baby | (Man, man, man, man, man, man, man, man) Pretty baby | (Man, man, man, man, man, man, man, man) Be my baby | Be my baby (Man, man, man, man, man, man, man, man) | Pretty baby (Man, man, man, man, man, man, man, man) | (Man, man, man, man, man, man, man, man) Like you baby | (Man, man, man, man, man, man, man, man) Pretty baby | (Man, man, man, man, man, man, man, man) Be my baby | Pretty baby | Be my baby | Man, man, man, man, man, man, Dee, dee, na, na, na | Man, man, man, man, man, man, man, man | Man, man, man, man, man, man, man, man | Man, man, man, man, man, man, man, man | Man, man, man, man, man, man, man, man | Saturday night, I feel the air is getting hot (Man, man, man, man, man, man, man, man) | (Man, man, man, man, man, man, man, man) Like you baby | I'll make you mine, you know I'll take you to the top (Man, man, man, man, man, man, man, man) | (Man, man, man, man, man, man, man, man) I'll drive you crazy | Saturday night, dance, I like the way you move (Man, man, man, man, man, man, man, man) | (Man, man, man, man, man, man, man, man) Pretty baby | It's party time and not one minute we can lose (Man, man, man, man, man, man, man, man) | (Man, man, man, man, man, man, man, man) Be my baby | Da ba da dan, dee dee dee da nee na na na (Man, man, man, man, man, man, man, man) | Be my baby (Man, man, man, man, man, man, man, man) | Da ba da dan, dee dee dee da nee na na na (Man, man, man, man, man, man, man, man) | Pretty baby (Man, man, man, man, man, man, man, man) | Man, man, man, man, man, man, man, man | Man, man, man, man, man, man, man, man | Man, man, man, man, man, man, man, man | Man, man, man, man, man, man, man, man | Saturday night, I feel the air is getting hot (Man, man, man, man, man, man, man, man) | (Man, man, man, man, man, man, man, man) Like you baby | I'll make you mine, you know I'll take you to the top (Man, man, man, man, man, man, man, man) | (Man, man, man, man, man, man, man, man) I'll drive you crazy | Saturday night, dance, I like the way you move (Man, man, man, man, man, man, man, man) | (Man, man, man, man, man, man, man, man) Pretty baby | It's party time and not one minute we can lose (Man, man, man, man, man, man, man, man) | (Man, man, man, man, man, man, man, man) Be my baby | Man, man, man, man, man, man, man, man | Man, man, man, man, man, man, man, man | Man, man, man, man, man, man, man, man | Man, man, man, man, man, man, man, man | Man, man, man, man, man, man, man, man | Man, man, man, man, man, man, man, man | Man, man, man, man, man, man, man, man | Man, man, man, man, man, man, man, man | Man, man, man, man, man, man, man, man | Man, man, man, man, man, man, man, man | Man, man, man, man, man, man, man, man | Man, man, man, man, man, man, man, man | Saturday (Man, man, man, man) | Saturday (Man, man, man, man) | Saturday night (Man, man, man, man) | Saturday night (Man, man, man, man) | Saturday (Man, man, man, man) | Saturday (Man, man, man, man) | Saturday night (Man, man, man, man) | Saturday night (Man, man, man, man) | Saturday (Da ba da dan, dee dee dee/Man, man, man, man) | Saturday (Da nee na na na/Man, man, man, man) | Saturday night (Man, man, man, man) | Saturday night (Man, man, man, man) | Saturday (Da ba da dan, dee dee dee/Man, man, man, man) | Saturday (Da nee na na na/Man, man, man, man) | Saturday night (Man, man, man, man) | Saturday night (Man, man, man, man) | Saturday (Man, man, man, man) | Saturday (Ooh, hoo/Man, man, man, man) | Saturday night (Man, man, man, man) | Saturday night (Man, man, man, man) | Saturday (It's party time, hey!/Man, man, man, man) | Saturday (It's party time, oh!/Man, man, man, man) | Saturday night (Man, man, man, man) | Saturday night (Man, man, man, man) | Saturday (Man, man, man, man) | Saturday (Ooh, hoo/Man, man, man, man) | Saturday night (Man, man, man, man) | Saturday night (Man, man, man, man) | Saturday (It's party time, hey!/Man, man, man, man) | Saturday (It's party time, oh!/Man, man, man, man) | Saturday night (Man, man, man, man) | Saturday night (Man, man, man, man) | Saturday (Man, man, man, man) | Saturday (Ooh, hoo/Man, man, man, man) | Saturday night (Man, man, man, man) | Saturday night (Man, man, man, man)",59VRFpPnC8pOhIH2WCWXF9
Say My Name,Destinys Child,1,baby,girl,"You actin' kinda shady, ain't callin' me ""baby"" | You actin' kinda shady, ain't callin' me ""baby"" | You actin' kinda shady, ain't callin' me ""baby"" (Baby, yeah, yeah) | You actin' kinda shady, ain't callin' me ""baby"" | You actin' kinda shady, ain't callin' me ""baby"" (Say my name) | You actin' kinda shady, ain't callin' me ""baby"" (Ooh, oh) | You actin' kinda shady, ain't callin' me ""baby"" (Woah) | You actin' kinda shady, ain't callin' me ""baby"" (Shady, baby) | You actin' kinda shady, ain't callin' me ""baby"" (Say my name) | Ain't callin' me ""baby"" (Ye-yeah, ye-yeah, ye-yeah, ye-yeah)",7H6ev70Weq6DdpZyyTmUXk
I Want You Back,The Jackson 5,1,baby,girl,"Oh, baby, give me one more chance (To show you that I love you) | Oh, darlin', I was blind to let you go (Let you go, baby) | Ooh-ooh, baby (I want you back) | Oh, baby, all I need is one more chance (To show you that I love you) | Oh, darlin', I was blind to let you go (Let you go, baby) | Oh, baby, I was blind to let you go | Oh, baby, I need one more chance, ha",5LxvwujISqiB8vpRYv887S
We Will Rock You  Remastered 2011,Queen,1,man,"boy, queen","Playing in the street, gonna be a big man someday | Buddy, you're a young man, hard man | Buddy, you're an old man, poor man",4pbJqGIASGPr0ZpGpnWkDn
What Is Love  7 Mix,Haddaway,1,baby,,"Oh, baby, don't hurt me | Oh, baby, don't hurt me | Oh, baby, don't hurt me | Oh, baby, don't hurt me | Oh, baby, don't hurt me | Oh, baby, don't hurt me | Oh, baby, don't hurt me | Oh, baby, don't hurt me | Oh, baby, don't hurt me | Oh, baby, don't hurt me | Oh, baby, don't hurt me",0bgkE357h56UcH4tyAnzil
Dont Stop Til You Get Enough,Michael Jackson,1,baby,enemy,"Oh, baby, keep on, keep on | Keep on with the force, don't stop (Don't stop, baby) | Don't stop 'til you get enough (Oh, my baby) | Keep on with the force, don't stop (Don't play, baby) | Keep on with the force, don't stop (Keep on, baby) | Keep on with the force, don't stop (Keep on, baby)",46eu3SBuFCXWsPT39Yg3tJ
Black or White,Michael Jackson,1,baby,"brother, girl",I took my baby on a Saturday bang | But if you're thinkin' about my baby | But if you're thinkin' about my baby | But if you're thinkin' about my baby | I said if you're thinkin' of being my baby,7EsjkelQuoUlJXEw7SeVV4
One More Night,Maroon 5,1,baby,,"Yeah but baby, there you go again, there you go again | Yeah but baby, there you go again, there you go again | Yeah, baby, give me one more night | Yeah, baby, give me one more night (Woah, yeah) | Yeah, baby, give me one more night | But baby, there you go again, there you go again | (Yeah, baby, give me one more night)",6cpk00i5TxCqSeqNi2HuIe
Shape of You,Ed Sheeran,1,baby,,"Come on, be my baby, come on | Come on, be my baby, come on | Come on, be my baby, come on | Come on, be my baby, come on | Come on, be my baby, come on | Come on, be my baby, come on | Come on, be my baby, come on | Come on, be my baby, come on | Come on, be my baby, come on | Come on, be my baby, come on | Come on, be my baby, come on | Come on, be my baby, come on | Come on, be my baby, come on | Come on, be my baby, come on",7qiZfU4dY1lWllzX7mPBI3
