name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
November Rain,Guns N Roses,1,one,,"When there's no one left to blame | (You're not the only one, you're not the only one) | You're not the only one, you're not the only one | You're not the only one, you're not the only one | You're not the only one, you're not the only one",3YRCqOhFifThpSRFJ1VWFM
Wonderwall,Oasis,1,one,,You're gonna be the one that saves me | You're gonna be the one that saves me | You're gonna be the one that saves me | You're gonna be the one that saves me (That saves me) | You're gonna be the one that saves me (That saves me) | You're gonna be the one that saves me (That saves me),2tDz0gabkgCjFE34CWvwrl
Killing Me Softly With His Song,Fugees,1,one,two,"One time (One time), one time, (One time) | Strumming my pain with his fingers (One time, one time) | Then read each one out loud | Strumming my pain with his fingers (One time, one time) | Jerry one time (T Rocks up in here, we got Warren up in here)",0Q0IVlqMV64kNLlwjPj0Hl
Say My Name,Destinys Child,2,"one, two",,"If no one is around you, say, ""Baby, I love you"" | If no one is around you, say, ""Baby, I love you"" | I am not the one to sit around and be played | If no one is around you, say, ""Baby, I love you"" (Love you) | If no one is around you, say, ""Baby, I love you"" (Ye-yeah, ye-yeah, yeah) | If no one is around you, say, ""Baby, I love you"" (I love you) | If no one is around you, say, ""Baby, I love you"" (If ain't nothin' changed, oh) | If no one is around you, say, ""Baby, I love you"" (If no one is around you) | If no one is around you, say, ""Baby, I love you"" (Say, ""Baby, I love you"") | If no one is around you, say, ""Baby, I love you"" (Say, ""Baby, I love you"") | If no one is around you (Ye-yeah, ye-yeah) | Where you're sayin' everything to me times two | When two seconds ago said you just got in the house | Where you're sayin' everything to me times two | Where you're sayin' everything to me times two",7H6ev70Weq6DdpZyyTmUXk
I Want You Back,The Jackson 5,1,one,,"But someone picked you from the bunch, one glance was all it took | Oh, baby, give me one more chance (To show you that I love you) | Trying to live without your love is one long, sleepless night | Oh, baby, all I need is one more chance (To show you that I love you) | Oh, just one more chance | Oh, baby, I need one more chance, ha",5LxvwujISqiB8vpRYv887S
A Kind Of Magic  Remastered 2011,Queen,1,one,,"One dream, one soul | One prize, one goal | There can be only one | There can be only one",5RYLa5P4qweEAKq5U1gdcK
Bitter Sweet Symphony  Remastered 2016,The Verve,1,one,million,You know the one that takes you to the places | But I'm a million different people from one day to the next | And I'm a million different people from one day to the next | You know the one that takes you to the places | And I'm a million different people from one day to the next,57iDDD9N9tTWe75x6qhStw
Beat It,Michael Jackson,1,one,,"No one wants to be defeated | No one wants to be defeated | No one wants to be defeated | No one wants to be defeated | No one wants to be defeated (No, no) | No one wants to be defeated (Oh, no) | No one wants to be defeated | No one wants to be—",3BovdzfaX4jb5KFQwoPfAw
One More Night,Maroon 5,1,million,one,"And I know I've said it a million times | And I know I've said it a million times (Yeah) | And I know I've said it a million times | (Oh, I've said it a million times) | And I know I've said it a million times (Yeah, yeah)",6cpk00i5TxCqSeqNi2HuIe
Boulevard of Broken Dreams,Green Day,1,one,,"The only one that I have ever known | And I'm the only one, and I walk alone | My shadow's the only one that walks beside me | My shadow's the only one that walks beside me | And I'm the only one, and I walk a— | My shadow's the only one that walks beside me",1hwJKpe0BPUsq6UUrwBWTw
Fortunate Son,Creedence Clearwater Revival,1,one,,"I ain't no fortunate one, no | I ain't no fortunate one, no | I ain't no fortunate one, one | I ain't no fortunate one, no, no, no",4BP3uh0hFLFRb5cjsgLqDh
I Will Survive,Gloria Gaynor,1,one,,If I'd have known for just one second you'd be back to bother me | Weren't you the one who tried to hurt me with goodbye? | Weren't you the one who tried to break me with goodbye? | Weren't you the one who tried to break me with goodbye? | Weren't you the one who tried to hurt me with goodbye?,7rIovIsXE6kMn629b7kDig
Gimme Gimme Gimme A Man After Midnight,ABBA,1,one,twelve,"No one to hear my prayer | But there's nothing there to see, no one in sight | No one to hear my prayer | No one to hear my prayer",2TjNlK2tNBxF8C8RIaK9Gb
7 Years,Lukas Graham,2,"seven, twenty","one, eleven, thirty","Once, I was seven years old, my mama told me | Once, I was seven years old | Once, I was seven years old, my mama told me | Once, I was seven years old | Once, I was seven years old | Once, I was twenty years old, my story got told | Once, I was twenty years old (Lukas Graham!) | Once, I was twenty years old, my story got told | Once, I was twenty years old",5kqIPrATaCc2LqxVWzQGbk
Billie Jean,Michael Jackson,1,one,"three, forty","I said, ""Don't mind, but what do you mean, I am the one? | She said I am the one | Then every head turned with eyes that dreamed of bein' the one, uh | She's just a girl who claims that I am the one (Oh, baby) | Uh, she says I am the one (Oh, baby) | She's just a girl who claims that I am the one, uh | She's just a girl who claims that I am the one | She says I am the one (Oh, baby) | She says I am the one, uh | She's just a girl who claims that I am the one (You know what you did to me, baby) | She says I am the one (No, baby) | She says I am the one (You know what you did) | She says I am the one",7J1uxwnxfQLu4APicE5Rnj
Son Of A Preacher Man,Dusty Springfield,1,one,,The only one who could ever reach me | The only one who could ever reach me | The only one who could ever reach me | (The only one who could ever reach me) | (The only one who could ever move me) | (The only one who could ever groove me) | (The only one who could ever reach me),6ek9SiEj5a65WIs2EV7qiM
Super Trouper,ABBA,1,one,twenty,Feeling like a number one | Feeling like a number one | Feeling like a number one | Feeling like a number one,0J2p4KYdr6Mg4ET6JPlbe1
How You Remind Me,Nickelback,1,five,,"These five words in my head | These five words in my head | These five words in my head | Yeah, yeah (These five words in my head scream) | Yeah, yeah (These five words in my head)",0gmbgwZ8iqyMPmXefof8Yf
Chelsea Dagger,The Fratellis,1,one,,"It's one for the Dagger and another for the one you believe | It's one for the Dagger, another for the one you believe",1bCmvezFg5MRcENzCGG1Cy
Imagine  Remastered 2010,John Lennon,1,one,,But I'm not the only one | And the world will be as one | But I'm not the only one | And the world will live as one,7pKfPomDEeI4TPT6EOYjn9
