name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
I Get Around Mono,The Beach Boys,1,town,beach,From town to town,3v9xlH6BpmRbqL7hgNJhfT
Viva La Vida,Coldplay,1,world,,I used to rule the world | And that was when I ruled the world | But that was when I ruled the world,68l6YZZ8TlcWVq98l5eW6l
Barbie Girl,Aqua,1,world,town,I'm a Barbie girl in the Barbie world | I'm a blonde bimbo girl in a fantasy world,5ZrDlcxIDZyjOzHdYW1ydr
Kiss,Prince,1,world,,"You don't have to be cool to rule my world | Women, not girls, rule my world, I said they rule my world",62LJFaYihsdVrrkgUOJC05
Material Girl,Madonna,1,world,,"'Cause we are living in a material world | You know that we are living in a material world | Living in a material world | Living in a material world (Material) | 'Cause everybody's living in a material world | A material, a material, a material, a material world | Living in a material world (Material-al)",22sLuJYcvZOSoLLRYev1s5
Money Money Money,ABBA,1,world,,In the rich man's world | It's a rich man's world,3lKN03PDeBnXZS7sDukRBt
The Lazy Song,Bruno Mars,1,bed,,I just wanna lay in my bed,386RUes7n1uM1yfzgeUuwp
We Are Young feat Janelle Monáe,fun,1,world,bar,So let's set the world on fire,5rgy6ghBq1eRApCkeUdJXf
7 Years,Lukas Graham,1,world,,"It was a big, big world, but we thought we were bigger | We've traveled around the world and we're still roamin' | Soon, I'll be sixty years old, will I think the world is cold",5kqIPrATaCc2LqxVWzQGbk
Shooting Stars,Bag Raiders,1,street,,"Now I only see ahead of me, chasin' down the street | (Down the street, down the street, down the street, down the street, down the...)",0UeYCHOETPfai02uskjJ3x
Chasing Cars,Snow Patrol,1,world,,Would you lie with me and just forget the world?,5hnyJvgoWiQUYZttV4wXy6
Wicked Game,Chris Isaak,1,world,,"The world was on fire, and no one could save me but you | No, I don't wanna fall in love (This world is only gonna break your heart) | (This world is only gonna break your heart) | And I don't wanna fall in love (This world is only gonna break your heart) | No, I— (This world is only gonna break your heart)",7w5AOd6HrDIHewHfpABEss
The Passenger,Iggy Pop,1,city,,We'll ride through the city tonight | He sees the city asleep at night,15BQ7vEDv2LJuh8TxWIhtd
Our House,Madness,1,street,"house, school",Our house in the middle of our street,5ayicakbGkOJJLW26HJ8Rg
Up Where We Belong,Joe Cocker,1,world,,"In a world few hearts survive | Far from the world below, up where the clear winds blow | Far from the world we know, where the clear wind blows | Far from the world we know, where the clear winds blow",5NoUgO4Kr93QymQGQlBC7b
Is This Love,Bob Marley  The Wailers,2,"bed, room",,"We'll share the shelter of my single bed | We'll share the shelter, yeah, oh-yeah, of my single bed | We'll share the same room, yeah, for Jah provide the bread | We'll share the same room, yeah, for Jah provides the bread | We'll share the same room, yeah, Jah provides the bread | We'll share the same room",6JRLFiX9NJSoRRKxowlBYr
Dancing With Myself,Billy Idol,1,world,town,"If I looked all over the world | If I had the chance, I'd ask the world to dance | Well, if I looked all over the world | If I had the chance, I'd ask the world to dance, ow",1BY1Vd2Bt6JPOhMvsIwtVv
Message In A Bottle,The Police,1,world,,I'll send an SOS to the world,1oYYd2gnWZYrt89EBXdFiO
Bongo Bong,Manu Chao,1,town,city,I went to the big town | I'm a king without a crown hanging loose in a big town | They say there is no place for little monkey in this town | Hangin' loose in a big town,00SmB7n85SKROGjybsyq5i
We Are The People,Empire Of The Sun,1,world,city,We are the people that rule the world | All rejoicing in the world,3zEN0ii6s4DHHBpnTp3RP7
Too Sweet,Hozier,1,bed,"world, heaven",To go to bed before the daylight | My coffee black and my bed at 3,3HMY0r2BAdpasXMY8rseR0
Man in the Mirror,Michael Jackson,1,world,street,If you wanna make the world a better place | If you want to make the world a better place,2u2udGmop1z67EPpr91km7
Maneater,Nelly Furtado,1,world,,"(I've been around the world, I ain't never seen a girl like this)",4wH4dJgrsxONID6KS2tDQM
Uptown Girl,Billy Joel,1,world,,She's been living in her uptown world | She's been living in her white-bred world | You know I've seen her in her uptown world,5zA8vzDGqPl2AzZkEYQGKh
Deceptacon,Le Tigre,1,disco,,"I can see your disco, disco dick is sucking my heart out of my mind | Wanna disco? Wanna see me disco?",5773KSWFzg9kCc8yazjbSt
Cant Stop,Red Hot Chili Peppers,1,world,,"The world I love, the tears I drop | The world I love, the trains I hop",3ZOEytgrvLwQaqXreDs2Jx
