name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Wind Of Change,Scorpions,2,"night, tomorrow",summer,An August summer night | On a glory night | On a glory night (A glory night) | Where the children of tomorrow dream away (Dream away) | Where the children of tomorrow share their dreams (Share their dreams),3ovjw5HZZv43SxTwApooCM
Enter Sandman,Metallica,2,"night, never",,Enter night | And never mind that noise you heard,5sICkBXVmaCQk5aISGR3x1
Maniac,Michael Sembello,1,never,"night, always",And she's dancing like she's never danced before | Is a place most never see,0QKfiqpEU4h9ycPSzIFwYe
Whats Up,4 Non Blondes,1,morning,day,And so I wake in the morning and I step outside | (Wake in the morning and step outside),0jWgAnTrNZmOGmqgvHhZEm
A Kind Of Magic  Remastered 2011,Queen,1,soon,day,"Will soon be done | Will soon be, will soon be | Will soon be done! | Will soon be done (done!)",5RYLa5P4qweEAKq5U1gdcK
Every Breath You Take,The Police,2,"day, night",,"Every single day | (Every single day, every word you say) | Every game you play, every night you stay | I dream at night, I can only see your face | (Every game you play, every night you stay)",1JSTJqkT5qHq8MDJnJbRE1
Take on Me,aha,1,day,today,Today is another day to find you | In a day or two | In a day | In a day (Take me on) (Take on me),2WfaOiMkCvy7F5fcp2zZ8L
Mr Jones,Counting Crows,1,never,"morning, yesterday","You can never be lonely | I will never be lonely | Said, I'm never gonna be lonely",5DiXcVovI0FcY2s0icWWUu
Viva La Vida,Coldplay,1,never,minute,"Once you'd gone, there was never",68l6YZZ8TlcWVq98l5eW6l
Paradise,Coldplay,1,night,,"In the night, the stormy night, she'd close her eyes | In the night, the stormy night, away she'd fly",6nek1Nin9q48AVZcWs9e9D
You Are Not Alone,Michael Jackson,1,always,"day, morning, night, never","Though we're far apart, you're always in my heart | But you are not alone (You are always in my heart)",3AoeaZs8dFemFJr3JdzOL0
They Dont Care About Us,Michael Jackson,1,never,,You can never break me | You can never kill me | You can never trash me | You can never get me,3wuCCNCnBhJlwkIJTBZFiv
Save Tonight,EagleEye Cherry,2,"dawn, tomorrow",,"Save tonight and fight the break of dawn | Come tomorrow, tomorrow I'll be gone",0smyCrJiibi2uwCiq5R1vj
Thriller,Michael Jackson,1,night,"hour, midnight","'Cause this is thriller, thriller night | You know it's thriller, thriller night | Thriller (Ooh), thriller night | All through the night | That this is thriller, thriller night | I'm gonna thrill you tonight (Thriller night) | Ooh, babe (Thriller night) | Thriller night, babe (Thriller night, babe) | The funk of forty thousand years (Thriller night, thriller)",2LlQb7Uoj1kKyGhlkBf9aC
Shape of You,Ed Sheeran,1,day,"week, night","Every day, discoverin' somethin' brand new",7qiZfU4dY1lWllzX7mPBI3
