name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Enter Sandman,Metallica,1,light,"fire, sand","Exit light | Something's wrong, shut the light, heavy thoughts tonight | Exit light | Exit light | Exit light",5sICkBXVmaCQk5aISGR3x1
Kiss from a Rose,Seal,1,light,sea,And you became the light on the dark side of me | The light that you shine can't be seen? | A light hits the gloom on the grey | The light that you shine can't be seen? | A light hits the gloom on the grey | The light that you shine can't be seen? | A light hits the gloom on the grey | A light hits the gloom on the grey | A light hits the gloom on the grey,3YKptz29AsOlm7WAVnztBh
Dont Stop Me Now  Remastered 2011,Queen,1,sky,"star, light","I'm a shootin' star, leapin' through the sky like a tiger | I'm burnin' through the sky, yeah | I'm burnin' through the sky, yeah | Oh, I'm burnin' through the sky, yeah",5T8EDUDqKcs6OSOwEsfqG7
Hymn for the Weekend,Coldplay,1,sky,"rain, river, light",That we shoot across the sky | That we shoot across the sky | That we shoot across the sky | That we shoot across the sky | That we shoot across the sky | That we shoot across the sky | That we shoot across the sky | That we shoot across the sky,3RiPr603aXAoi4GHyXx0uy
Believer,Imagine Dragons,1,rain,"fire, cloud, sea","Pain, oh, let the bullets fly, oh, let them rain | I was chokin' in the crowd, building my rain up in the cloud | Pain, oh, let the bullets fly, oh, let them rain | Pain, oh, let the bullets fly, oh, let them rain",0pqnGHJpmpxLKifKRmU6WP
Relax Take It Easy,MIKA,1,fire,,It's as if I'm playing with fire | Are we playing with fire? | It's as if I'm playing with fire | Are we playing with fire?,0KM2y796j63t5RHhvRUxld
Grace Kelly,MIKA,1,sky,,I could be violet sky | I could be violet sky | I could be violet sky | I could be violet sky,2SDx0PooHZI1SQKR0y44bs
Aint No Mountain High Enough,Marvin Gaye,1,river,"rain, wind, mountain","Ain't no river wide enough, baby | Ain't no river wide enough | Ain't no river wide enough | Ain't no river wide enough | Ain't no river wide enough",7tqhbajSfrz2F7E1Z75ASX
La Isla Bonita,Madonna,2,"sun, breeze","wind, desert, sea, sky","And when the samba played, the sun would set so high | And when the samba played, the sun would set so high | I want to be where the sun warms the sky | And when the samba played, the sun would set so high | And when the samba played, the sun would set so high | Tropical the island breeze, all of nature wild and free | Tropical the island breeze, all of nature wild and free | Tropical the island breeze, all of nature wild and free | Tropical the island breeze, all of nature wild and free",2Iib2MV3ECFJAourgP9dlY
Get Lucky Radio Edit feat Pharrell Williams and Nile Rodgers,Daft Punk,1,sun,planet,She's up all night 'til the sun | We're up all night 'til the sun | She's up all night 'til the sun | We're up all night 'til the sun | She's up all night 'til the sun | We're up all night 'til the sun,2Foc5Q5nqNiosCNqttzHof
Escape The Pina Colada Song,Rupert Holmes,1,rain,ocean,And gettin' caught in the rain | And gettin' caught in the rain | And gettin' caught in the rain | And gettin' caught in the rain | And gettin' caught in the rain,5IMtdHjJ1OtkxbGe4zfUxQ
Down Under,Men At Work,1,thunder,,"Can't you hear, can't you hear the thunder? | Can't you hear, can't you hear the thunder? | Can't you hear, can't you hear the thunder? Oh | (Yeah, thunder, thunder) Can't you hear, can't you hear the thunder? | Can't you hear, can't you hear the thunder? Ooh yeah | (Can you, can you hear the thunder?) Can't you hear, can't you hear the thunder? | (Oh, hear) Can't you hear, can't you hear the thunder?",5pSvjjfsh34sLrkYSNGCl4
Never Gonna Give You Up,Rick Astley,1,desert,,And desert you | And desert you | And desert you | And desert you | And desert you | And desert you,4cOdK2wGLETKBW3PvgPWqT
Holding Out for a Hero  From Footloose Soundtrack,Bonnie Tyler,2,"fire, light","rain, wind, storm, thunder, lightning, sea","I can feel his approach like a fire in my blood | (Like a fire in my blood, like a fire in my blood) | (Like a fire in my blood, like a fire in my blood, blood) | I'm holding out for a hero till the morning light (Hero till the morning light) | I'm holding out for a hero till the morning light (Hero till the morning light) | I'm holding out for a hero till the morning light (Hero till the morning light) | I'm holding out for a hero till the morning light (Hero till the morning light)",5Hyr47BBGpvOfcykSCcaw9
Titanium feat Sia,David Guetta,1,fire,,"Fire away, fire away | Fire away, fire away | Fire away, fire away | Fire away, fire away",0TDLuuLlV54CkRRUOahJb4
Take Me Home Country Roads,John Denver,1,mountain,"breeze, sky","West Virginia, mountain mama | West Virginia, mountain mama | West Virginia, mountain mama | West Virginia, mountain mama",1QbOvACeYanja5pbnJbAmk
We Are Young feat Janelle Monáe,fun,2,"sun, fire",moon,We can burn brighter than the sun | We can burn brighter than the sun | We can burn brighter than the sun | We can burn brighter than the sun | We can burn brighter than the sun | We can burn brighter than the sun | So let's set the world on fire | So let's set the world on fire | So let's set the world on fire | So let's set the world on fire | So let's set the world on fire | So let's set the world on fire,5rgy6ghBq1eRApCkeUdJXf
21 Guns,Green Day,1,sky,"fire, stone",Throw up your arms into the sky | Throw up your arms into the sky | Throw up your arms into the sky | Throw up your arms into the sky,64yrDBpcdwEdNY9loyEGbX
Shooting Stars,Bag Raiders,1,star,sky,Gave my love to a shootin' star | I'm in love with a shootin' star | Gave my love to a shootin' star | I'm in love with a shootin' star | Gave my love to a shootin' star | I'm in love with a shootin' star | Gave my love to a shootin' star | I'm in love with a shootin' star,0UeYCHOETPfai02uskjJ3x
I Am the Antichrist to You,Kishi Bashi,1,sky,star,Fallen from the sky with grace | Fallen from the sky with grace | Fallen from the sky with grace | Fallen from the sky with grace,3tnfHy341CDlAtcSmUtuOG
Super Trouper,ABBA,1,sun,,Shinin' like the sun (Sup-p-per Troup-p-per) | Shinin' like the sun (Sup-p-per Troup-p-per) | Shinin' like the sun (Sup-p-per Troup-p-per) | Shinin' like the sun (Sup-p-per Troup-p-per),0J2p4KYdr6Mg4ET6JPlbe1
Roxanne,The Police,1,light,,"You don't have to put on the red light | You don't have to put on the red light | You don't have to put on the red light | (Roxanne) Put on the red light | (Roxanne) Put on the red light | (Roxanne) Put on the red light | (Roxanne) Put on the red light | (Roxanne) Put on the red light, oh | You don't have to put on the red light | You don't have to put on the red light | (Roxanne) You don't have to put on the red light | (Roxanne) Put on the red light | (Roxanne) Put on the red light | (Roxanne) Put on the red light | (Roxanne) Put on the red light | (Roxanne) Put on the red light | (Roxanne) Put on the red light | (Roxanne) Put on the red light | (Roxanne) Put on the red light | (Roxanne) Put on the red light | (Roxanne) You don't have to put on the red light | (Roxanne) Put on the red light | (Roxanne) You don't have to put on the red light | (Roxanne) Put on the red light | (Roxanne) Put on the red light | (Roxanne) Put on the red light | (Roxanne) Put on the red light",3EYOJ48Et32uATr9ZmLnAo
The Passenger,Iggy Pop,1,sky,ocean,"I see the stars come out of the sky | Yeah, the bright and hollow sky | I see the bright and hollow sky | Over the city's ripped-back sky | We'll see the bright and hollow sky | He sees the sign and hollow sky | He sees the bright and hollow sky",15BQ7vEDv2LJuh8TxWIhtd
Up Where We Belong,Joe Cocker,1,mountain,wind,"Where the eagles cry, on a mountain high | Where the eagles cry, on a mountain high | Where the eagles cry, on a mountain high | Where the eagles cry, on a mountain high",5NoUgO4Kr93QymQGQlBC7b
Starman  2012 Remaster,David Bowie,1,sky,"wave, light",There's a starman waiting in the sky | There's a starman waiting in the sky | There's a starman waiting in the sky | There's a starman waiting in the sky | Starman waiting in the sky | There's a starman waiting in the sky,0pQskrTITgmCMyr85tb9qq
Unwritten,Natasha Bedingfield,1,rain,sun,Feel the rain on your skin | Feel the rain on your skin | Feel the rain on your skin | Feel the rain on your skin | Feel the rain on your skin,3U5JVgI2x4rDyHGObzJfNf
A Horse with No Name,America,1,desert,"rain, sun, ocean, sea, river, sand, sky","I've been through the desert on a horse with no name | In the desert, you can remember your name | After two days in the desert sun | After three days in the desert fun | You see, I've been through the desert on a horse with no name | In the desert, you can remember your name | 'Cause the desert had turned to sea | The ocean is a desert with its life underground | You see, I've been through the desert on a horse with no name | In the desert, you can remember your name",54eZmuggBFJbV7k248bTTt
Skyfall,Adele,1,sky,,Let the sky fall | Let the sky fall | Let the sky fall (Let the sky fall) | Let the sky fall (Let the sky fall) | Let the sky fall | Let the sky fall | Let the sky fall (Let the sky fall) | Let the sky fall (Let the sky fall) | Let the sky fall,6VObnIkLVruX4UVyxWhlqm
Cant Stop,Red Hot Chili Peppers,1,wave,"snow, jungle, dust","Burn so bright, I wonder what the wave meant | To be part of the wave, can't stop | To be part of the wave, can't stop | To be part of the wave, can't stop | To be part of the wave, can't stop | Burn so bright, I wonder what the wave meant",3ZOEytgrvLwQaqXreDs2Jx
Its a Heartache,Bonnie Tyler,1,rain,,Standing in the cold rain | Standing in the cold rain | Standing in the cold rain | Standing in the cold rain,1Y7VG310Lf5IYP7sVOob4X
