name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
SUBEME LA RADIO,Enrique Iglesias,1,bajo,,Siente el bajo que va subiendo | Siente el bajo que va subiendo | Y sigo cantando bajo la luna llena | Siente el bajo que va subiendo | Siente el bajo que va subiendo | Siente el bajo que va subiendo | Siente el bajo que va subiendo | Siente el bajo que va subiendo | Siente el bajo que va subiendo,7nKBxz47S9SD79N086fuhn
Déjame Te Explico,Reykon,1,bajo,,"El ritmo, el bajo le subió el calor | El ritmo, el bajo le subió el calor | El ritmo, el bajo le subió el calor | El ritmo, el bajo lo hacen los Rudeboyz",5M2tojb0yj6d313gKh40GA
Downtown,Anitta,1,bajo,abajo,"A ella le gusta cuando bajo downtown, town, town | A ella le gusta cuando bajo downtown (Uh) | A ella le gusta cuando bajo downtown | Si quieres yo bajo y de una me pongo pal' trabajo",3Ga6eKrUFf12ouh9Yw3v2D
Todo De Ti,Rauw Alejandro,1,fuera,,Algo fuera de aquí | Algo fuera de aquí | Algo fuera de aquí) | (Algo fuera de aquí),3rdAz1fbUfZxYgaCviYhRo
LA COMBI VERSACE,ROSALÍA,1,fuera,"arriba, abajo, bajo","Fue-Fuera del bajo mundo, fuera | Fuera, fuera, fuera | Fuera, fuera, fuera",5gCNf9wMVrYuM2fvfgLTlF
Lo Malo,Aitana,1,fuera,"dentro, atrás","Pa' fuera lo malo, no, no, no | Pa' fuera lo malo, no, no, no | Pa' fuera lo malo, no, no, no | Pa' fuera lo malo, no, no, no | Pa' fuera lo malo, no, no, no",5bhDL4GgUvr5LBrpjqyrte
El Mismo Sol,Alvaro Soler,1,bajo,,Del Este hasta Oeste y bajo el mismo sol | Aquí todos estamos bajo el mismo sol | Y bajo el mismo sol | Del Este hasta Oeste y bajo el mismo sol | Aquí todos estamos bajo el mismo sol | Y bajo el mismo sol | Y bajo el mismo sol | Del Este hasta Oeste y bajo el mismo sol | Aquí todos estamos bajo el mismo sol | Y bajo el mismo sol | Aquí todos estamos bajo el mismo sol,58WOkUl3O9LvLZjdhiQvIX
Abrázame,Camila,1,cerca,,Que estar cerca de mis enemigos | Que estar cerca de tus enemigos | Que estar cerca de tus enemigos | Que estar cerca de tus enemigos,6rCyXpDwlMf1GH2qlpjJWv
Sarandonga,Compay Segundo,1,alto,frente,Sarandonga alla en lo alto del puerto | Sarandonga alla en lo alto del puerto | Sarandonga alla en lo alto del puerto | Sarandonga alla en lo alto del puerto | Sarandonga alla en lo alto del puerto | Sarandonga alla en lo alto del puerto | Sarandonga alla en lo alto del puerto | Sarandonga alla en lo alto del puerto | Sarandonga alla en lo alto del puerto | Sarandonga alla en lo alto del puerto,2xb7fT6p1348RlQdbs3IzC
La Bamba,Los Lobos,1,arriba,,"Una poca de gracia pa' mí pa' ti, y arriba y arriba | Ay, arriba y arriba, por ti seré, por ti seré, por ti seré | Una poca de gracia pa' mí pa' ti, ay, y arriba y arriba | Una poca de gracia pa' mí pa' ti, y arriba y arriba | Ay, arriba y arriba, por ti seré, por ti seré, por ti seré",0uMMLry3hzWGn3q3loqMkm
