name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
EL BAÑO,Enrique Iglesias,1,novio,bebé,Si somos novio' o somos pana' | Si somos novio' o somos pana' | Si somos novio' o somos pana' | Si somos novio' o somos pana' | Si somos novio' o somos nada | Si somos novio' o somos pana' | Si somos novio' o somos pana' | Si somos novio' o somos nada,2vvdTrdryjsl8DmPIMDWZU
No digas nada,Mario Bautista,1,novio,,Que tu novio de esto no sepa nada | Que tu novio de esto no Sepa nada | Que tu novio de esto no sepa nada | Que tu novio de esto no sepa nada | Que tu novio de esto no sepa nada | Que tu novio de esto no sepa nada,5uri4QSUkltuHijM9aq1SQ
Tití Me Preguntó,Bad Bunny,1,novia,"amiga, mujer","Tití me preguntó si tengo mucha' novia', mucha' novia' | Tití me preguntó si tengo mucha' novia', je, mucha' novia' | Mi primera novia en kinder, María | Tití me preguntó si tengo mucha' novia', mucha' novia' | Tití me preguntó si tengo mucha' novia', ey, ey, mucha' novia' | Tití me preguntó-tó-tó-tó-tó (Pero ven acá, muchacho, ¿y para qué tú quiere' tanta' novia'?)",1IHWl5LamUGEuP4ozKQSXZ
Cumbia Sobre El Mar,Quantic,1,reina,,Una reina esperada | Una reina esperada | Era Marta la reina | Era Marta la reina,61muv9lHtgN18qbm9oK9pH
Lo Malo,Aitana,1,chico,,"En un chico malo, no, no, no | En un chico malo, no, no, no | En un chico malo, no, no, no | En un chico malo, no, no, no | En un chico malo, no, no, no",5bhDL4GgUvr5LBrpjqyrte
Quimbara,Johnny Pacheco,1,mamá,,"Eh, mamá | Eh-eh, mamá | Eh, mamá | Eh-eh, mamá | Eh, mamá | Eh-eh, mamá",6ydEhrdfzhI29D2NBAqUY1
La Sandunga,Lila Downs,1,mamá,dios,"Sandunga no seas ingrata, mamá de mi corazón | Ay sandunga, sandunga mamá por dios | Sandunga no seas ingrata, mamá de mi corazón | Ay sandunga, sandunga mamá por dios | Sandunga no seas ingrata, mamá de mi corazón | Ay sandunga, sandunga mamá por Dios | Sandunga no seas ingrata, mamá de mi corazón | Ay sandunga, sandunga mamá por Dios | Sandunga no seas ingrata, mamá de mi corazón",5V3eIxVzFeD9W2JmZgBpNx
El Cuarto de Tula,Buena Vista Social Club,1,mamá,,"¡Ay, mamá! ¿Qué pasó? | ¡Ay, mamá! ¿Qué pasó? | ¡Ay, mamá! ¿Qué pasó? | ¡Ay, mamá! ¿Qué pasó?",7dRfobhDNnsEgB2ZArxA1f
Candela,Buena Vista Social Club,1,mamá,"hombre, mujer","Ay candela, candela, candela, me quemo aé mamá | Mira se quema, se quema mamá (me quemo aé) | Mira mamá que me quemo (me quemo aé) | Malagüen está que corta mamá (me quemo aé) | Mira mamá que yo vengo quemando (me quemo aé)",1eHGsCdAWh1Ffowzacpfoi
Amor verdadero,AfroCuban All Stars,1,madre,"amigo, mamá, mujer, hijo","Sólo mi madre lloraba | Sólo nuestra madre nos ama, caramba | La madre es un surtidor | Pienso en mi madre",6Ds9miFD06FwpFdAuqDo0h
