name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Te Boté  Remix,Nio Garcia,1,carajo,"culo, cabrón, puta","Pal' carajo usté' se fue, y usté' se fue (Na-na) | Arranca pal' carajo (¡Wuh!), mi cuerpo no te necesita (No) | Pal' carajo te mandé, yo te mandé | Pa'l carajo te mandé, eh, eh (¿Tú me está' entendiendo lo que te estamo' queriendo decir?; pa'l carajo te mandé) | Pa'l carajo te boté (Pa'l carajo te boté; ¡wouh!) | Y pa'l carajo te mandé, hoy me voy a beber (Me voy a beber) | Pa'l carajo te mandé, yo te mandé | Aprovecho el remix con Ozu' para mandarte pa'l carajo también | Pa'l carajo te mandé, yo te mandé",3V8UKqhEK5zBkBb6d6ub8i
Felices los 4,Maluma,1,carajo,,No me importa un carajo porque sé que volverás | No me importa un carajo porque sé que volverás | No me importa un carajo porque sé que volverás | No me importa un carajo porque sé que volverás,1RouRzlg8OKFeqc6LvdxmB
BICHOTA,KAROL G,1,culo,,"Porque puede ser que con el culo mío te topes (Oh) | Porque puede ser que con el culo mío te topes (Eh) | Perreando duro, le gusta mi culo | Porque puede ser que con el culo mío te topes (Eh)",7AESVKeHpNr2KrPUKbsbat
Te Boté versión bolero,Los Rivera Destino,1,carajo,,"P'al carajo te mandé y usted se fue | Oh, arranca p'al carajo | P'al carajo te mandé y usted se fué | Te solté, pa'l carajo usted se fue",1D1YNQgrvte4jgJVUUAOsx
Vitamina Q feat Justin Quiles  Lirico En La Casa,BCA,1,culo,carajo,"Porque ese culo está violento | Uh-uh-uh, ahí va ese culo | Uh-uh-uh, qué clase 'e culo | Ahí va ese culo | Qué clase 'e culo | Ahí va ese culo (¡Yah!) | Qué clase 'e culo (Yao, ey) | Si moviera kilo' como el culo, fuera capa | La que no tenga culo la llenamo' 'e silicón | Uh-uh-uh, ahí va ese culo | Uh-uh-uh, qué clase 'e culo | Ahí va ese culo | Qué clase 'e culo | Ahí va ese culo | Qué clase 'e culo | Tu culo e' Popeye, yo soy la espinaca (¡Wuh!) | Dispara ese culo como una AK | Ahí va ese culo, mueve | Qué clase 'e culo, tiembla | Ahí va ese culo, mueve | Qué clase 'e culo, tiembla | Ahí va ese culo, mueve | Qué clase 'e culo, tiembla | Ahí va ese culo, mueve (Papi) | Ahí va ese culo | Uh-uh-uh, ahí va ese culo | Uh-uh-uh, qué clase 'e culo | Ahí va ese culo | Qué clase 'e culo | Ahí va ese culo | Qué clase 'e culo | Que aunque te lo tapen, ese culo a ti no se te esconde | Ese culo que tú tiene, Dio' te lo bendiga (Ah) | Cuando mueve ese culo tumba la casa (Wuh, wuh, wuh, ey) | Uh-uh-uh, ahí va ese culo | Uh-uh-uh, qué clase 'e culo | Ahí va ese culo | Qué clase 'e culo | Ahí va ese culo | Qué clase 'e culo",5PhabK1aFpmmfV2Va6tzGP
Bellacon,El Alfa,1,cabrón,,"A ese cabrón no se le paró | Ja, olvídate de ese cabrón, que la tiene floja (Floja) | Bella— (Olvídate de ese cabrón, que la tiene floja) | Bellacón, bellacón, bellacón, bellacón (Olvídate de ese cabrón, que la tiene floja) | Bellacón, bellacón, bellacón, bellacón (Olvídate de ese cabrón, que la tiene floja)",4Zj3K3UaUMC6ndSwl05Zyd
Devuélveme a mi chica,Hombres G,1,mamón,,"Sufre, mamón, devuélveme a mi chica | Sufre, mamón, devuélveme a mi chica | Sufre, mamón, devuélveme a mi chica | Sufre, mamón, devuélveme a mi chica | Sufre, mamón, devuélveme a mi chica | Sufre, mamón, devuélveme a mi chica",6TaAy81al94riusUed92jz
HP,Maluma,1,joder,cabrón,"Quiere salir a joder, yeah-yeah | Quiere salir a joder (Yeah-yeah) | Quiere salir a joder (Yeah-yeah) | Quiere salir a joder, yeah-yeah, yeah-yeah",1LIqNVhaIgxXUt2eVoIQJ3
Te Boté,Alok,1,carajo,,"Pa'l carajo usté' se fue, y usté' se fue | Pa'l carajo usté' se- | Pa'l carajo usté' se fue, y usté' se fue | Pal carajo usté' se fue, y usté' se fue",3WK855oWM0YXIWKqkIwK6U
Por un Pendejo no se llora,Manuel Turizo,1,cabrón,pendejo,"De alguien que no la valora, del cabrón que no la quiere? | De alguien que no la valora, del cabrón que no la quiere? | De alguien que no la valora, del cabrón que no la quiere? | De alguien que no la valora, del cabrón que no la quiere?",4VPl3WGYKxQG8EVis7uLDt
orióN,Boza,1,culo,,"Me tienе' mal con ese cu-l-o | Me tiene' mal con ese cu-l-o, ese cu-l-o | Me tiene' mal con ese cu-l-o | Me tiene' mal con ese cu-l-o | Me tiene' mal con ese cu-l-o, ese cu-l-o",5pVJ3IlnpIorU44oXizzG5
QLOO,Young Cister,1,culo,,"E-e-e-esa jevita está enterita, y tiene tremendo culo (Hey, hey) | Está tan linda, está tan rica, y tiene tremendo culo (Hey, hey) | Tiene cara, también un culo | E-e-e-esa jevita está enterita, y tiene tremendo culo (Hey, hey) | Está tan linda, está tan rica, y tiene tremendo culo (Hey, hey) | Quie-quie-quie-quiero ese culo por la eternida'",2mdrVnxEnPR6iFijakkxQS
OA,Anuel AA,1,diablo,"pendejo, carajo","Oh, ah, diablo, mami | Oh-oh-oh-oh, ah, diablo, mami (Oh-oh) | Oh, ah, diablo, mami | Oh-oh-oh-oh, ah, diablo, mami (Oh-oh) | Oh, ah, diablo, mami | Oh-oh-oh-oh, ah, diablo, mami",6gMj2DzKR2PjrrbNSwcGFR
Por el Miedo a Equivocarnos,Maldita Nerea,1,infierno,,Solo es un infierno sostenido | Solo es un infierno sostenido | Solo es un infierno sostenido | Solo es un infierno sostenido,4NiJpGk9DOMJJUOfyUo7ge
Salir,Extremoduro,1,joder,cabrón,"Y llegar a la cama y... ¡joder, que guarrada! sin ti | Y llegar a la cama y... ¡joder, que guarrada! sin ti | Y llegar a la cama y... ¡joder, que guarrada! sin ti | Y llegar a la cama y... ¡joder, que guarrada! sin ti | Y llegar a la cama y... ¡joder, que guarrada! sin ti | Y llegar a la cama y... ¡joder, que guarrada! sin ti | Y llegar a la cama y... ¡joder, que guarrada! sin ti",4z2EeFUp5Lhai9qhHtA6IF
