name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Reggaetón Lento Bailemos,CNCO,1,noche,minuto,La noche está para un reggaetón lento | La noche está para un reggaetón lento | La noche está para un reggaetón lento | La noche está para un reggaetón lento | La noche está para un reggaetón lento | La noche está para un reggaetón lento | La noche está para un reggaetón lento | La noche está para un reggaetón lento | La noche está para un reggaetón lento | La noche está para un reggaetón lento | La noche está para un reggaetón lento,3AEZUABDXNtecAOSC1qTfo
Mujeres,Mozart La Para,1,noche,ayer,"Y esta noche está pa' bailar, beber | Y esta noche está pa' bailar, beber | Jode' hasta que no pueda más (Y que la noche siga) | Esta noche 'tá pa' baila', bebe' | Esta noche está pa' baila', bebe' | Y jode' hasta que no pueda má' (Y dejamo' que la noche decida) | Esta noche 'tá pa' baila', bebe' | Esta noche 'tá pa' baila', bebe' | Y jode' hasta que no pueda má' (Y que la noche siga)",6xLvYhLOW2oETJoZv8ChU8
Felices los 4,Maluma,1,siempre,,"Y siempre que se va, regresa a mí (Y felices los cuatro) | Y siempre que se va, regresa a mí (Y felices los cuatro) | (Y siempre que se va, regresa a mí) Maluma, baby | (Y siempre que se va, regresa a mí) El código secreto, baby",1RouRzlg8OKFeqc6LvdxmB
Ginza  Remix,J Balvin,1,noche,"día, hoy, temprano","To'a la noche, lo que pida y como lo quiera | Bailemos to' la noche que yo corro con lo que sea (Aja) | Haz de tu noche la mejor | Ven vamos, que la noche no se va a acabar temprano",1tJw60G9KHl7fYVdQ2JDgo
Otra Vez feat J Balvin,Zion  Lennox,1,ayer,"noche, nunca","Pa' besarte como ayer | Me vuelves a poner el mundo al revés, como ayer, yeah | Pa' besarte como ayer | Me vuelves a poner el mundo al revés, como ayer (J Balvin, man) | Pa' besarte como ayer | Me vuelves a poner el mundo al revés, como ayer, yeah | (Volverme a poner el mundo al revés, como ayer, yeh)",3QwBODjSEzelZyVjxPOHdq
EL BAÑO,Enrique Iglesias,3,"día, mañana, mañana","siempre, nunca","Estar un día más así yo no lo aguanto | Estar un día más así yo no lo aguanto | Santa de día, diabla cuando cae la luna, yeh | Estar un día más así yo no lo aguanto | Si quiere' algo serio, hay que ver mañana | Tranquila, hay que ver mañana | Si quiere' algo serio, hay que ver mañana | Tranquila, hay que ver mañana | Tranquila, hay que ver mañana | Si quiere' algo serio, hay que ver mañana | Tranquila, hay que ver mañana | Tranquila, hay que ver mañana | Si quiere' algo serio, hay que ver mañana | Tranquila, hay que ver mañana | Si quiere' algo serio, hay que ver mañana | Tranquila, hay que ver mañana | Tranquila, hay que ver mañana | Si quiere' algo serio, hay que ver mañana | Tranquila, hay que ver mañana | Tranquila, hay que ver mañana",2vvdTrdryjsl8DmPIMDWZU
Borro Cassette,Maluma,1,día,noche,Y no hay un día que no pare de pensar en su belleza | Y no hay un día que no pare de pensar en su belleza | Y no hay un día que no pare de pensar en su belleza | Y no hay un día que no pare de pensar en su belleza,6DUdDIRgLqCGq1DwkNWQTN
Déjame Te Explico,Reykon,1,noche,siempre,"Si tú quiere' más te indico, y la noche te dedico | Si tú quiere' más te indico, y la noche te dedico | Si tú quiere' más te indico, y la noche te dedico | Si tú quiere' más te indico, y la noche te dedico | Si tú quiere' más te indico, y la noche te dedico | Si tú quiere' más te indico, y la noche te dedico",5M2tojb0yj6d313gKh40GA
Bobo,J Balvin,2,"hoy, siempre",,Deja que el sol hoy te despierte en mi cama | Deja que el sol hoy te despierte en mi cama | Deja que el sol hoy te despierte en mi cama | Deja que el sol hoy te despierte en mi cama | Que amores en la calle siempre hay de más (Leggo) | Que amores en la calle siempre hay de más | Que amores en la calle siempre hay de más | Que amores en la calle siempre hay de más | Que amores en la calle siempre hay de más,5kdTuoKeqdnblCop75wMuX
No digas nada,Mario Bautista,2,"madrugada, noche","mañana, mañana, siempre",Esperemos juntos la madrugada | Esperemos juntos la madrugada | Esperemos juntos la madrugada | Esperemos juntos la madrugada | Esperemos juntos la madrugada | Esperemos juntos la madrugada | Que esta noche tú me quieres ver | Esta noche es de los dos | Esta noche todavía no acaba | Esta noche todavía no acaba | Esta noche todavía no acaba | Esta noche todavía no acaba | Hagamos que la noche | Que esta noche tú me quieres ver | Esta noche es de los dos | Esta noche todavía no acaba | Esta noche todavía no acaba,5uri4QSUkltuHijM9aq1SQ
