name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Si Tú La Ves feat Wisin,Nicky Jam,1,corazón,,"Díganle que está frío el corazón desde que ella se marchó | Dígale que está frío el corazón desde que ella se marchó | Se robó mi corazón, hay que hacer una querella (Jaja) | Dígale que está frío el corazón desde que ella se marchó | Dígale que está frío el corazón desde que ella se marchó",4yN6xPLopmTLvc27pO9LIE
La Rompe Corazones,Daddy Yankee,1,corazón,mente,Intenta pero su corazón no tranza | Intenta pero su corazón no tranza | Intenta pero su corazón no tranza | Intenta pero su corazón no tranza,2Q85xwXagilpHKTfdrbC7M
Báilame,Nacho,2,"cintura, boca","manos, labios",El movimiento en tu cintura es mágico | Con tu cintura gozaré | Con tu cintura gozaré | El movimiento en tu cintura es mágico | Con tu cintura gozaré (Tu cintura que provoca) | Con esa boca bésame (Eh) | Con esa boca bésame (Eh) | Con esa boca bésame (Eh) | Con un besito mójame (Con un besito en la boca),3umCRVVIPZ72WnperWxLgL
Borro Cassette,Maluma,2,"cara, cabeza",,"Ven, dímelo en la cara y no mientas, dejemos de jugar | Ven, dímelo en la cara y no mientas, dejemos de jugar | Ven, dímelo en la cara y no mientas, dejemos de jugar | Ven, dímelo en la cara y no mientas, dejemos de jugar | Y que los tragos, hicieron estrago' en su cabeza | Y que los tragos, hicieron estrago' en su cabeza | Y que los tragos, hicieron estrago' en su cabeza | Y que los tragos, hicieron estrago' en su cabeza",6DUdDIRgLqCGq1DwkNWQTN
Que Calor with J Balvin  El Alfa,Major Lazer,1,muñeca,,"Yesca (Qué ca), para la' muñeca', por favor | Yesca (Qué ca), para la' muñeca', por favor | Qué calor, yesca para las muñeca', por favor | Para la' muñeca', por favor, qué ca | Para la' muñeca', por favor | Qué calor, yesca para la' muñeca', por favor",1sviDBcAqVOxMXq4xITVEs
Tití Me Preguntó,Bad Bunny,1,corazón,,"Yo dejo que jueguen con mi corazón | Yo vo'a romperte el corazón, vo'a romperte el corazón | Yo vo'a romperte el corazón, vo'a romperte el corazón (Ey, ey)",1IHWl5LamUGEuP4ozKQSXZ
Agua Salada,Marc Seguí,1,cara,ojos,El daño se nos nota en la cara | Me matas con la misma cara | Me matas con la misma cara | Me matas con la misma cara,22QO6gby3fhNRkNVAFxp5v
PA ROMPERLA,Bad Bunny,1,espalda,,"Baby, pónteme de espalda | Mamacita, póngase de espalda | De espalda ere' mía | Baby, póngase de espalda | Mamacita, póngase de espalda | Baby, póngase de espalda | Mamacita, póngase de espalda",5XqCz18k96K8tx6DAYM97i
LA COMBI VERSACE,ROSALÍA,1,pelo,cara,Tu pelo azabache | Tu pelo azabache | Tu pelo azabache | Tu pelo azabache | Tu pelo azabache | Tu pelo azabache | Tu pelo azabache,5gCNf9wMVrYuM2fvfgLTlF
Me Gustas Tu,Manu Chao,1,corazón,,"¿Qué horas son, mi corazón? | ¿Qué horas son, mi corazón? | ¿Qué horas son, mi corazón? | ¿Qué horas son, mi corazón? | ¿Qué horas son, mi corazón? | ¿Qué horas son, mi corazón? | ¿Qué horas son, mi corazón? | ¿Qué horas son, mi corazón? | (¿Qué horas son, mi corazón?) | ¿Qué horas son, mi corazón? | ¿Qué horas son, mi corazón? | ¿Qué horas son, mi corazón?",6b37xrsNCWYIUphFBazqD6
La Bicicleta,Carlos Vives,1,corazón,pies,"Que hace rato esta mi corazón latiendo por ti, latiendo por ti | Que hace rato está mi corazón latiendo por ti, latiendo por ti | Que hace rato está mi corazón latiendo por ti, latiendo por ti | Que hace rato está mi corazón latiendo por ti, latiendo por ti | De hace rato está mi corazón latiendo por ti, latiendo por ti | Que hace rato está mi corazón latiendo por ti, latiendo por ti",0sXvAOmXgjR2QUqLK1MltU
Solamente tú,Pablo Alborán,1,alma,"garganta, ojos",Haces que mi alma se despierte con tu luz | Haces que mi alma se despierte con tu luz | Haces que mi alma se despierte con tu luz | Haces que mi alma se despierte con tu luz | Haces que mi alma se despierte con tu luz,7sRXhReWmJF5pqyg3uUTES
Sin miedo a nada feat Amaia Montero,Alex Ubago,1,labios,"pecho, corazón, ojos, mente",Me voy perdiendo en tus labios que se acercan | Besarnos hasta desgastarnos nuestros labios | Besarnos hasta desgastarnos nuestros labios | Besarnos hasta desgastarnos nuestros labios,02bKaAG61tMw9c63fzKXal
