name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Bonita,J Balvin,1,este,frente,Se pone caliente cuando escucha este perreo | Se pone caliente cuando escucha este perreo | Se pone caliente cuando escucha este perreo | Se pone caliente cuando escucha este perreo | Se pone caliente cuando escucha este perreo | Se pone caliente cuando escucha este perreo,0atfY1ew83Ql9nNnJiD2t5
SUBEME LA RADIO,Enrique Iglesias,1,bajo,este,Siente el bajo que va subiendo | Siente el bajo que va subiendo | Y sigo cantando bajo la luna llena | Siente el bajo que va subiendo | Siente el bajo que va subiendo | Siente el bajo que va subiendo | Siente el bajo que va subiendo | Siente el bajo que va subiendo | Siente el bajo que va subiendo,7nKBxz47S9SD79N086fuhn
Si Tú La Ves feat Wisin,Nicky Jam,1,este,,Necesito de su amor pa' que sane este dolor | Necesito de su amor pa' que sane este dolor | Pa' que sane este dolor | Necesito de su amor pa' que sane este dolor | Pa' que sane este dolor | Necesito de su amor pa' que sane este dolor | Pa' que sane este dolor,4yN6xPLopmTLvc27pO9LIE
Déjame Te Explico,Reykon,1,bajo,este,"El ritmo, el bajo le subió el calor | El ritmo, el bajo le subió el calor | El ritmo, el bajo le subió el calor | El ritmo, el bajo lo hacen los Rudeboyz",5M2tojb0yj6d313gKh40GA
Tal Vez,Paulo Londra,1,este,frente,"Pero este tonto suele confundirse (Eh) | Pero este tonto suele confundirse (Eh) | Pero este tonto suele confundirse | Pero este tonto suele confundirse (Eh, eh) | Pero este tonto suele confundirse | Pero este tonto suele confundirse (Eh, eh)",5jW3rF4URMdK7tO2xjS5EI
Downtown,Anitta,1,bajo,abajo,"A ella le gusta cuando bajo downtown, town, town | A ella le gusta cuando bajo downtown (Uh) | A ella le gusta cuando bajo downtown | Si quieres yo bajo y de una me pongo pal' trabajo",3Ga6eKrUFf12ouh9Yw3v2D
Todo De Ti,Rauw Alejandro,1,fuera,,Algo fuera de aquí | Algo fuera de aquí | Algo fuera de aquí) | (Algo fuera de aquí),3rdAz1fbUfZxYgaCviYhRo
LA COMBI VERSACE,ROSALÍA,1,fuera,"arriba, abajo, bajo","Fue-Fuera del bajo mundo, fuera | Fuera, fuera, fuera | Fuera, fuera, fuera",5gCNf9wMVrYuM2fvfgLTlF
Lo Malo,Aitana,1,fuera,"dentro, atrás","Pa' fuera lo malo, no, no, no | Pa' fuera lo malo, no, no, no | Pa' fuera lo malo, no, no, no | Pa' fuera lo malo, no, no, no | Pa' fuera lo malo, no, no, no",5bhDL4GgUvr5LBrpjqyrte
El Mismo Sol,Alvaro Soler,1,bajo,este,Del Este hasta Oeste y bajo el mismo sol | Aquí todos estamos bajo el mismo sol | Y bajo el mismo sol | Del Este hasta Oeste y bajo el mismo sol | Aquí todos estamos bajo el mismo sol | Y bajo el mismo sol | Y bajo el mismo sol | Del Este hasta Oeste y bajo el mismo sol | Aquí todos estamos bajo el mismo sol | Y bajo el mismo sol | Aquí todos estamos bajo el mismo sol,58WOkUl3O9LvLZjdhiQvIX
