name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Te Boté  Remix,Nio Garcia,1,bebé,"mujer, hijo","Bebé, yo te boté (E' que bebé yo te boté) | (Nosotro' somos Los Mágicos, bebé; ¡Casper!) | Bad Bunny, baby, bebé",3V8UKqhEK5zBkBb6d6ub8i
Safari,J Balvin,1,bebé,,"A ella le gusta (Así, bebé)",456xBIOmLRoLzCvCzZrWge
EL BAÑO,Enrique Iglesias,1,novio,bebé,Si somos novio' o somos pana' | Si somos novio' o somos nada,2vvdTrdryjsl8DmPIMDWZU
No digas nada,Mario Bautista,1,novio,,Que tu novio de esto no sepa nada | Que tu novio de esto no Sepa nada,5uri4QSUkltuHijM9aq1SQ
Te Boté versión bolero,Los Rivera Destino,1,bebé,,"Te di banda y bebé yo te solté | De mi vida te boté, bebé, yo te boté",1D1YNQgrvte4jgJVUUAOsx
Tití Me Preguntó,Bad Bunny,1,novia,mujer,"Tití me preguntó si tengo mucha' novia', mucha' novia' | Tití me preguntó si tengo mucha' novia', je, mucha' novia' | Mi primera novia en kinder, María | Tití me preguntó si tengo mucha' novia', ey, ey, mucha' novia' | Tití me preguntó-tó-tó-tó-tó (Pero ven acá, muchacho, ¿y para qué tú quiere' tanta' novia'?)",1IHWl5LamUGEuP4ozKQSXZ
Cumbia Sobre El Mar,Quantic,1,reina,,Una reina esperada | Era Marta la reina,61muv9lHtgN18qbm9oK9pH
Lo Malo,Aitana,1,chico,,"En un chico malo, no, no, no",5bhDL4GgUvr5LBrpjqyrte
Quimbara,Johnny Pacheco,1,mamá,,"Eh, mamá | Eh-eh, mamá",6ydEhrdfzhI29D2NBAqUY1
La Sandunga,Lila Downs,2,"mamá, dios",,"Sandunga no seas ingrata, mamá de mi corazón | Ay sandunga, sandunga mamá por dios | Ay sandunga, sandunga mamá por Dios",5V3eIxVzFeD9W2JmZgBpNx
El Cuarto de Tula,Buena Vista Social Club,1,mamá,,"¡Ay, mamá! ¿Qué pasó?",7dRfobhDNnsEgB2ZArxA1f
Amor verdadero,AfroCuban All Stars,1,madre,"amigo, mamá, mujer, hijo, dios","Sólo mi madre lloraba | Sólo nuestra madre nos ama, caramba | La madre es un surtidor | Pienso en mi madre",6Ds9miFD06FwpFdAuqDo0h
De Camino a La Vereda,Buena Vista Social Club,1,mujer,"madre, mamá","No hables de tu marido, mujer",3uHMnz8ocip1y36t4IFWfI
Hijo de la Luna,Mecano,1,mujer,"madre, padre, hombre, hijo",Y no encuentras querer que te haga mujer | Se fue a su mujer cuchillo en mano:,1HnAG3hNXZzxvzVyw1U8Yy
Pedro Navajas,Rubén Blades,1,mujer,,"Como a tres cuadras de aquella esquina, una mujer | Cuando, de pronto, esa mujer sale del zaguán | Y mientras tanto, en la otra acera va esa mujer | Mientras camina del viejo abrigo saca un revolver, esa mujer | Y Pedro Navaja cayó en la acera mientras veía a esa mujer",5lQigojYtsDaFcuK7c2Qid
Macarena,Los Del Rio,1,novio,,Macarena tiene un novio que se llama | Y ligar un novio nuevo (¡Ay!),4Y6cDd4EPHcEbiUKdyvNwM
Cuando Los Ángeles Lloran,Maná,1,ángel,"chico, esposa",Era un defensor y un ángel | Un ángel cayó | Un ángel murió | Un ángel se fue,7k8X8mGCP18JEz2UKO06yY
duerme negrito,Mercedes Sosa,1,mamá,,"Que tu mamá está en el campo negrito | Que tu mamá está en el campo, mobila | Que tu mamá está en el campo, negrito",6pX6o7XTLLe2JHQ26oafje
Tu Enemigo,Pablo López,1,hombre,"hijo, enemigo",Que yo soy el hombre más rico del mundo así | Olvidaron que el hombre no es más que un hombre,5tsDJt6Riyi26vowpb6FLs
Como las Alas al Viento,Rocío Jurado,2,"hombre, dios","hermano, reina",Por que pienso que el hombre fuera de ti no vive | Dios buscando al hombre allá en su reina de paz | Dios intentando que el hombre vuelva a Él,2uE73kgerQdA6h3jN5Pvrb
A la Puerta de Toledo,Chiquetete,1,madre,mujer,"A la Puerta de Toledo, madre le tengo celos | Me decía que iba a misa, madre, y me engañaba | Con que paraguas, madre, se taparía | En este mundo se pagan, madre, todas las cosas",0xtUy3WFuGZrDzxyvELcvm
HP,Maluma,1,novio,mujer,"Ella no está buscando novio | Ella no está buscando novio (No busca novio, no) | No quiere un novio pa' rendirle cuentas",1LIqNVhaIgxXUt2eVoIQJ3
PUNTO G,Quevedo,1,bebé,,"Sigue guayando, bebé, sigue guayando | Hasta abajo, bebé, hasta abajo",4WiQA1AGWHFvaxBU6bHghs
cómo dormiste,Rels B,1,bebé,,"""¿Cómo dormiste, bebé?"", si me soñaste",3fjN3y5x4hN53rykAN2LHQ
Taki Taki with Selena Gomez Ozuna  Cardi B,DJ Snake,1,bebé,,"Un besito bien suavecito, bebé",4w8niZpiMy6qz1mntFA5uM
