name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Felices los 4,Maluma,1,cuatro,,"Vamo' a ser feliz, vamo' a ser feliz, felices los cuatro | Y siempre que se va, regresa a mí (Y felices los cuatro)",1RouRzlg8OKFeqc6LvdxmB
Kung Fu,Dasoul,1,millón,,Te mereces un millón de veces | (Te mereces un millón de veces) | Lo quiero repetir un millón de veces,5bCqP8qJkx52Ntoe9VvxSe
Cayó La Noche feat Cruz Cafuné Abhir Hathi Bejo EL IMA Remix,La Pantera,1,mil,"tres, cinco, ocho","Y me la imagino en mil poses al verla bailar | Eran mil poses diferentes pero baby, dale, ven | Y me la imagino en mil poses al verla bailar (Yeah, Cruzzi) | Y me la imagino en mil pose' al verla bailar",0Bv7O6fmZk3GrNQFYJaXPn
Tití Me Preguntó,Bad Bunny,1,uno,,"Uno nuevo, uno nuevo, uno nuevo, uno nuevo (Ey)",1IHWl5LamUGEuP4ozKQSXZ
Y Nos Dieron las Diez,Joaquín Sabina,1,tres,"uno, dos, diez, once, doce","Las doce y la una, y las dos, y las tres | En mi declaración alegué que llevaba tres copas",1eCie6lwjb4crxeAvkRaSi
El calor del amor en un bar,Gabinete Caligari,1,dos,,Estar juntos los dos | Y dos alondras nos observan,0AFJOoRQFlo10Vm1p6BRjg
La taberna del Buda,Café Quijano,1,tres,,"Hay tres banqueros, van con corbata, están casados | Los anillos bien guardados; tres italianas no se recatan | Se echan a suertes a los tres de la corbata",40A11dg6RXzfDrwMrw5sED
La flaca,Jarabe De Palo,1,uno,"dos, cuarenta, cien","Por un beso de ella, aunque sólo uno fuera | Aunque sólo uno fuera",1MrZ8hGkUWMmT816wPaMgE
Macarena,Los Del Rio,1,dos,,Se la vio con dos amigos,4Y6cDd4EPHcEbiUKdyvNwM
Celoso,Lele Pons,1,cinco,,A mí no me llame' a la cinco 'e la mañana,33zcmmElV1YbRZe57biUjg
Bailar Pegados,Sergio Dalma,1,dos,,Y a dos metros de ti | Abrazadísimos los dos,4QkQmdvFjEVvjc1ONi6t6N
Buena Suerte,Pedro Capó,2,"dos, tres",,"Enchula'o, en un dos por tres, me enamoré, me enamoré | Enchula'o, en un dos por tres, me enamoré, me enamoré (Eh) | Enchula'o, en un dos por tres, me enamoré, me enamoré (Me enamoré, me enamoré, yeah)",4fAlzlBojsx7aA9llmidAN
Desconocidos,Mau y Ricky,1,dos,,Apenas somos dos desconocidos | Apenas somos dos (Apenas somos dos) | Apenas somos dos,0s5DNDV6LAKn2u2Ufa3VjQ
Lollipop,Darell,1,siete,"cuatro, cien",Ella quería un polvo y yo como siete le eché | Ella quería un polvo y yo como siete le eché (Come on),3cDyocF0Ibdfs1SFQk5cLZ
Gato de Noche,Ñengo Flow,1,doce,"cuatro, veinte",Hoy yo voy a buscarte después de las doce | Que hoy voy a buscarte después de las doce,54ELExv56KCAB4UP9cOCzC
Piratas del bar Caribe,Melendi,1,cuatro,,Todo' lo' ratones de este cuatro letras | Son cuatro letras creo que pone club,4RKKPr34uSKaihFjHEh3mf
Latidos,Polo Nandez,1,mil,"dos, ocho, doce",Porque aun teniendo siempre mil razones todo eran excusas | Entre mil guerras por querer tenerte,0M1WVPWkzCXrC9oNc83dke
El Mundo Al Revés,María Isabel,1,mil,,Tú vas a aprender que en casa hay mil maneras de pasarlo bien,0jFtseI6Klxow3beFhJLMh
Tu mejor pesadilla,Sidecars,1,doce,,Para que doce meses después ya no vuelvas a ser la que yo conocía | Para qué doce meses después ya no | Para que doce meses después,5cvGhpjH7NPeKpgHNeBnHW
Cuídate,La Oreja de Van Gogh,1,dos,,Llena dos copas de recuerdos de historias | Y llena dos copas,7gqIqyeCaV2xNtfZWxEphD
Azul,Cristian Castro,1,dos,,"Azul, como el azul del cielo nació entre los dos",6pHCJmx9FXnMwEqB0LWUEH
Fuego en el Fuego,Eros Ramazzotti,1,dos,,"Como dos pequeños volcanes | La noche es casi perfecta, disfrutaremos la vida en los dos | La noche es casi perfecta así, disfrutaremos la vida los dos",5zGJT3TTShcNHeJeDrjPvs
Te entiendo,Pignoise,1,cero,"tres, cuatro",Y quiero olvidar todo y empezar de cero,6uSIn5SVmUwile8TXoYMe6
Agua,Jarabe De Palo,1,uno,,Cuando uno tiene sed | Cuando uno quiere beber,5omgFpiMt1CGHjQGfkwzvz
Mirando al cielo,Huecco,2,"diez, mil",,A diez mil kilometros de tus besos,0yjUKvDF7VwgHp9SUJTZdT
Más allá de nuestros recuerdos,Melendi,1,dos,,"Si un mismo ser, habita en dos cuerpos (Ah) | Si un mismo ser, habita en dos cuerpos (Eh) | Si un mismo ser, habita en dos cuerpos, volarán de nuevo",1Nc7mKRtrR6opLuEcSUrQp
Dulce condena,Los Rodriguez,1,dos,cero,Soy el que lo piensa por los dos,61X9MrPozPv0V0WbX9ACUX
Calle Melancolia,Joaquín Sabina,1,siete,,"Vivo en el número siete, Calle Melancolía",2Y4AtGY7hakhkyOZ53CaSZ
Pacto Entre Caballeros,Joaquín Sabina,1,tres,"diez, trece, veinte",El mayor de los tres chicos | Los tres iban hasta el culo de caballo | Controlaban tres fulanas | De cabina en tres minutos,41JrRedwrJxbBPwI8Qku04
Pienso,Simon Grossmann,1,dos,,Que tú y yo estamos hechos justamente para los dos,4wCSgGkre7EvACG6A21Str
Blues de la Nacional II,La Guardia,1,dos,"treinta, mil","Aquí, en la nacional dos | Aquí en la nacional dos | Como en la nacional dos",0tYtoQ4Itl8di6Nn7Tuw5i
Salir,Extremoduro,1,mil,,"Meterme mil rayas, hablar con la gente",4z2EeFUp5Lhai9qhHtA6IF
Todos Menos Tú,Joaquín Sabina,1,treinta,"doce, mil",Y yo marcando el tres-seis-nueve dos-dos treinta,4iMhCqllBUdrMsIrTTlvlP
Me Maten  Live at NPRs Tiny Desk,C Tangana,2,"dos, seis",tres,"Un, dos | Un, dos, tres (Ah, eh; toma) | Una copita pa' brindar y otras dos pa' los dos que viеnen contigo | Hemos vení'o como seis Carmona y seis más con Pucho (¿Cómo?) | Hemos vení'o como seis Carmona y seis más con Pucho (Vámonos)",5py3FJrHEuR67BjR7wm8uj
Estoy Aquí,Shakira,1,mil,,Mil años con otros mil más (Mil años con otros mil más),4M1lEbqPzlEw1JYWB6aE7K
Canción para Mi Muerte,Sui Generis,1,dos,"uno, mil",Y prepararás la cama para dos,0t0Kl5jxxV3s8bdpILkgmd
Inevitable,Shakira,1,uno,dos,"Y cada día que pasa es uno más parecido a ayer | Cuando hay que hablar de dos, empezar por uno mismo",78dbqYDvx6FOefROApu9w0
