name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
BICHOTA,KAROL G,1,culo,,"Porque puede ser que con el culo mío te topes (Oh) | Porque puede ser que con el culo mío te topes (Eh) | Perreando duro, le gusta mi culo | Porque puede ser que con el culo mío te topes (Eh)",7AESVKeHpNr2KrPUKbsbat
Vitamina Q feat Justin Quiles  Lirico En La Casa,BCA,1,culo,,"Porque ese culo está violento | Uh-uh-uh, ahí va ese culo | Uh-uh-uh, qué clase 'e culo | Ahí va ese culo | Qué clase 'e culo | Ahí va ese culo (¡Yah!) | Qué clase 'e culo (Yao, ey) | Si moviera kilo' como el culo, fuera capa | La que no tenga culo la llenamo' 'e silicón | Uh-uh-uh, ahí va ese culo | Uh-uh-uh, qué clase 'e culo | Ahí va ese culo | Qué clase 'e culo | Ahí va ese culo | Qué clase 'e culo | Tu culo e' Popeye, yo soy la espinaca (¡Wuh!) | Dispara ese culo como una AK | Ahí va ese culo, mueve | Qué clase 'e culo, tiembla | Ahí va ese culo, mueve | Qué clase 'e culo, tiembla | Ahí va ese culo, mueve | Qué clase 'e culo, tiembla | Ahí va ese culo, mueve (Papi) | Ahí va ese culo | Uh-uh-uh, ahí va ese culo | Uh-uh-uh, qué clase 'e culo | Ahí va ese culo | Qué clase 'e culo | Ahí va ese culo | Qué clase 'e culo | Que aunque te lo tapen, ese culo a ti no se te esconde | Ese culo que tú tiene, Dio' te lo bendiga (Ah) | Cuando mueve ese culo tumba la casa (Wuh, wuh, wuh, ey) | Uh-uh-uh, ahí va ese culo | Uh-uh-uh, qué clase 'e culo | Ahí va ese culo | Qué clase 'e culo | Ahí va ese culo | Qué clase 'e culo",5PhabK1aFpmmfV2Va6tzGP
Bellacon,El Alfa,1,cabrón,,"A ese cabrón no se le paró | Ja, olvídate de ese cabrón, que la tiene floja (Floja) | Bella— (Olvídate de ese cabrón, que la tiene floja) | Bellacón, bellacón, bellacón, bellacón (Olvídate de ese cabrón, que la tiene floja) | Bellacón, bellacón, bellacón, bellacón (Olvídate de ese cabrón, que la tiene floja)",4Zj3K3UaUMC6ndSwl05Zyd
HP,Maluma,1,joder,cabrón,"Quiere salir a joder, yeah-yeah | Quiere salir a joder (Yeah-yeah) | Quiere salir a joder (Yeah-yeah) | Quiere salir a joder, yeah-yeah, yeah-yeah",1LIqNVhaIgxXUt2eVoIQJ3
Por un Pendejo no se llora,Manuel Turizo,1,cabrón,pendejo,"De alguien que no la valora, del cabrón que no la quiere? | De alguien que no la valora, del cabrón que no la quiere? | De alguien que no la valora, del cabrón que no la quiere? | De alguien que no la valora, del cabrón que no la quiere?",4VPl3WGYKxQG8EVis7uLDt
QLOO,Young Cister,1,culo,,"E-e-e-esa jevita está enterita, y tiene tremendo culo (Hey, hey) | Está tan linda, está tan rica, y tiene tremendo culo (Hey, hey) | Tiene cara, también un culo | E-e-e-esa jevita está enterita, y tiene tremendo culo (Hey, hey) | Está tan linda, está tan rica, y tiene tremendo culo (Hey, hey) | Quie-quie-quie-quiero ese culo por la eternida'",2mdrVnxEnPR6iFijakkxQS
Por el Miedo a Equivocarnos,Maldita Nerea,1,infierno,,Solo es un infierno sostenido | Solo es un infierno sostenido | Solo es un infierno sostenido | Solo es un infierno sostenido,4NiJpGk9DOMJJUOfyUo7ge
Salir,Extremoduro,1,joder,cabrón,"Y llegar a la cama y... ¡joder, que guarrada! sin ti | Y llegar a la cama y... ¡joder, que guarrada! sin ti | Y llegar a la cama y... ¡joder, que guarrada! sin ti | Y llegar a la cama y... ¡joder, que guarrada! sin ti | Y llegar a la cama y... ¡joder, que guarrada! sin ti | Y llegar a la cama y... ¡joder, que guarrada! sin ti | Y llegar a la cama y... ¡joder, que guarrada! sin ti",4z2EeFUp5Lhai9qhHtA6IF
Hong Kong,C Tangana,1,culo,,Tengo una flor en el culo y un camello en Hong Kong | Tengo una flor en el culo y una geisha en Japón | Tengo una flor en el culo y un camello en Hong Kong | Tengo una flor en el culo y una geisha en Japón | Tengo una flor en el culo y un camello en Hong Kong | Tengo una flor en el culo y una geisha en Japón,4kD4ZzJ1rZIVfJ9qw85CVT
Hong Kong,C Tangana,1,culo,,Tengo una flor en el culo y un camello en Hong Kong | Tengo una flor en el culo y una geisha en Japón | Tengo una flor en el culo y un camello en Hong Kong | Tengo una flor en el culo y una geisha en Japón | Tengo una flor en el culo y un camello en Hong Kong | Tengo una flor en el culo y una geisha en Japón,5CSxAUVrFU76miNeuoDQAK
Nominao,C Tangana,1,coño,,¿Qué coño le ha pasa'o? | ¿Qué coño le ha pasa'o? | ¿Qué coño me ha pasa'o? (¿Eh?) | ¿Qué coño me ha pasa'o? | ¿Qué coño me ha pasa'o? | ¿Qué coño me ha pasa'o?,5SkiVFWCP3NPEgNk3PaL2I
