category,eng,esp,deu,sve,cat
colors,red,rojo,rot,röd,vermell
colors,blue,azul,blau,blå,blau
colors,green,verde,grün,grön,verd
colors,yellow,amarillo,gelb,gul,groc
colors,black,negro,schwarz,svart,negre
colors,white,blanco,weiß,vit,blanc
colors,pink,rosa,rosa,rosa,rosa
colors,purple,morado,lila,lila,morat
colors,gray,gris,grau,grå,gris
colors,brown,marrón,braun,brun,marró
colors,violet,violeta,violett,violett,violeta
colors,indigo,índigo,indigo,indigo,indi
colors,cyan,cian,cyan,cyan,cian
colors,magenta,magenta,magenta,magenta,magenta
colors,beige,beige,beige,beige,beix
colors,maroon,granate,kastanienbraun,rödbrun,granat
colors,turquoise,turquesa,türkis,turkos,turquesa
colors,crimson,carmesí,karmesinrot,karmosinröd,carmesí
colors,scarlet,escarlata,scharlachrot,scharlakansröd,escarlata
colors,lavender,lavanda,lavendel,lavendel,lavanda
colors,olive,oliva,oliv,olivgrön,oliva
colors,coral,coral,koralle,korall,corall
colors,fuchsia,fucsia,fuchsia,fuchsia,fúcsia
colors,light blue,celeste,hellblau,ljusblå,blau cel
colors,amber,ámbar,bernstein,bärnsten,ambre
colors,lilac,lila,flieder,syren,lila
colors,burgundy,burdeos,burgunder,vinröd,bordeus
numbers,zero,cero,null,noll,zero
numbers,one,uno,eins,ett,un
numbers,two,dos,zwei,två,dos
numbers,three,tres,drei,tre,tres
numbers,four,cuatro,vier,fyra,quatre
numbers,five,cinco,fünf,fem,cinc
numbers,six,seis,sechs,sex,sis
numbers,seven,siete,sieben,sju,set
numbers,eight,ocho,acht,åtta,vuit
numbers,nine,nueve,neun,nio,nou
numbers,ten,diez,zehn,tio,deu
numbers,eleven,once,elf,elva,onze
numbers,twelve,doce,zwölf,tolv,dotze
numbers,thirteen,trece,dreizehn,tretton,tretze
numbers,fourteen,catorce,vierzehn,fjorton,catorze
numbers,fifteen,quince,fünfzehn,femton,quinze
numbers,sixteen,dieciséis,sechzehn,sexton,setze
numbers,twenty,veinte,zwanzig,tjugo,vint
numbers,thirty,treinta,dreißig,trettio,trenta
numbers,forty,cuarenta,vierzig,fyrtio,quaranta
numbers,fifty,cincuenta,fünfzig,femtio,cinquanta
numbers,one hundred,cien,einhundert,hundra,cent
numbers,one thousand,mil,eintausend,tusen,mil
numbers,million,millón,million,miljon,milió
numbers,billion,billón,milliarde,miljard,bilió
animals,dog,perro,hund,hund,gos
animals,cat,gato,katze,katt,gat
animals,bird,pájaro,vogel,fågel,ocell
animals,fish,pez,fisch,fisk,peix
animals,lion,león,löwe,lejon,lleó
animals,tiger,tigre,tiger,tiger,tigre
animals,wolf,lobo,wolf,varg,llop
animals,horse,caballo,pferd,häst,cavall
animals,monkey,mono,affe,apa,mico
animals,snake,serpiente,schlange,orm,serp
animals,eagle,águila,adler,örn,àguila
animals,butterfly,mariposa,schmetterling,fjäril,papallona
animals,cow,vaca,kuh,ko,vaca
animals,pig,cerdo,schwein,gris,porc
animals,sheep,oveja,schaf,får,ovella
animals,chicken,pollo,huhn,kyckling,pollastre
animals,duck,pato,ente,anka,ànec
animals,mouse,ratón,maus,mus,ratolí
animals,rat,rata,ratte,råtta,rata
animals,elephant,elefante,elefant,elefant,elefant
animals,giraffe,jirafa,giraffe,giraff,girafa
animals,zebra,cebra,zebra,zebra,zebra
animals,shark,tiburón,hai,haj,tauró
animals,whale,ballena,wal,val,balena
animals,dolphin,delfín,delfin,delfin,dofí
animals,spider,araña,spinne,spindel,aranya
animals,bee,abeja,biene,bi,abella
animals,ant,hormiga,ameise,myra,formiga
animals,rabbit,conejo,kaninchen,kanin,conill
animals,deer,ciervo,hirsch,hjort,cérvol
animals,fox,zorro,fuchs,räv,guineu
animals,frog,rana,frosch,groda,granota
animals,bat,murciélago,fledermaus,fladdermus,ratpenat
animals,owl,búho,eule,uggla,mussol
animals,penguin,pingüino,pinguin,pingvin,pingüí
animals,turtle,tortuga,schildkröte,sköldpadda,tortuga
animals,crocodile,cocodrilo,krokodil,krokodil,cocodril
animals,dove,paloma,taube,duva,colom
animals,crow,cuervo,krähe,kråka,corb
animals,hawk,halcón,falke,hök,falcó
animals,panther,pantera,panther,panter,pantera
animals,bear,oso,bär,björn,ós
animals,camel,camello,kamel,kamel,camell
animals,swan,cisne,schwan,svan,cigne
animals,seal,foca,robbe,säl,foca
animals,gorilla,gorila,gorilla,gorilla,goril·la
animals,parrot,loro,papagei,papegoja,lloro
food_drinks,water,agua,wasser,vatten,aigua
food_drinks,wine,vino,wein,vin,vi
food_drinks,beer,cerveza,bier,öl,cervesa
food_drinks,coffee,café,kaffee,kaffe,cafè
food_drinks,tea,té,tee,te,te
food_drinks,whiskey,whisky,whiskey,whisky,whisky
food_drinks,apple,manzana,apfel,äpple,poma
food_drinks,banana,plátano,banane,banan,plàtan
food_drinks,bread,pan,brot,bröd,pa
food_drinks,sugar,azúcar,zucker,socker,sucre
food_drinks,honey,miel,honig,honung,mel
food_drinks,milk,leche,milch,mjölk,llet
food_drinks,candy,caramelo,süßigkeiten,godis,caramel
food_drinks,pizza,pizza,pizza,pizza,pizza
food_drinks,hamburger,hamburguesa,hamburger,hamburgare,hamburguesa
food_drinks,cheese,queso,käse,ost,formatge
food_drinks,meat,carne,fleisch,kött,carn
food_drinks,rice,arroz,reis,ris,arròs
food_drinks,potato,patata,kartoffel,potatis,patata
food_drinks,tomato,tomate,tomate,tomat,tomàquet
food_drinks,cake,pastel,kuchen,kaka,pastís
food_drinks,chocolate,chocolate,schokolade,choklad,xocolata
food_drinks,juice,zumo,saft,juice,suc
food_drinks,soda,refresco,limonade,läsk,refresc
food_drinks,vodka,vodka,wodka,vodka,vodka
food_drinks,rum,ron,rum,rom,rom
food_drinks,champagne,champán,champagner,champagne,xampany
food_drinks,tequila,tequila,tequila,tequila,tequila
food_drinks,ice,hielo,eis,is,gel
food_drinks,cream,crema,sahne,grädde,crema
food_drinks,lemon,limón,zitrone,citron,llimona
food_drinks,strawberry,fresa,erdbeere,jordgubbe,maduixa
food_drinks,grape,uva,traube,druva,raïm
food_drinks,cherry,cereza,kirsche,körsbär,cirera
food_drinks,salt,sal,salz,salt,sal
food_drinks,pepper,pimienta,pfeffer,peppar,pebre
food_drinks,soup,sopa,suppe,soppa,sopa
food_drinks,salad,ensalada,salat,sallad,amanida
food_drinks,gin,ginebra,gin,gin,ginebra
food_drinks,liquor,licor,likör,sprit,licor
food_drinks,peach,melocotón,pfirsich,persika,préssec
food_drinks,melon,melón,melone,melon,meló
food_drinks,pasta,pasta,pasta,pasta,pasta
food_drinks,egg,huevo,ei,ägg,ou
food_drinks,butter,mantequilla,butter,smör,mantega
food_drinks,oil,aceite,öl,olja,oli
food_drinks,vinegar,vinagre,essig,vinäger,vinagre
food_drinks,cookie,galleta,keks,kaka,galeta
food_drinks,cocktail,cóctel,cocktail,cocktail,còctel
body_parts,neck,cuello,hals,nacke,coll
body_parts,back,espalda,rücken,rygg,esquena
body_parts,chest,pecho,brust,bröst,pit
body_parts,shoulders,hombros,schultern,axlar,espatlles
body_parts,knees,rodillas,knie,knän,genolls
body_parts,fingers,dedos,finger,fingrar,dits
body_parts,tongue,lengua,zunge,tunga,llengua
body_parts,ears,orejas,ohren,öron,orelles
body_parts,nose,nariz,nase,näsa,nas
body_parts,stomach,estómago,magen,mage,estómac
body_parts,throat,garganta,kehle,hals,gola
body_parts,wrist,muñeca,handgelenk,handled,canell
body_parts,ankle,tobillo,knöchel,ankel,turmell
body_parts,waist,cintura,taille,midja,cintura
body_parts,brain,cerebro,gehirn,hjärna,cervell
body_parts,muscle,músculo,muskel,muskel,múscul
body_parts,heart,corazón,herz,hjärta,cor
body_parts,eyes,ojos,augen,ögon,ulls
body_parts,face,cara,gesicht,ansikte,cara
body_parts,hands,manos,hände,händer,mans
body_parts,hair,pelo,haare,hår,cabell
body_parts,lips,labios,lippen,läppar,llavis
body_parts,arms,brazos,arme,armar,braços
body_parts,legs,piernas,beine,ben,cames
body_parts,mind,mente,verstand,sinne,ment
body_parts,skin,piel,haut,hud,pell
body_parts,bones,huesos,knochen,ben,ossos
body_parts,blood,sangre,blut,blod,sang
body_parts,head,cabeza,kopf,huvud,cap
body_parts,feet,pies,füße,fötter,peus
body_parts,nail,uña,nagel,nagel,ungla
body_parts,tooth,diente,zahn,tand,dent
body_parts,mouth,boca,mund,mun,boca
body_parts,soul,alma,seele,själ,ànima
weather_nature,rain,lluvia,regen,regn,pluja
weather_nature,sun,sol,sonne,sol,sol
weather_nature,wind,viento,wind,vind,vent
weather_nature,storm,tormenta,sturm,storm,tempesta
weather_nature,fire,fuego,feuer,eld,foc
weather_nature,snow,nieve,schnee,snö,neu
weather_nature,thunder,trueno,donner,åska,tro
weather_nature,lightning,relámpago,blitz,blixt,llamp
weather_nature,cloud,nube,wolke,moln,núvol
weather_nature,ice,hielo,eis,is,gel
weather_nature,star,estrella,stern,stjärna,estrella
weather_nature,moon,luna,mond,måne,lluna
weather_nature,planet,planeta,planet,planet,planeta
weather_nature,galaxy,galaxia,galaxie,galax,galàxia
weather_nature,universe,universo,universum,universum,univers
weather_nature,breeze,brisa,brise,bris,brisa
weather_nature,fog,niebla,nebel,dimma,boira
weather_nature,hurricane,huracán,hurrikan,orkan,huracà
weather_nature,tornado,tornado,tornado,tornado,tornado
weather_nature,volcano,volcán,vulkan,vulkan,volcà
weather_nature,earthquake,terremoto,erdbeben,jordbävning,terratrèmol
weather_nature,tsunami,tsunami,tsunami,tsunami,tsunami
weather_nature,desert,desierto,wüste,öken,desert
weather_nature,forest,bosque,wald,skog,bosc
weather_nature,jungle,selva,dschungel,djungel,selva
weather_nature,ocean,océano,ozean,ocean,oceà
weather_nature,sea,mar,meer,hav,mar
weather_nature,river,río,fluss,flod,riu
weather_nature,lake,lago,see,sjö,llac
weather_nature,mountain,montaña,berg,berg,muntanya
weather_nature,sand,arena,sand,sand,sorra
weather_nature,earth,tierra,erde,jord,terra
weather_nature,sky,cielo,himmel,himmel,cel
weather_nature,wave,ola,welle,våg,ona
weather_nature,flower,flor,blume,blomma,flor
weather_nature,tree,árbol,baum,träd,arbre
weather_nature,stone,piedra,stein,sten,pedra
weather_nature,dust,polvo,staub,damm,pols
weather_nature,light,luz,licht,ljus,llum
weather_nature,shadow,sombra,schatten,skugga,ombra
humans_family,baby,bebé,baby,bebis,nadó
humans_family,friend,amigo,freund,vän,amic
humans_family,mother,madre,mutter,mamma,mare
humans_family,father,padre,vater,pappa,pare
