name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Långt bort härifrån,Hov1,1,får,,"Så vad du ser är vad du får | Så vad du ser är vad du får | Hon sa, ""Åh, vad du ser är vad du får | Vad du ser är vad du får",7MS6BDazrQAzyMCrCvkUmJ
Ingen kommer sörja när du dör,Ida Redig,1,får,,"Men ingen får dig för fan | Ingen får dig igen, är redan din | Men ingen får dig för fan | Ingen får dig igen, är redan din | Men ingen får dig för fan | Ingen får dig igen | Men ingen får dig för fan | Ingen får dig igen, är redan din",4QkiVyRAKe4CSXZXC2eBh8
Slå mig hårt i ansiktet,Thomas Stenström,1,får,,"Slå mig hårt i ansiktet så får jag känna att jag lever | Slå mig hårt i ansiktet så får jag känna att jag lever | Du får göra vad du vill, får göra allt och lite till | Du får göra vad du vill med mig ikväll | Huvudet ner i asfalten så får jag känna att jag lever | Du får göra vad du vill, får göra allt och lite till | Du får göra vad du vill med mig ikväll | Du får göra vad du vill med mig ikväll | Kyss mig över bröstkorgen så får jag känna att jag lever | Du får göra vad du vill, får göra allt och lite till | Du får göra vad du vill med mig ikväll | Du får göra vad du vill med mig ikväll | Slå mig hårt i ansiktet så får jag känna att jag lever | Slå mig hårt i ansiktet så får jag känna att jag lever | Du får göra vad du vill, får göra allt och lite till | Du får göra vad du vill med mig ikväll | Du får göra vad du vill med mig ikväll | Du får göra vad du vill med mig ikväll",2Lv9FudgITbthtKK1B5wxY
Trakten min,Yasin,1,får,,"Klart att jag får paranoia varje gång jag taggar härifrån, härifrån | Klart att jag får paranoia varje gång jag taggar härifrån, härifrån | Klart att jag får paranoia varje gång jag taggar härifrån, härifrån | Klart att jag får paranoia varje gång jag taggar härifrån, härifrån",2HuMRW4PILLHwRb21oUhdO
Tommy tycker om mig,Carola,1,får,,Det finns ingen annan som får mig att känna likadant | Det finns ingen annan som får mig att känna likadant | Det finns ingen annan som får mig att känna likadant | Det finns ingen annan som får mig att känna likadant | Det finns ingen annan som får mig att känna likadant,63vK4u4uKwRD9KVJ5nHc46
Max 500,kent,1,får,,Det finns små trick som får folk | Det finns små trick som får folk | Och med en blick får jag folk att tro | Det finns små trick som får folk,770E8KGmhSNiv6tD7PQ55E
Slå Dig Fri,Kamferdrops,1,får,,"Ingen får se djupt inom dig | Vänd dig om, det får bli din sorti | Ja, tänkt vad lite avstånd, får allt att verka smått | Ingen får se djupt inom dig | Vänd dig om, det får bli din sorti",0o5ItTpMCdbOKfEhO092pp
Vem tänder stjärnorna,Eva Dahlgren,1,får,val,Men att jag får skriva ditt liv | Vem får mej att gå | Vem får mig att gå dit jag aldrig gått | Vem får mig att gå,0xljZqZHvXhVfse33fQ9bK
Vill du bli min fru,Drängarna,1,får,,Men om du inte kan får du ta en annan man | Och när jag står och vallar får på någon enslig äng | Men om du inte kan får du ta en annan man | Men om du inte kan får du ta en annan man | Men det gör inte alls nånting bara jag dig får | Men om du inte kan får du ta en annan man | Men om du inte kan får du ta en annan man | Men om du inte kan får du ta en annan man | Men om du inte kan får du ta en annan man | Men om du inte kan får du ta en annan man | Men om du inte kan får du ta en annan man,4ZJNkwzMJJLB7RpLzPcQtn
Bärsärkagång,Drängarna,1,ko,,"Vi ska välta en ko och slåss, kan du tro | Vi ska välta en ko och slåss, kan du tro | Vi ska välta en ko och slåss, kan du tro | Vi ska välta en ko och slåss, kan du tro",37kSYO0ly14YHLZATjR2v7
