name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Nåt i vattnet,Hov1,2,"man, man","vän, vän, mamma, mamma, bror, kille, tjej",Själv har man ju aldrig varit med i något elevråd | Acceptera kärlek som man tror man förtjänar | När alla säger att man är en på miljonen | Själv har man ju aldrig varit med i något elevråd | Acceptera kärlek som man tror man förtjänar | När alla säger att man är en på miljonen,7dIHE7NhkIDUAKDPOtjLGa
Kan Inte Gå,Bolaget,2,"vän, vän",,"Jag minns inget från igår min vän, vad har du gett mig? | Jag minns inget från igår min vän, vad har du gett mig? | Jag minns inget från igår min vän, vad har du gett mig? | Jag minns inget från igår min vän, vad har du gett mig? | Jag minns inget från igår min vän, vad har du gett mig? | Jag minns inget från igår min vän, vad har du gett mig? | Jag minns inget från igår min vän, vad har du gett mig? | Jag minns inget från igår min vän, vad har du gett mig? | Jag minns inget från igår min vän, vad har du gett mig? | Jag minns inget från igår min vän, vad har du gett mig?",6KOzO2mUwSwe8a9GiJAn7X
Egoist,kent,2,"man, man",,Antingen har man den eller så har man inte | Antingen har man den eller så har man inte | Antingen har man den eller så har man inte | Antingen har man den eller så har man inte,6ZZA5LtiMyhmo4jU3oldOZ
Gjord av sten,Veronica Maggio,2,"man, man",,Jag vet inte hur man gör | Hur man förändras | Jag vet inte hur man gör | Hur man förändras | Jag vet inte hur man gör | Jag vet inte hur man gör | Hur man förändras | Jag vet inte hur man gör | Jag vet inte hur man gör | Hur man förändras | Jag vet inte hur man gör | Hur man förändras | Jag vet inte hur man gör | Jag vet inte hur man gör | Hur man förändras | Jag vet inte hur man gör,0jrcxfpLNXhbMGsHT0YkW8
Alla vill till himmelen men ingen vill dö,Timbuktu,2,"man, man",,"För man vill ha vad man vill ha och man vill ha det nu | Och om man ser en möjlighet att ta så kvittar det hur | Kan man tjäna på ett tåg, ja då hoppar vi på | Man vill ha sin bit av kakan, man vill äta den med | Så mycket skit att man kan tro miljoner magar tömts | Man vill ha sin bit av kakan, man vill äta den med | Och man kan fråga vem man vill, även de vänliga | Man vill ha sin bit av kakan, man vill äta den med | För man vill ha vad man vill ha och man vill ha det nu | Och om man ser en möjlighet att ta så kvittar det hur | Kan man tjäna på ett tåg, ja då hoppar vi på | Man vill ha sin bit av kakan, man vill äta den med | Så mycket skit att man kan tro miljoner magar tömts | Man vill ha sin bit av kakan, man vill äta den med | Och man kan fråga vem man vill, även de vänliga | Man vill ha sin bit av kakan, man vill äta den med",6I1kZgg3bGrPKxhZOltbRW
Visa från Utanmyra,Monica Zetterlund,2,"man, man",,"Endast en gång såg jag den man | Endast en gång såg jag den man | Endast en gång såg jag den man | Sådan man, sådan man är han | Endast en gång såg jag den man | Endast en gång såg jag den man | Endast en gång såg jag den man | Sådan man, sådan man är han",2miSCGoSiQ8VYp1yaeOGtM
Sanna vänner,Carola,4,"vän, vän, man, man",,När du kom behövde jag en vän | Och en trofast vän är mera värd än guld | När du kom behövde jag en vän | Jag har fått en vän som jag kan lita på | När du kom behövde jag en vän | När du kom behövde jag en vän | När du kom behövde jag en vän | (När du kom behövde jag en vän) | När du kom behövde jag en vän | När du kom behövde jag en vän | Och en trofast vän är mera värd än guld | När du kom behövde jag en vän | Jag har fått en vän som jag kan lita på | När du kom behövde jag en vän | När du kom behövde jag en vän | När du kom behövde jag en vän | (När du kom behövde jag en vän) | När du kom behövde jag en vän | Sanna vänner kan man alltid lita på | Sanna vänner har man kvar när de andra har gått | Sanna vänner kan man alltid lita på | Sanna vänner har man kvar när de andra har gått | Sanna vänner kan man alltid lita på | Sanna vänner har man kvar när de andra har gått | Sanna vänner kan man alltid lita på | Sanna vänner har man kvar | Sanna vänner kan man alltid lita på | (Sanna vänner har man kvar när de andra har gått) | Sanna vänner kan man alltid lita på | (Sanna vänner har man kvar när de andra har gått) | Sanna vänner kan man alltid lita på | (Sanna vänner har man kvar när de andra har gått) | Sanna vänner kan man alltid lita på | (Sanna vänner har man kvar när de andra har gått) | (Sanna vänner kan man alltid lita på) | Sanna vänner kan man alltid lita på | Sanna vänner har man kvar när de andra har gått | Sanna vänner kan man alltid lita på | Sanna vänner har man kvar när de andra har gått | Sanna vänner kan man alltid lita på | Sanna vänner har man kvar när de andra har gått | Sanna vänner kan man alltid lita på | Sanna vänner har man kvar | Sanna vänner kan man alltid lita på | (Sanna vänner har man kvar när de andra har gått) | Sanna vänner kan man alltid lita på | (Sanna vänner har man kvar när de andra har gått) | Sanna vänner kan man alltid lita på | (Sanna vänner har man kvar när de andra har gått) | Sanna vänner kan man alltid lita på | (Sanna vänner har man kvar när de andra har gått) | (Sanna vänner kan man alltid lita på),5AGXO3iao804D7WuOm0Lyl
Kung för en dag,Magnus Uggla,2,"man, man",kung,Fast man saknar allt av värde | Sen man svurit aldrig mera äta | Det är något som man verkligen vet | Om man får vara kung för en dag | Det är något som man verkligen vet | Om man får vara kung för en dag | Det är något som man verkligen vet | Om man får vara kung för en dag | Fast man saknar allt av värde | Sen man svurit aldrig mera äta | Det är något som man verkligen vet | Om man får vara kung för en dag | Det är något som man verkligen vet | Om man får vara kung för en dag | Det är något som man verkligen vet | Om man får vara kung för en dag,1DzYDC7LD4dyKSp0AeLj63
Havanna Mamma,Veronica Maggio,2,"man, man","mamma, mamma, fru",Hon lämna man och barn och huset | Hon lämna man och barn och huset | Hon lämna man och barn och huset | Hon lämna man och barn och huset | Hon lämna man och barn och huset | Hon lämna man och barn och huset | Hon lämna man och barn och huset | Hon lämna man och barn och huset,7gybDAR6f9GVls39O1aYT2
Sju sorger,Veronica Maggio,2,"vän, vän",,Länge leve du min vän | Du kommer nog aldrig mer vara min vän | Du kommer nog aldrig mer vara min vän | Länge leve du min vän | Du kommer nog aldrig mer vara min vän | Länge leve du min vän | Du kommer nog aldrig mer vara min vän | Du kommer nog aldrig mer vara min vän | Länge leve du min vän | Du kommer nog aldrig mer vara min vän,3jB5trbr0kQqQRkYr3M3u5
