name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Försent,Hov1,1,två,ett,"För nu är det svårt att skriva låtar om oss två | Nu är det försent för oss två | Försent för oss två, jag kom försent för dig, åh | Jag tror jag kom försent, kom försent för oss två | En del av mig ska alltid hoppas att det blir vi två igen",1U49LNwMAgAwlLMQxeqWL6
Debut,Oskar Linnros,1,första,,"Det är första gången vi är själva baby | Mm, det är första gången för oss båda baby | Det är första gången för mig med, så jag vill ha mer | Det är första gången för mig med, bara lägg dig ner | Det är första gången för mig med, så jag vill ha mer | Det är första gången för mig med, så lägg dig ner",1pz5OQpD60mtOyqX3fDf78
Början av filmen,Navid Modiri  Gudarna,1,ett,tre,Men jag dör som ett as inuti | Ett plus ett blir tre | Men jag dör som ett as inuti | Men jag dör som ett as inuti,3uTtjYv2xMBRiYlAPTFxlm
Förlåtelsen,kent,1,ett,,Hand i hand med ett spöke | Finns det ens ett hem där vägen tar slut? | Högt upp i ett sekelskifteshus | Finns det ens ett hem där vägen tar slut?,4lgFAspCCj6QFU5Pk985kR
I samma bil,Bo Kaspers Orkester,1,tusen,,"Tusen år och tusen mil | Kan jag åka tusen till | Tusen år och tusen mil, vi kan åka tusen till | Tusen år och tusen mil, vi kan åka tusen till | Tusen år och tusen mil, vi kan åka tusen till | Tusen år och tusen mil, vi kan åka tusen till | (Tusen år och tusen mil)",2qkma39oRZ0rzGkyE2gdHd
Alla vill till himmelen men ingen vill dö,Timbuktu,1,ett,,"Kan man tjäna på ett tåg, ja då hoppar vi på | Så dom tvingar oss att simma runt i ett hav av lögn | Sanningen är numera ett minne blott | Kosta vad det vill, till säkerligen ett dyrt pris",6I1kZgg3bGrPKxhZOltbRW
Super 8,Little Jinder,1,ett,,Vi måste få ett lyckligare slut | Vi måste få ett lyckligare slut | Vi måste få ett lyckligare slut | Vi måste få ett lyckligare slut,1eYX9oRvZFiWrtac2v1H9F
O A O A E vi förlorade,Markus Krunegård,1,första,ett,Från första gången du såg på mig | Redan första gången jag såg på dig | Från första gången du såg på mig | Redan första gången jag såg på dig | Från första gången du såg på mig | Redan första gången jag såg på dig | Från första gången du såg på mig,5E2EyhF2z7sNFjemSXNOjO
Ta mig tillbaka,Darin,1,ett,första,Till ett baksäte mot gamla Paris | Det var ett krig med Rosa mil efter mil | Lika mäktigt som ett stadsfyrverkeri | Tänker tillbaks på hur det var ett annat liv,6qjYBkoKcMRjQkVfwDU2Te
Längesen feat Veronica Maggio,Petter,2,"ett, första",,"Sen den stunden satt jag fast i ett nät, förtrollad, bunden | Efter ett tag det började korresponderas | Tar tag i din hand, du brister ut i ett skratt | Har ett hjärta utan rynkor, det består intakt | Varje gång är som den första gång vi sågs | Minns det som igår, första gången du log | Varje gång är som den första gång vi sågs | Jag var ung, du var yngre när vi sågs första gången | Varje gång är som den första gång vi sågs | Varje gång är som den första gång vi sågs",5VkQnKKveR6C7MngcsoZ6P
Ansvar feat Eye NI,Petter,1,ett,,"Jag vill gå loss, släcka stan som ett strömavbrott, ah | När jag lyssnar till ett eko av en signal eller ton | Väntar på nåt kla tecken, eller ett bra tecken | Eller ett dåligt tecken, eller bara något tecken | Konsekvenstänka, det blir ett minne blott att få",01pOAvqEUFkWnm1WnUt02U
Sergels torg,Veronica Maggio,1,hundra,noll,Vad gör väl det om hundra år | Vad gör väl det om hundra år | (Vad gör väl det om hundra år?) | Vad gör väl det om hundra år?,48ubkDBO9GAFRkn3hXFHVt
Gift,Hov1,1,ett,sex,"Du är ett fucking gift | Du är ett fucking gift | Du är ett fucking gift | Du är ett fucking gift | Du är ett fucking gift | Du är ett fucking gift | Du är ett gift för mig, allt är lite snett | Du är ett fucking gift | Du är ett fucking gift",2NHAh9RwSCEwDo9jHeeQbp
Oss,RMK  Toppen,1,tusen,två,"Ljudet av, tusen slag, slår för du och jag | Ljudet av, tusen slag, slår för du och jag | Ljudet av, tusen slag, slår för du och jag | Ljudet av, tusen slag, slår för du och jag",5sIv5un0PeN7xriCGEn3rq
Om,Niklas Strömstedt,1,ett,,Om du var ett hav vore jag en våg | Om du var ett regn hade jag vart hav och land | Om du var ett hav vore jag en våg | Om du var ett regn hade jag vart hav och land | Om du var ett hav vore jag en våg | Om du var ett regn hade jag vart hav och land | Om du var ett hav vore jag en våg | Om du var ett regn hade jag vart hav och land | Om du var ett hav vore jag en våg | Om du var ett regn hade jag vart hav och land (Na-na-na-na-na),3tgDP0BTRP10i4HkLlAER3
Eloise,Arvingarna,1,ett,,"Vår kärlek, den är värd ett högre pris | Jag är som en boll i ett flipperspel, ah-ha-ha | Vår kärlek, den är värd ett högre pris | Vår kärlek, den är värd ett högre pris",4QZ6hp2CKRaZG5RI9zXQqg
Hej Sofia,Benjamin,1,ett,första,"Jag tar ett flyg till Italien | För jag sa hej, Sofia, jag sitter på ett plan | För jag sa hej, Sofia, jag sitter på ett plan | Hej, Sofia, jag sitter på ett plan | För jag sa hej, Sofia, jag sitter på ett plan",66nntYnGINU0erjcXth4Kf
Stormande hav,Timoteij,1,ett,två,På ett virvlande stormande hav | På ett virvlande stormande hav | På ett virvlande stormande hav | På ett virvlande stormande hav | Står du som jag i virvlarna av ett stormande hav? | På ett virvlande stormande hav | På ett virvlande stormande hav | Står du som jag i virvlarna av ett stormande hav?,1ynG0Ej6hJzKEAQl5ZB4D5
Vi kommer aldrig att dö,Bo Kaspers Orkester,1,ett,tre,Ge pengar till ett institut | Ge ditt namn till ett gevär | Säg ett ord som blir bevingat | Och få ett pris ur kungens hand,3HSt1ZgyKd8MONJ722o8PT
Ett steg fram,Junie,1,två,ett,"Och jag tar två steg bak | Och jag tar två steg bak | Och jag tar två steg bak | Och jag tar två steg bak | Och jag tar två steg bak, mm | Och jag tar två steg bak, mm | Och jag tar två steg bak (Ett steg bak) | Och jag tar två steg bak (Ja, ja, yeah, whoa)",2qnIZKUoJxwZjUbMqW2KYz
Pärlor,kent,1,ett,,"(Det är ett av skälen) | Ge dem ett finger och värm min hand | (I ett iskallt Ikea-land) | (Bara ett av skälen, ett av skälen) | (Ett av skälen, ett av skälen) | (Det är ett av skälen) | (Bara ett av skälen, ett av skälen)",5YCKObb1A7YIeOKzXhREwz
Max 500,kent,1,ett,,Går ett Yeti-spår | Som magi ett ljus man drunknar i | Som magi ett ljus man drunknar i | På magi ett ljus man drunknar i,770E8KGmhSNiv6tD7PQ55E
Gröne Lunden,OMNIA,1,ett,,"Mitt uti den gröne Lunden, där dansar ett par | Mitt uti den gröne Lunden, där dansar ett par | Mitt uti den gröne Lunden, där dansar ett par | Mitt uti den gröne Lunden, där dansar ett par | Mitt uti den gröne Lunden, där dansar ett par | Mitt uti den gröne Lunden, där dansar ett par | Mitt uti den gröne Lunden, där dansar ett par",28KfOiSzbCuchoyCqg0sLT
Somliga går med trasiga skor,Cornelis Vreeswijk,1,ett,hundra,"Vem bryr sig om ett par trasiga skor | Medborgare, om ett hundra år | Jag bryr mig inte ett spår | Bakom ett hörn står döden på lur | Får sig ett gott skratt då",3RziapqS8nr6DiejCtI3cd
Gubben i lådan,Daniel AdamsRay,1,tusen,,För dig ska jag göra det tusen gånger om | För dig ska jag göra det tusen gånger om | För dig ska jag göra det tusen gånger om | För dig ska jag göra det tusen gånger om | För dig ska jag göra det tusen gånger om | För dig ska jag göra det tusen gånger om,08bjJuoHJwfTnjNcuENOFz
Fallskärm,Timbuktu,1,ett,"två, fem, sju, tolv","Jag var ett mörkt moln, du var en ljusblick | Jag var ett löv i kuling, men du var ankrad | Där är en sjöjungfru, här är ett odjur | Du målade mig en karta, markerad med ett kryss | Där är en sjöjungfru, här är ett odjur",2Uq9eAI5PWA5Qb0CD94c5V
Kärleksbrev,Hov1,1,ett,två,Det här är ett kärleksbrev till dig | Det här är ett kärleksbrev till dig | Det här är ett kärleksbrev till dig | Det här är ett kärleksbrev till dig | Det här är ett kärleksbrev till dig | Det här är ett kärleksbrev till dig,3QZv9Jn1J3u37z6O7Urir7
Dör för dig,Danny Saucedo,1,två,"ett, första","Rektors expeditionen, vi var i trubbel båda två | Vi två kommer alltid va så | Vi två kommer alltid bestå | Vi två kommer alltid va så | Vi två kommer alltid bestå",1J8teo08q8FlNWIJh9QFr3
Ligger med en ful feat Markus Krunegård,Little Jinder,1,ett,,Fyra år sen och ett andetag | Fyra år sen och ett andetag | Fyra år sen och ett andetag | Fyra år sen och ett andetag | Fyra år sen och ett andetag,4I4CvvN1DT1yhnbukLbsd7
Ingen vill veta var du köpt din tröja,Raymond  Maria,1,ett,,"Minst vart fjärde samtal måste leda till ett köp | Nästa lördag kanske vi ska titta på ett hus | Sol varenda dag, vi hade hyrt ett torp i Värmland | Och fast ni flyttat till ett hus som är öppet, fräscht och ljust",5ZwGEB12w8ecsliRierijy
Genesarets Sjö,Kjell Höglund,1,ett,,Drömmen ska brinna om ett annat liv | Låt ditt hjärta slå ett extra slag | Med den värld vi har ett leva i | Drömmen ska brinna om ett annat liv | Och studera förloppet i ett experiment | Jag har skrivit ett brev till den det vederbör,31ui4AOsd31MndbYaztzGt
