name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
När vi två blir en,Gyllene Tider,1,mun,,"Din mun tätt emot min, hjärtat snabbar på",2EKzS2s2VKnbQ7jxyk2WHi
Sommartider,Gyllene Tider,1,läppar,,"Läppar mot läppar som tar mig i land | Läppar mot läppar, två hjärtan i brand",1d1BeKPNgaQ36wcxGqnfU3
Nattpojken  Dagflickan feat Anna Ternheim,kent,1,rygg,,Kan du vakta min rygg | Om jag vaktar din rygg,4qx4LtQrMBRyy7oozNZuQ2
ABC,Anna Book,1,hjärta,,CDE - mitt hjärta det bankar,47KyjSYbTBolLgz8HNFXz5
Sensuella Isabella,Tomas Ledin,1,mage,,"Dansa på min mage, ryck mig i min svans",3gix2z7XVD0siCCBf37A4X
Blå,Maja Gödicke,1,händer,nacke,Livet det bara händer | Står med färg på mina händer,6OyURAWisqW2PIVxFpF9EW
Vart jag mig i världen vänder,Den svenska björnstammen,1,händer,,Vart jag mig i världen vänder står jag här med tomma händer | (Vart jag mig i världen vänder står jag här med tomma händer),7nLMZKhfkFZLr9rz4VyOpF
Cyklar ni så springer jag,Mares,1,hjärta,,"Mitt hjärta pumpar snabba slag, tar allt för många andetag",7ihOAPfUkJPrIAiQEv9GfW
Du får göra som du vill,Patrik Isaksson,1,själ,,Som lever inpå din själ,2T6eHFvCm6sFxiQeGYJL4C
Little Willie John  Version,Peter LeMarc,1,själ,hjärta,"Sjung för min själ, som ett långsamt farväl | Känslor ingen själ kan hejda",7M57AuAeA5M4lnWqpUGRIR
Tusen bitar,Björn Afzelius,1,hjärta,ögon,Men ett hjärta kan gå i tusen bitar | Men mitt hjärta kan gå i tusen bitar,5odXFIUE5YFAbA7iEdL0w8
All in för Sverige VMlåt 2026,Brandsta City Släckers,1,hjärta,,"Vårt hjärta dunk, du-dunk, dunkar för Sverige | Vårt hjärta dunk, du-dunk, dunkar för Sverige (För Sverige)",3AGFGLUAhu0Cwv1Mkea3d4
Sommarkatt,Lovet,1,hals,,Skit i allt å' kyss min hals,57AHVmaxTYWoBBB5CFr9Ts
Flicka med guld,Thåström,1,ögon,,En flicka med guldbruna ögon,7rGHduaVJE02bdnbsjrfDF
Visa i vinden,Cornelis Vreeswijk,1,hjärta,,Och hennes hjärta rör | Mitt hjärta är som en gråsten | Mitt hjärta har mist sin form | Att ditt hjärta är ett såll,38QID9bSx6zDjheajcum6f
Andetag,Visby Allmänna Sången,1,blod,,"Dina gärningar, ditt ord, din tro vandrar vidare i dina barnbarns blod",6WRPcPq6bVO0wNx7ulmTif
Där gullvivan blommar,Grymlings,1,själ,,Just där gullvivan blommar får jag vila min själ | Just när gullvivan blommar får du ro i din själ | Som e mäktigt att tämja har en plats i min själ | Finns det stunder att gömma i sin djupaste själ | Som när gullvivan blommar för törstande själ | Just där gullvivan blommar finns det tröst för en själ,7zcGWhYVwLzmjbukHIulkE
Små lätta moln,Pugh Rogefeldt,1,hud,,Ser jag på din hud | Din hud i blomsterskrud,10VH7UmhotAdusUPc1KAsH
För Evigt,Hanna Ferm,1,hjärta,,För bara du kan få mitt hjärta å fungera,1CuVhIZAAc8h360WoVJYhD
Mandy Moore,Hov1,1,hjärta,ögon,Och du har ritat ett hjärta på spegel med läppstift | Alla tårar har jag torkat när mitt hjärta blivit krossat,2vD1hN8Oxqfh4umefOVIqP
Asteroid,Lovet,1,hjärta,,Du spelar ukulele med mitt hjärta | Och dynamit exploderade mitt hjärta inuti,1S6DSE6xXdlAUT52z1bk1n
Har Dig,Yasin,1,rygg,"hjärta, hår",Vem är som du? Jag vet att du har min rygg så jag har dig,4FGvRqZ1pPaflN2jjLBMB9
Vart jag än går,Stiftelsen,2,"hjärta, själ",bröst,"Om ditt hjärta slår, kommer jag vara med dig vännen vart du än går | Om ditt hjärta slår, kommer jag känna av din själ vart jag än går | Om ditt hjärta slår, kommer jag vara med dig vännen vart du än går (Hey!) | Om ditt hjärta slår, kommer jag känna av din själ vart jag än går (Går, går, går yeah) | Om ditt hjärta slår, kommer jag känna av din själ vart jag än går (Vart jag än går)",2C0dZsmW6mvpavE5SEApkx
Come Give Me Love  Swedish Version,First Aid Kit,1,huvud,"fingrar, ögon",Kom sänk ditt huvud | (Kom sänk ditt huvud och lägg dig ner),222G3hi6hSEbPYd2pfpLz2
