name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Satellit,Ted Gärdestad,1,blå,,"Åh, som en satellit, högt upp i det blå | Åh, vad världen är liten ändå (Högt i det blå) | Åh, som en satellit högt upp i det blå",10AwlsmVEASSiWORkKcgRo
Stockholm sett snett uppifrån,Vapnet,1,blå,,Blå blå vindar över oss | Varma händer blir isigt blå,6wqFgEf5VXWlSjsQPC4USt
Sista sommaren,Thomas Stenström,1,blå,,Dina ögon färgar himlen blå,28TGtp6irVUZhTv5ytdex1
Copacabanana,Sean Banan,1,gul,grå,"Det blir en svettig gul allians | Kom Sverije, grå och gul, sluta ha så lagom kul",792VMoWC2A4GIRHooEawqR
Container,David Shutrick,1,blå,,I en blå container fann jag dej,65yylycZ36rlCyXstyz36z
Vindarna,Freda,1,blå,,"Du dansar runt på ängarna, du svävar i det blå | Du dansar runt på ängarna, du svävar i det blå",2OVQRlkVtYKLr9YBQmWaKx
Blåögd,Molly Sandén,1,blå,,"Huvet i det blå | Ändå lika blå | Huvet i det blå (Blå) | Ändå lika blå (Blå) | Blå, blå | Huvet i det blå (Huvet i det blå)",7mpBXaF68UdXcsBdfRKLA5
Sjösala vals,Evert Taube,1,blå,,Och blå viol,39sX8zIABMzPBY0cDblp91
Små lätta moln,Pugh Rogefeldt,1,blå,,Din himmel som är blå | Din himmel så blå,10VH7UmhotAdusUPc1KAsH
Blå,Hov1,1,gul,blå,"Vi är så blå, vi målar himlen gul och blå | Så alla stå upp nu för vi är gul och blå | Gör vadsomhеlst för gul och blå | För allt är gul och blå | Vi kommer alltid kämpa, för vi är gul och blå | Vi kommer alltid kämpa för vi är gul och blå",0hel3UahHwK9SfUF85M1WK
Hela vägen hem,JLC,2,"blå, gul",,"Vi ska visa hela världen, vem som är gul och blå | Hela vägen för gul och blå",4GzWKYWHvKD3ucyIr9tV3M
