name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Välkommen in,Veronica Maggio,1,upp,ner,"Jag bor fyra trappor upp och du är välkommen in | För det är kö från gatan upp till hallen | Ja, det är det är kö från gatan upp till hallen | Flackande blickar upp och ner och igen, åh",5MEuFY2DxrozPEgGpR8Fji
Trädgården en fredag,Veronica Maggio,1,ner,"långt, under","Dom har legget i handen, blicken ner i marken, ingen blir vald | Dom har glitter på kinden, blicken ner i marken, alla på rad",1oFoY6INRnHIpHY6ssPxBm
Töntarna,kent,1,ner,upp,"Så lägg dig ner och sov, lilla syster | Bara lägg dig ner och bida din tid nu | Lägg dig ner nu och sov, lilla syster",6obXvjVF91KAeLNDOECFvi
Debut,Oskar Linnros,1,ner,,"Vi kan ta en paus i breaket, men nu går jag ner | Bara lägg dig ner | Det är första gången för mig med, bara lägg dig ner | Det är första gången för mig med, så lägg dig ner",1pz5OQpD60mtOyqX3fDf78
Förlåtelsen,kent,1,långt,upp,"Nu är vi så långt, långt, långt, långt, långt",4lgFAspCCj6QFU5Pk985kR
Nattpojken  Dagflickan feat Anna Ternheim,kent,1,upp,,Du måste stå upp för sakerna du gör | Jag måste stå upp för sakerna jag gör | Vi måste stå upp för drömmarna vi säljer | Vi måste stå upp för sakerna vi gör,4qx4LtQrMBRyy7oozNZuQ2
Du står kvar,Ida Redig,1,ute,,"Oh-oh, nånting där ute",2rHzX9RO1Rtv8nZNkoqBKK
Ser du månen där du är ikväll Tillsammans igen,Thomas Stenström,1,ner,"upp, långt","Ta min hand så tar vi ner den | Rakt ut i mörkret ner mot stadens ljus, lyser allt vi lämnat kvar",4SLYrBfzgbLmiEdoKajyHL
Längesen feat Veronica Maggio,Petter,1,upp,"ner, fram",Varför jag aldrig släppt det och aldrig gett upp | Jag gav aldrig upp dig när du försvann | Känslor bubblar upp utan att tänka tillbaks | För allt som flyger upp måste landa till slut,5VkQnKKveR6C7MngcsoZ6P
Se på mig nu feat Linnea Henriksson  Singelversion,Petter,1,ner,"vänster, långt, fram","Jag dansar tills kristaller faller ner mot min hud | Om allt rasar, faller jag ner",7rklm17yoayxw45lpzv5uv
