name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Kalorier  kokain,Hov1,1,kärlek,,"Är det här vi kallar kärlek? | Då vill jag inte ha det längre, för kärlek är skit | Men nu står jag utan kärlek, vilket jävla slöseri | Är det det här vi kallar kärlek? | Är det det här vi kallar kärlek, vilken kärlek?",4GVknQFMoAQiih18N9itGG
Satan i gatan,Veronica Maggio,1,gråta,glad,Du kan gråta mitt på gatan,3q8WojYJVZsGClFGFBYdTc
Säg mig var du står,Carola,1,tro,,"En tro på framtiden, en tro på sanningen | En tro på gemenskapen, nångång (Nångång) , nånstans (Nånstans) | För jag vill ha en tro på det jag gör | En tro på gemenskapen, nångång (nångång), nånstans (nånstans)",32qGFJqweMFsGvsxRKgdjk
Tusen och en natt,Charlotte Perrelli,1,kärlek,kyss,För din kärlek går jag genom eld och vatten | Sagan om vår kärlek | Stjäl en kyss och tar det mesta av min kärlek | Får mig att längta efter kärlek och bara drömma,6JIwvW8ioos5KFp0Q0mS3Y
Chanslös,Julia Adams,1,kärlek,,"För Drake har lärt mig allt om kärlek, ljus | Och Drake har lärt mig allt om kärlek, ljus | Och Drake vet ingenting om kärlek",32zBhjfmA3u1Yn84f5TxIz
Fan va bra,Jakob Karlberg,1,galen,rädsla,"Du gör mig galen, känner mig naken | Här är jag, en galen själ som vill till hundra procent",4pItP9yMHJ4Klk8U6eOmLx
Den vilda,One More Time,1,stolthet,,Fyllda av stolthet och vilja,0TYwFP4MxszHAXAJMYhi3E
We Are All The Winners,Nick Borgen,1,glad,,"Han är glad, alltid lika glad | Och han blir alltid lika glad när alla hänger med | Han blir glad, alltid lika glad",51cOCcB9c8tjUI50trrD4r
Havet är djupt,Lokal,1,tro,glad,"Så baby, tro mig, ge mig bara en chans",0milNfD6Cq6hnb702irLpf
Omåomigen,Pelle Almgren,1,kärlek,,Och rent konkret bevisat kärlek som abstrakt,4fwOeFfLQoTjEsldLpDngl
DoverCalais,Style,1,rädsla,,"All min rädsla försvann, när du sakta tog min hand",6eWs5GR8iLbolcOjj3gKjx
Bärsärkagång,Drängarna,2,"galen, tro",,"Vi ska dansa och vråla till en galen sång | Vi ska välta en ko och slåss, kan du tro",37kSYO0ly14YHLZATjR2v7
Så som i himlen feat Tensta Gospel,Danny Saucedo,1,kärlek,,Finns det någon kärlek kvar? | Finns det någon kärlek kvar? (Finns det någon kärlek kvar) | Finns det någon kärlek kvar (Finns det någon kärlek kvaaar!),5tZPmEPqAcFVyxaEcU3cvP
Änglahund,Hasse Andersson,1,glad,,Får man det du speleman då blir jag glad,4GgAm1IIj5mIUsA8ucKA0k
Det hon vill ha,Christer Sandelin,1,tro,,Att tro dom är i himmelen,5gyPbAixchH4iPhqKWthfB
My Number One,Helena Paparizou,1,passion,,"You're my sacred passion and I have no other | You're my passion, my relief, my crucifixion",6LkCvCc9oFoLDv4DLhzTox
Till dom ensamma,Mauro Scocco,2,"glädje, sorg",,Som aldrig hittat nån att dela sin glädje och sorg med | (att dela sin glädje och sorg),31AMbxkc5KHNtBSmuNww60
Vinden har vänt,Petter,2,"kärlek, tur",,Med kärlek som cement | Det är min tur nu,1RumnunzRSwsoQAfBlIxHz
Sommarkatt,Lovet,1,kyss,,Skit i allt å' kyss min hals,57AHVmaxTYWoBBB5CFr9Ts
Pojken på månen,Rikard Wolff,1,kärlek,,"Älska, älska för kärlek. Älska en endaste gång | Men älska, älska för kärlek, han sjunger stilla sin sång | Älska, älska för kärlek, älska en endaste gång, endaste gång, en endaste gång | Älska, älska för kärlek, älska en endaste gång",7d5il3pdj4Wgq7bOICSF6U
Andetag,Visby Allmänna Sången,1,tro,glädje,"Dina gärningar, ditt ord, din tro vandrar vidare i dina barnbarns blod",6WRPcPq6bVO0wNx7ulmTif
Högt över havet,Arja Saijonmaa,1,kärlek,"galen, tur",När det gäller kärlek är det dig som jag vill ha | Kärlek (Det måste va kärlek) | Är det kärlek? (Det måste va kärlek),4J5KXnvaoSPa7yHrsNnqda
Passa dig,Miriam Bryant,1,tårar,,"Våra somrar, tusen tårar | Vårar som har tusen tårar",7opBciEkUAvZTcZEShDb8s
Goliat,Laleh,1,tro,,"Så tro på mig för jag vet att du är modigast"" | Så tro på mig för jag vet att du är modigast"" (Goliat) | Så tro på mig för jag vet att du är modigast | Så tro på mig, för jag vet att du är modigast",7qA8S7mbV9uPy9rFprdN3C
Kär  galen,Cleo,1,skrika,"gråta, galen",Jag ska upp på taket skrika ut att jag är kär och galen,6Q2gvZICjpceA8gthJJ0b6
Vi Är På Riktigt,Laleh,1,tro,,"Så kommer nån att tro på kärleken, sen om hela världen är beng | Kommer du tro på kärleken eller ska du snurra till det igen | Kommеr nån att tro på kärleken, sen om hela världen är beng | Kommer du tro på kärleken",6ts0bxk9N8qiVA7UhhFOJY
Dina läppar,Thomas Stenström,1,kyss,,"Ta min hand och kyss mig med dina röda läppar, yeah | Ta min hand och kyss mig med dina röda läppar | Ta min hand och kyss mig nu",41zrGMs7h8m1RpVwl380en
Come Give Me Love  Swedish Version,First Aid Kit,1,fred,kärlek,"Kom ge mig fred | (Kom ge mig världen, kom ge mig fred)",222G3hi6hSEbPYd2pfpLz2
