name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Never Let It Go,AfroDite,1,is,,And when the night is over | And my mind is high up above,28ihA2Fp5zRmcmi8hpfWiC
Jag är en idiot,Ludwig Bell,1,salt,,Kom häll mer salt i mina sår | Två hinkar salt i mina sår,71a4XKZQzF6kFpUWYWte3e
Lush Life,Zara Larsson,1,is,,What matters is now | Second time is one too late,1rIKgCH4H52lrvDcz50hS8
Som en riktig man,Kenneth  The Knutters,1,öl,,Dricka öl och åka hoj,1QWzq7PXckcLxBwV8MQLjH
Step Up,Darin,1,is,,Tonight is the start of something new | Tonight is on (Woo) | The crowd is reflecting our moves,5BeBfnubllFy69omQHNavT
Higher,Erik Grönwall,1,is,,My heart is taking over | The world is flashing by | You bet it all when your heart is on the line,5hVDznakebbR2mdmcbqoCI
Cobrastyle feat Mad Cobra,Teddybears,1,is,,My style is di bomb digi bom di-deng di-deng diggi-diggi,45sdD9GjryujVOcRJ4YQRQ
Wonderchild,Christian Walz,1,is,,"'Cause the wind is blowing hard, you see | Where we can love, I think there is a chance | Is this real or is it just a game?",1ijNH4JCOlLJz7ToxmjUeY
Cry for You,September,1,is,,"Forever and ever, life is now or never | I think the end is mine to write | (Forever and ever, life is now or never)",1mvZErZBp7WZT3HfGBykao
Baby Goodbye,EMD,1,is,,"But I can't go around pretending life is fine | This is the end, the picture is drawn | This is the end, that picture is drawn",4Vg4aicJ6wzbhdpDh1Nq8L
Alive,Da Buzz,1,is,,This is the feeling of my life | This is happening,2YAeOvFOFeWPst165ReDg5
Undressed,Kim Cesarion,1,is,,"Why is everything black and white? | Like my fucking head is full of dynamite | ""Hi, my name is | Another button and some more of you is showing | Hi, my name is (My name is)",0jQvysmjtBMRNjmHLe3gZK
You Got What I Want,Graaf,1,is,,I'm hoping he is a man of devotion,3KIUjBZoo13uUWBtbWcPCP
The Look,Roxette,1,is,,"Kissin' is a color, her lovin' is a wild dog | Lovin' is the ocean, and kissin' is the wet sand",0ZfM5XfJTtFPhOxAERRnNY
Hero,Charlotte Perrelli,1,is,,This is a story of love,55XpXSN77QyoudQmlg8j8q
Såklart feat Eye NI,Petter,1,is,,"The last thing we need is a loser like you reproducing | Your forehead is so big, it's not a forehead, it's a seven-head! | Your receded hairline is not attractive | Ah, what do you know? I'm sure I'll find some woman who will love me regardless of my receded hairline. Plus, I'm a vegan, and it's what's inside that counts. I'm a good person, I'm a vegan, I'm promoting veganism. And that's what's important, being kind, not hair. Hair isn't important in the grand scheme of things. Being kind is what is important!",3uELTbXsxWHgG4D0ORehKr
Karatefylla 20  Radio Version,Byz,1,öl,,"Säger killen som har tretton öl men däcka på tre | Dom gav mej nya öl, nya glas, nya shots | Och jag har ju faktiskt köpt öl som jag borde knäcka",7ADKspOjo3n2nC6azfWLZX
Knivhuggarrock  Radio Edit,Tomas Ledin,1,vatten,,"Högt över land, högt över vatten",38bqyFtEm3dozLeS55jVhG
All That She Wants,Ace of Base,1,is,,"All that she wants is another baby | All that she wants is another baby, yeah | So, if you are in sight and the day is right | It is a night for passion | Beware of what is flashing in her eyes | All that she wants is another baby, yeah (Is another baby, yeah) | All that she wants is another baby (Is another baby, yeah) | All that she wants is another baby (Is another baby)",6kWJvPfC4DgUpRsXKNa9z9
Do You Really Want Me show respect,Robyn,1,is,,"Taking is so easy, boys giving is unusual | Respect and love is the key, just listen to my song | 'Cause this is something every man should know | Oh, this is a lesson about how | Safe, it is how she wants to feel",6ecLksUk4lmy1WVw5i6yBZ
Istid,Honungsvägen,1,is,,Blir samma sak när vi täcks av is | Blir ingenting när vi täcks av is | Allt är täckt av is,466sCpPXWh5a5xmN6P7YO8
LEV MED MIG,SVM,1,is,,"This is, this is the life This is, this is the life",0FFmOv2xAdQHU9JR66hIze
Bara du och jag,Tove Styrke,1,is,,"This is my, this is my, this is my hot mess",5tcG3FB0zBKr6LAbw8rmF2
