name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Gamora,Hov1,1,bror,,"Allt ska va dyrt, bror, Balenciaga | Hon får en fucking G, bror, gå spränga in i Prada | Om hon möter på en gris, bror, hon svarar till dem nada",2Gd0oV24QsH0zb9nKFx7s5
Kan Inte Gå,Bolaget,1,vän,,"Jag minns inget från igår min vän, vad har du gett mig? | Jag minns inget från igår min vän, vad har du gett mig? | Jag minns inget från igår min vän, vad har du gett mig? | Jag minns inget från igår min vän, vad har du gett mig? | Jag minns inget från igår min vän, vad har du gett mig?",6KOzO2mUwSwe8a9GiJAn7X
Snook svett  tårar,Snook,2,"mamma, mamma",,,0Q74vFnksX7lUe8bhm5tGD
Sanna vänner,Carola,1,vän,,När du kom behövde jag en vän | Och en trofast vän är mera värd än guld | När du kom behövde jag en vän | Jag har fått en vän som jag kan lita på | När du kom behövde jag en vän | När du kom behövde jag en vän | När du kom behövde jag en vän | (När du kom behövde jag en vän) | När du kom behövde jag en vän,5AGXO3iao804D7WuOm0Lyl
Havanna Mamma,Veronica Maggio,1,man,"mamma, mamma, fru",Hon lämna man och barn och huset | Hon lämna man och barn och huset | Hon lämna man och barn och huset | Hon lämna man och barn och huset,7gybDAR6f9GVls39O1aYT2
Sju sorger,Veronica Maggio,1,vän,,Länge leve du min vän | Du kommer nog aldrig mer vara min vän | Du kommer nog aldrig mer vara min vän | Länge leve du min vän | Du kommer nog aldrig mer vara min vän,3jB5trbr0kQqQRkYr3M3u5
Mina områden,Kartellen,2,"mamma, mamma",son,Polarns mamma gömmer Systembolagspåsen | Polarns mamma gömmer Systembolagspåsen | Polarns mamma gömmer Systembolagspåsen | Polarns mamma gömmer Systembolagspåsen | Polarns mamma gömmer Systembolagspåsen | Polarns mamma gömmer Systembolagspåsen | Polarns mamma gömmer Systembolagspåsen | Polarns mamma gömmer Systembolagspåsen | Polarns mamma gömmer Systembolagspåsen | Polarns mamma gömmer Systembolagspåsen,1TFlvQ12TtF9nHmvXCaLpx
Sjön,Frida Hyvönen,2,"mamma, mamma","pappa, pappa",På altanen stod mamma | Och mamma sa: | När mamma ropade efter mig | På altanen stod mamma | Och mamma sa: | När mamma ropade efter mig,5CpILSRTZHzJfCioMK1Pvf
Himlen runt hörnet,Lisa Nilsson,1,ängel,gud,En egen ängel i en säng | En egen ängel i en säng | (En egen ängel i en säng) | Och en egen ängel i en säng | (En egen ängel i en säng) | Och en egen ängel i en säng,3uhF5EBcuqqXELlszBhIOy
Rullar fram,Fronda,1,ängel,vän,En ängel från himlen? Ja det undrar man | En ängel från himlen? Ja det undrar man | En ängel från himlen? Ja det undrar man | En ängel från himlen? Ja det undrar man | En ängel från himlen? Ja det undrar man | En ängel från himlen? Ja det undrar man | En ängel från himlen? Ja det undrar man | En ängel från himlen? Ja det undrar man,5v55pDsyrxIs6OTk3E5l69
Ju Mer Dom Spottar,Kapten Röd,1,vän,,"Håll hårt i din goda vän för där ute finns det gott om ormar | Håll hårt i din goda vän för där ute finns det gott om ormar | Nej, en god vän går fö-örst | Håll hårt i din goda vän för där ute finns det gott om ormar",3uVO0fpvKhuPCfGCAjJev0
