name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Försent,Hov1,1,två,,"För nu är det svårt att skriva låtar om oss två | Nu är det försent för oss två | Försent för oss två, jag kom försent för dig, åh | Jag tror jag kom försent, kom försent för oss två | En del av mig ska alltid hoppas att det blir vi två igen",1U49LNwMAgAwlLMQxeqWL6
I samma bil,Bo Kaspers Orkester,1,tusen,,"Tusen år och tusen mil | Kan jag åka tusen till | Tusen år och tusen mil, vi kan åka tusen till | Tusen år och tusen mil, vi kan åka tusen till | Tusen år och tusen mil, vi kan åka tusen till | Tusen år och tusen mil, vi kan åka tusen till | (Tusen år och tusen mil)",2qkma39oRZ0rzGkyE2gdHd
Sergels torg,Veronica Maggio,1,hundra,noll,Vad gör väl det om hundra år | Vad gör väl det om hundra år | (Vad gör väl det om hundra år?) | Vad gör väl det om hundra år?,48ubkDBO9GAFRkn3hXFHVt
Oss,RMK  Toppen,1,tusen,två,"Ljudet av, tusen slag, slår för du och jag | Ljudet av, tusen slag, slår för du och jag | Ljudet av, tusen slag, slår för du och jag | Ljudet av, tusen slag, slår för du och jag",5sIv5un0PeN7xriCGEn3rq
Ett steg fram,Junie,1,två,ett,"Och jag tar två steg bak | Och jag tar två steg bak | Och jag tar två steg bak | Och jag tar två steg bak | Och jag tar två steg bak, mm | Och jag tar två steg bak, mm | Och jag tar två steg bak (Ett steg bak) | Och jag tar två steg bak (Ja, ja, yeah, whoa)",2qnIZKUoJxwZjUbMqW2KYz
Pärlor,kent,1,ett,,"(Det är ett av skälen) | Ge dem ett finger och värm min hand | (I ett iskallt Ikea-land) | (Bara ett av skälen, ett av skälen) | (Ett av skälen, ett av skälen) | (Det är ett av skälen) | (Bara ett av skälen, ett av skälen)",5YCKObb1A7YIeOKzXhREwz
Gubben i lådan,Daniel AdamsRay,1,tusen,,För dig ska jag göra det tusen gånger om | För dig ska jag göra det tusen gånger om | För dig ska jag göra det tusen gånger om | För dig ska jag göra det tusen gånger om | För dig ska jag göra det tusen gånger om | För dig ska jag göra det tusen gånger om,08bjJuoHJwfTnjNcuENOFz
Dör för dig,Danny Saucedo,1,två,,"Rektors expeditionen, vi var i trubbel båda två | Vi två kommer alltid va så | Vi två kommer alltid bestå | Vi två kommer alltid va så | Vi två kommer alltid bestå",1J8teo08q8FlNWIJh9QFr3
Ligger med en ful feat Markus Krunegård,Little Jinder,1,fyra,,,4I4CvvN1DT1yhnbukLbsd7
100 ,Fattaru,1,hundra,"två, fem","En fet 12:a kostar hundra spänn | Tuben fram och tillbaka till stan kostar hundra spänn | In på klubben kostar hundra spänn | Två bärs i baren kostar hundra spänn | Fuck det, jag tjackar hundra släng | Inget går upp mot en hundra släng | Jag ringer till Nimo ”Har du hundra spänn?” | Ringer Habbe ”Har du hundra spänn?” | Vi skrapar, ringer *telefonpip*, ge mig hundra släng | Ge mig hundra släng | Ge mig hundra släng | Ge mig hundra släng | Ge mig hundra släng | Ge mig hundra släng | Ge mig hundra släng | Ge mig hundra släng | Ge mig hundra släng | Comviq kontant kostar hundra spänn | Snabbmat kostar nästan hundra spänn | Tuben fram och tllbaka till orten kostar hundra spänn | In på klubben kostar hundra spänn | Två bärs i baren kostar hundra spänn | Om du fixar ragg spara hundra spänn | Plocka svarttaxi säg bara hundra spänn | Har man inga cash blir man glad för hundra spänn | Bratsen spottar på hundra spänn | Du spelar Black Jack torskar hundra spänn | Vill du battla Mack satsa hundra spänn | Vill du höra fet rap kan det kosta hundra spänn | (M3) -Plattan kostar hundra spänn | Den är fet, den är som en hundra släng | Ibland är det värt när det kostar hundra spänn | Mitt liv känns typ som när man har hundra spänn | Allt jag har e hundra spänn | Allt säger hundra spänn, inga problem | Du får hundra släng... | Ge mig hundra släng | Ge mig hundra släng | Ge mig hundra släng | Ge mig hundra släng | Ge mig hundra släng | Ge mig hundra släng | Ge mig hundra släng | Ge mig hundra släng",3zBZNVuIm14Q3WOPxYLqa0
2 4 6 8 Bäverhojt  2 4 6 8 Motor Way,Pistvakt,6,"två, tre, fem, sex, sju, åtta",,"Eller tre, fem, sju, nie zingos | Eller tre, fem, sju, nie zingos | Eller tre, fem, sju, nie zingos | Eller tre, fem, sju, nie zingos | Eller tre, fem, sju, nie zingos | Eller tre, fem, sju, nie zingos | Eller tre, fem, sju, nie zingos | Eller tre, fem, sju, nie zingos | Eller tre, fem, sju, nie zingos | Eller tre, fem, sju, nie zingos | Två, fyr, sex, åtta Bäverhojt | Två, fyr, sex, åtta Bäverhojt | Två, fyr, sex, åtta Bäverhojt | Två, fyr, sex, åtta Bäverhojt | Två, fyr, sex, åtta Bäverhojt | Eller tre, fem, sju, nie zingos | Eller tre, fem, sju, nie zingos | Eller tre, fem, sju, nie zingos | Eller tre, fem, sju, nie zingos | Eller tre, fem, sju, nie zingos | Två, fyr, sex, åtta Bäverhojt | Två, fyr, sex, åtta Bäverhojt | Två, fyr, sex, åtta Bäverhojt | Två, fyr, sex, åtta Bäverhojt | Två, fyr, sex, åtta Bäverhojt",07xadss9HQVQ0g3C9iryRu
Forever Young,Thomas Stenström,1,två,,Vi är vackrast efter två | Och vi är vackrast efter två,0p5p2I8v2AfLrZuGteq25d
Hej hallå,Thomas Stenström,1,två,,Allting brinner under oss två | Allting brinner under oss två | Allting brinner under oss två | Allting brinnеr under oss två | Allting brinner under oss två | Allting brinner under oss två | Allting brinner under oss två | Allting brinner under oss två | Allting brinner under oss två | Allting brinner under oss två | Allting brinner under oss två | Allting brinner under oss två,6BT8CwzsMOi2FSIDa5zZwN
Sommar sommar sol,JLC,1,två,tusen,Det är bara vi två vi två | Ingen annan bara vi två vi två | Det är bara vi två vi två | Ingen annan bara vi två vi två,6yuG9MJgec1f18LA7fWJW0
4 sekunder,Magnus Uggla,1,fyra,,"Ja det tar fyra sekunder | På fyra sekunder går det i mina brallor | Älskling, fyra sekunder, underbart är kort. (Alldeles för kort) | På bara fyra sekunder ligger hon villig på fällen | På fyra sekunder kilar det i flanellen | Älskling, fyra sekunder, underbart är kort | På bara fyra sekunder ligger hon nära | På fyra sekunder blir det då",2h8uwSS8sOw1WTTi2HALpN
Husvagn,Galenskaparna  After Shave,1,fem,,Fem minuter Falsterbo och fem minuter Koster | Fem minuter Flen och Hjo och fem minuter Kloster | Fem minuter Örebro och fem minuter fjäll | Fem minuter Stockholm stad och fem minuter skärgård | Fem minuter sol och bad och fem minuter herrgård,7rbwpXPzDkbzxFb9PQY8XN
Vingar,Mikael Rickfors,1,tusen,,Och när jag har flugit tusen mil | Ska jag flyga tusen till | Och när jag har flugit tusen mil | Så ska jag flyga tusen till,3ng7C6llxYZDBefPfbaDUt
Tillfälligheter  Hungry Hearts  Mashup,Nause,1,tre,,Klockan är tre så bara säg vad du heter | Klockan är tre så bara säg vad du heter | Klockan är tre så bara säg vad du heter | Klockan är tre så bara säg vad du heter | Klockan är tre så bara säg vad du heter,2BCskl15k3IkQmj2YTYk2b
