name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Svag,Victor Leksell,1,rum,land,Men jag kan inte va i samma rum som dig | Nu vill jag bara va i samma rum som dig,4SS4YfDAEQG0fZAe1xfgn3
Jag ljuger så bra,Linda Bengtzing,1,säng,,Och sover lugnt i min säng | Har min tidning ifred och en säng som är bred,4IV8dOSLi26stONnuQg8Kf
Genom Eld  Vatten,Sarek,1,rum,land,"Genom tid och rum, ja, alla mina dagar ska du få",4wLWZx74WHOosQq5p8VVkL
När vindarna viskar mitt namn,Roger Pontare,1,land,,Ge mig kraft att försvara mitt land | Aldrig sviker jag mitt land,6NfqYh7rujA0HOLhYhJTSJ
Stockholm i mitt hjärta,Lasse Berghagen,2,"stad, stad",,"Öarnas stad, det är du! | Är du den stad som fått allt",234PnxGS83ve7Rqzdytp8p
Om,Niklas Strömstedt,1,land,,Om du var ett regn hade jag vart hav och land | Om du var ett regn hade jag vart hav och land (Na-na-na-na-na),3tgDP0BTRP10i4HkLlAER3
Himlen runt hörnet,Lisa Nilsson,1,säng,,En egen ängel i en säng | (En egen ängel i en säng) | Och en egen ängel i en säng,3uhF5EBcuqqXELlszBhIOy
DoverCalais,Style,1,land,,"Vi såg på varann, och vi närmade oss land | När båten stilla lämnade land | För vi såg på varann, och vi närmade oss land",6eWs5GR8iLbolcOjj3gKjx
Delirium,Lena Philipsson,1,rum,värld,"Jag skaffar mig ett annat liv i mitt rum | Jag gör vad ingen annan vet i mitt rum | (Jag lever i delirium, jag lever bara i mitt rum) | Jag lever i delirium jag lever bara i mitt rum | Jag lever bara i mitt rum",4FQ4m9whOZuTc205hI8WDa
Vågorna,Uno Svenningsson,1,himmel,rum,"Under bar himmel seglar jag | Helt plötsligt fanns en jord, en himmel blå",6mPvmqLqpQPgYAfUFKcMeX
Knivhuggarrock  Radio Edit,Tomas Ledin,1,land,,"Högt över land, högt över vatten | I ett land där åsikt kontrolleras",38bqyFtEm3dozLeS55jVhG
Amelia,Tommy Nilsson,1,rum,land,Du ska finna vägarna genom alla mörka rum | Låt oss följa vägarna genom alla mörka rum,7jVkrMvBXc76uRJ0IsCoNk
Skriker mitt namn,Victor Leksell,2,"stad, stad",rum,Stad till stad,3jGTLWpILJexFMVibAjij9
Du och jag,Olle Ljungström,1,värld,,Vi har en värld som vi kan dela | Vi har en värld som vi kan stjäla | Jag är den värld som du ska hela,4VLlfEjClROwj1YmU1jHjd
Högt över havet,Arja Saijonmaa,1,land,,Högt över havet och bort emot land,4J5KXnvaoSPa7yHrsNnqda
Hur lyckliga kan vi bli,Emil Jensen,1,land,himmel,Vi byggde ett land av korthus,7ftNFx5BSS6UCljUrn7iME
Hälsingland,Tomas Andersson Wij,1,land,,"Hälsingland, du farsans land | Du morsans land | Hälsingland, mitt eget land",2t4Ooh67vvQWNq7ycGivox
Små lätta moln,Pugh Rogefeldt,1,himmel,"stad, stad",Ser jag på din himmel | Din himmel som är blå | Din himmel så blå,10VH7UmhotAdusUPc1KAsH
När jag ser dig,Hov1,2,"stad, stad",,Men alltid vetat vår stad är för liten för oss båda två men | Och flytta ut din nittiosäng till annan stad | Vår stad är för liten för oss båda två men,5WBaMuA6gMy90SZXyS4Yz0
Vindar på Mars,Hov1,2,"stad, stad",värld,"Har letat efter dig i varje bar, varje sommar, varje stad jag besöker ibland",1OZaXbFDU6QxtyaD6elsKs
Timme som minut,Oskar Häggström,1,rum,,Och varje gång vi står i samma rum så känns varenda timme som minut | Och varje gång vi stod i samma rum så kändes varje timme som minut | För varje gång vi stod i samma rum så kändes varje timme som minut,5olmKzQvyxkjzcP98L9jt8
Hand i hand,Magnus Uggla,1,land,rum,Vårt budskap gick från land till land | Hand i hand vårt budskap gick från land till land,49x5dwXyg9faxE5C3w4liZ
