name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Ingen kommer sörja när du dör,Ida Redig,1,fan,,Du vet för fan vad jag kan ta mig an | Men ingen får dig för fan | Men ingen får dig för fan | Men ingen får dig för fan | Men ingen får dig för fan,4QkiVyRAKe4CSXZXC2eBh8
Vadfanärdetmedmig,Nadja Evelina,1,fan,,Vad fan är det med mig? | Vad fan är det med mig? | Vad fan är det med dig? (Vad fan är det med dig?) | Vad fan är det med mig? | Vad fan är det med mig? | Vad fan är det med mig? | Vad fan är det med mig?,3GVh6i812Qj0INRuj5JNW3
Fanfanfan,Thåström,1,fan,,"Fan, fan, fan, det skulle vart du | Fan, fan, fan, det skulle vart du | Fan, fan, fan, det skulle vart du | Fan, fan, fan, det skulle vart du | Fan, fan, fan, det skulle vart du | Fan, fan, fan, det skulle vart du | Fan, fan, fan, det skulle vart du",4FaC6xFPuSEglkYUqdcACA
Rara söta Anna,Ronny  Ragge,1,fan,skit,"Nämen vad fan Ragge vad är det me na' | Jag vet fan inte Ronny | Va fan vadå rostig, en fårrd, fattar du | Nä va' fan | Va fan! Det är ju snyggt med häng Va' fan! | Det e' ju det som ger mannen sexuality fan | Då kan man knäcka extra som brevlåda fan | Ja, det e' re', Äh fan Ronny | För där är pöken kåta fan | Aaa Det har du fan rätt i",09o8YE3Ta7YRXh5NI9HPZQ
Ingen annan rör mig som du,Norlie  KKV,1,fan,,"Nu står vi här, hur fan gör vi nu? | Nu står vi här, hur fan gör vi nu? | Nu står vi här, hur fan gör vi nu? | Nu står vi här, hur fan gör vi nu?",25V8NDi9if73rYvHwDKKw5
HKF Håll käften  försvinn,Myra Granberg,1,fan,jävel,,2YjWAJEES4VMcwoOWvqk08
Jag orkar inte mer,Markoolio,1,skit,fan,Maten smakar skit jag känner mig så klen | Maten smakar skit jag knner mig s klen | Maten smakar skit jag knner mig s klen | Maten smakar skit jag knner mej s klen | Maten smakar skit jag knner mej s klen,0T51GzrPjiYd9rCJHomzJe
Mer för varandra,Norlie  KKV,1,skit,,Vi bara snackar skit men du vet vad jag menar | Vi bara snackar skit men du vet vad jag menar | Vi bara snackar skit men du vet vad jag menar | Vi bara snackar skit men du vet vad jag menar | Vi bara snackar skit men du vet vad jag menar,5GC6b6Ukc7PfwG8VfYO3ar
Karatefylla 20  Radio Version,Byz,1,svin,fan,Jag var ett svin mot er | Jag var ett svin mot er | Jag var ett svin mot er | Jag var ett svin mot er,7ADKspOjo3n2nC6azfWLZX
En runda till,John De Sohn,1,fan,,Drick vad fan du vill | Drick vad fan du vill | Drick vad fan du vill | Drick vad fan du vill,6dJc9S96pAZdwA2gSr4dD8
Vinden har vänt,Petter,1,skit,fan,"På all skit som har hänt | På all skit som har hänt | Går upp på scen, rippar skit på en stenhård beat | På all skit som har hänt | På all skit som har hänt | På all skit som har hänt | På all skit som har hänt",1RumnunzRSwsoQAfBlIxHz
INGET E SAMMA,Reyn,1,fan,,"Som jag bodde norrut, fan, december kommer snabbt, hey | Vill ha din love, ha dig back, fan, jag önska det var vi | Knulla psykologen, fan, vill inte ha några tips | Vill ha din love, ha dig back, fan jag önska det var vi",13aLtHCE3vPPDCct3nz6Iz
Jack  Coke,Miss Li,1,fan,,"Vad fan, vad fan? | Vad fan, vad fan? | Vart fan är mina vänner, måste hitta någon jag känner nu | Vad fan, vad fan? | Vad fan, vad fan? | Vart fan är mina vänner, måste hitta någon jag känner nu | Vart fan har jag min telefon?",3zXXeMCgfZKj7OHEzoCuqh
Hög standard,Peps Blodsband,1,fan,skit,Vad fan är hög standard? | Vad fan är hög standard? | Vad fan är hög standard? (Hög standard) | Vad fan är hög standard? (hög standard) | Vad fan är hög standard? (hög standard) | Vad fan är hög standard? (hög standard) | Vad fan är hög standard? (hög standard) | Vad fan är hög standard? (hög standard),14cGnZZ9Cg3y8VLhVtavXe
