name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Försent,Hov1,1,aldrig,"år, alltid","Sommarnätterna korta jag hoppas aldrig de tar slut | Fuck allt vi aldrig blev | Du stod och vänta i entrén, men jag gick aldrig tillbaks | Jag kom sent, men jag har aldrig varit i tid",1U49LNwMAgAwlLMQxeqWL6
Musik Non Stop,kent,1,aldrig,sekund,Har aldrig träffat nån som du,3vWDO1RBKS8Ce4lfr3n6v3
Trädgården en fredag,Veronica Maggio,1,dag,fredag,"Natten blir dag, men alla står kvar | Tills natten blir dag",1oFoY6INRnHIpHY6ssPxBm
Egoist,kent,1,aldrig,,Och vi ska aldrig bli som ni | För vi ska aldrig bli som ni | Vi ska aldrig bli som ni,6ZZA5LtiMyhmo4jU3oldOZ
Gjord av sten,Veronica Maggio,1,alltid,aldrig,Och jag stannar alltid kvar för jag är ändå gjord av sten | Jag vill tro att alla inte alltid måste växa upp | Att jag alltid ångrar om och om igen,0jrcxfpLNXhbMGsHT0YkW8
Över taken,Llojd,1,aldrig,,Börjar känna saker som jag aldrig aldrig | Lära känna hennes vänner som jag aldrig,4InxQl68oxKhxZfPg2Igjf
I samma bil,Bo Kaspers Orkester,1,år,sekund,"Tusen år och tusen mil | Tusen år och tusen mil, vi kan åka tusen till | (Tusen år och tusen mil)",2qkma39oRZ0rzGkyE2gdHd
Snook svett  tårar,Snook,1,år,idag,"Några år innan dess, ja, då landa' ett plan | Och samma år tog vi vårt hiphop-award | Och vilka förutom dubbel-O K har gjort det? Vi är kungar i år! | Tio år från 2006 är i våran tid lika med 2026",0Q74vFnksX7lUe8bhm5tGD
Var är vi nu  Alternativ Version,kent,1,idag,"vår, år, alltid",Så var är vi nu idag | Så var är vi nu idag...,17RoeP6xkg7KmrdSqwgVzN
Satan i gatan,Veronica Maggio,1,aldrig,dag,"Men aldrig, aldrig | Aldrig, aldrig | Men jag glömmer aldrig bort vad du gjort | För jag glömmer aldrig bort var du bor | Nej, jag glömmer aldrig bort vad du gjort | Nej, jag glömmer aldrig bort vad du gjort, nej | Nej, jag glömmer aldrig bort vad du | Nej jag glömmer aldrig bort vad du gjort",3q8WojYJVZsGClFGFBYdTc
Musik Non Stop  Spotify Singles,Felicia Takman,1,aldrig,sekund,Har aldrig träffat nån som du,6SNLVpwJXem00Ku9XizbPA
