name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Om,Niklas Strömstedt,2,"regn, hav",,Om du var ett regn hade jag vart hav och land | Om du var ett regn hade jag vart hav och land (Na-na-na-na-na) | Om du var ett hav vore jag en våg,3tgDP0BTRP10i4HkLlAER3
Never Let It Go,AfroDite,1,is,,And when the night is over | And my mind is high up above,28ihA2Fp5zRmcmi8hpfWiC
Sensuella Isabella,Tomas Ledin,1,ljus,,"Släck alla ljus, tänd på min kropp",3gix2z7XVD0siCCBf37A4X
Lush Life,Zara Larsson,1,is,,What matters is now | Second time is one too late,1rIKgCH4H52lrvDcz50hS8
Step Up,Darin,1,is,,Tonight is the start of something new | Tonight is on (Woo) | The crowd is reflecting our moves,5BeBfnubllFy69omQHNavT
Higher,Erik Grönwall,1,is,,My heart is taking over | The world is flashing by | You bet it all when your heart is on the line,5hVDznakebbR2mdmcbqoCI
Cobrastyle feat Mad Cobra,Teddybears,1,is,,My style is di bomb digi bom di-deng di-deng diggi-diggi,45sdD9GjryujVOcRJ4YQRQ
Wonderchild,Christian Walz,1,is,,"'Cause the wind is blowing hard, you see | Where we can love, I think there is a chance | Is this real or is it just a game?",1ijNH4JCOlLJz7ToxmjUeY
Cry for You,September,1,is,,"Forever and ever, life is now or never | I think the end is mine to write | (Forever and ever, life is now or never)",1mvZErZBp7WZT3HfGBykao
Baby Goodbye,EMD,1,is,,"But I can't go around pretending life is fine | This is the end, the picture is drawn | This is the end, that picture is drawn",4Vg4aicJ6wzbhdpDh1Nq8L
Alive,Da Buzz,1,is,,This is the feeling of my life | This is happening,2YAeOvFOFeWPst165ReDg5
Undressed,Kim Cesarion,1,is,,"Why is everything black and white? | Like my fucking head is full of dynamite | ""Hi, my name is | Another button and some more of you is showing | Hi, my name is (My name is)",0jQvysmjtBMRNjmHLe3gZK
Vågorna,Uno Svenningsson,1,himmel,jord,"Under bar himmel seglar jag | Helt plötsligt fanns en jord, en himmel blå",6mPvmqLqpQPgYAfUFKcMeX
You Got What I Want,Graaf,1,is,,I'm hoping he is a man of devotion,3KIUjBZoo13uUWBtbWcPCP
Toppen av ett berg,Petter,1,eld,"berg, sand","Ge mig lite eld, eld, eld så brinner jag",2N7claLHWD1ypZARTJNtjI
The Look,Roxette,1,is,sand,"Kissin' is a color, her lovin' is a wild dog | Lovin' is the ocean, and kissin' is the wet sand",0ZfM5XfJTtFPhOxAERRnNY
Hero,Charlotte Perrelli,1,is,,This is a story of love,55XpXSN77QyoudQmlg8j8q
Såklart feat Eye NI,Petter,1,is,,"The last thing we need is a loser like you reproducing | Your forehead is so big, it's not a forehead, it's a seven-head! | Your receded hairline is not attractive | Ah, what do you know? I'm sure I'll find some woman who will love me regardless of my receded hairline. Plus, I'm a vegan, and it's what's inside that counts. I'm a good person, I'm a vegan, I'm promoting veganism. And that's what's important, being kind, not hair. Hair isn't important in the grand scheme of things. Being kind is what is important!",3uELTbXsxWHgG4D0ORehKr
Rytmen av ett regn,Millas Mirakel,1,eld,regn,Bättre tända livets eld än att aldrig få va sig själv,70qifmOGYqU1IzRlA44Ovv
All That She Wants,Ace of Base,1,is,,"All that she wants is another baby | All that she wants is another baby, yeah | So, if you are in sight and the day is right | It is a night for passion | Beware of what is flashing in her eyes | All that she wants is another baby, yeah (Is another baby, yeah) | All that she wants is another baby (Is another baby, yeah) | All that she wants is another baby (Is another baby)",6kWJvPfC4DgUpRsXKNa9z9
Do You Really Want Me show respect,Robyn,1,is,,"Taking is so easy, boys giving is unusual | Respect and love is the key, just listen to my song | 'Cause this is something every man should know | Oh, this is a lesson about how | Safe, it is how she wants to feel",6ecLksUk4lmy1WVw5i6yBZ
Klär av dig,Victor Leksell,1,moln,,Vi kan sväva på moln | Sväva på moln,2YdXecjfECHt5P7bv8XVA6
Supa Sova Sex  Likes,Elov  Beny,1,moln,is,Kom ta mig härifrån så svävar vi på rosa moln,5iYSNBBwdylVJpWT6cWhQ9
Nära dig,Anna Ternheim,1,moln,,Vinden i håret under himlar utan moln | Jag har mitt eget svarta moln,7iqKOoVK1vSUMbQ6WFdTDK
Lys på mig,Victor Leksell,1,hav,,Mellan Karlatorn och Betels hav | Mellan Karlatorn och Bеtels hav,3kbNesyQPnUreP6bD7aADS
