Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Kalorier & kokain","Hov1","Jag önskar jag brydde mig mer... men det gör jag egentligen","Swedish","Playlist","SE7N92400014","4GVknQFMoAQiih18N9itGG"
"Nåt i vattnet","Hov1","Nåt i vattnet","Swedish","Playlist","SEUM72201376","7dIHE7NhkIDUAKDPOtjLGa"
"Försent","Hov1","Jag önskar jag brydde mig mer... men det gör jag egentligen","Swedish","Playlist","SE7N92400006","1U49LNwMAgAwlLMQxeqWL6"
"Vi sitter i Ventrilo och Spelar DotA","Basshunter","DotA","Swedish","Playlist","SEPQA0650981","29BLha9wij5tpUtoOpxy49"
"Gamora","Hov1","Barn av vår tid","Swedish","Playlist","SEUM72100196","2Gd0oV24QsH0zb9nKFx7s5"
"Kärleken väntar","kent","Vapen & ammunition","Swedish","Playlist","SEBMC0219060","6jvqpOz4CrGUIk7d5iaI7i"
"Främling","Carola","Främling 25 år","Swedish","Playlist","SEBMI8351010","17zFOtbuquEAAxSttpfWWl"
"Jag kommer","Veronica Maggio","Satan i gatan (Bonus Version)","Swedish","Playlist","SEUM71100165","5M2y8QdDepGYMsWyxhoxQU"
"Musik Non Stop","kent","Hagnesta Hill","Swedish","Playlist","SEBMC9961010","3vWDO1RBKS8Ce4lfr3n6v3"
"Kan Inte Gå","Bolaget","Kan Inte Gå","Swedish","Playlist","SE5S62109301","6KOzO2mUwSwe8a9GiJAn7X"
"Långt bort härifrån","Hov1","Långt bort härifrån","Swedish","Playlist","SEUM72001385","7MS6BDazrQAzyMCrCvkUmJ"
"Ikväll Igen","Bolaget","Ikväll Igen","Swedish","Playlist","SE69R2300001","4o5Ob60pz8QHcFKcr4MWyf"
"Välkommen in","Veronica Maggio","Satan i gatan (Bonus Version)","Swedish","Playlist","SEUM71100344","5MEuFY2DxrozPEgGpR8Fji"
"När vi två blir en","Gyllene Tider","Moderna Tider","Swedish","Playlist","SEAME0400037","2EKzS2s2VKnbQ7jxyk2WHi"
"Sommartider","Gyllene Tider","Puls","Swedish","Playlist","SEAME0400058","1d1BeKPNgaQ36wcxGqnfU3"
"Trädgården en fredag","Veronica Maggio","Handen i fickan fast jag bryr mig","Swedish","Playlist","SEUM71301694","1oFoY6INRnHIpHY6ssPxBm"
"Töntarna","kent","Röd","Swedish","Playlist","SEBMC0900034","6obXvjVF91KAeLNDOECFvi"
"Debut","Oskar Linnros","Vilja Bli","Swedish","Playlist","SEUM71000263","1pz5OQpD60mtOyqX3fDf78"
"Radioaktivitet (Ny version)","Emil Jensen","Om du inte står för något faller du för allt (Samlade låtar)","Swedish","Playlist","SEVUE1301502","141afKGhPmUowc0FRDO9Xt"
"Egoist","kent","Egoist","Swedish","Playlist","SEBMC1600017","6ZZA5LtiMyhmo4jU3oldOZ"
"Ingen kommer sörja när du dör","Ida Redig","Ingen kommer sörja när du dör","Swedish","Playlist","SEUM71600647","4QkiVyRAKe4CSXZXC2eBh8"
"Ben kött & känsler","Markus Krunegård","Ben kött & känsler","Swedish","Playlist","SE5BU1712956","48EtV8RCG9i7P8CWGrUWj4"
"Början av filmen","Navid Modiri & Gudarna","Ska du verkligen skjuta ner månen med den där?","Swedish","Playlist","SEVQI1303307","3uTtjYv2xMBRiYlAPTFxlm"
"Verkligheten","Veronica Maggio","Den första är alltid gratis","Swedish","Playlist","SEUM71600620","0ndLVZeY2xxbsphiUIK3JF"
"Bäst","Oskar Linnros","Väntar","Swedish","Playlist","SEUM71700334","1KZisUrtRpcafagqjIqwDG"
"Förlåtelsen","kent","Då Som Nu För Alltid","Swedish","Playlist","SEBMC1600007","4lgFAspCCj6QFU5Pk985kR"
"70/30","Llojd","70/30","Swedish","Playlist","SEPEL1403401","3dSTxalZlGK6KafgzrnkQ0"
"Sommaren står o väger","Markus Krunegård","Lev som en gris dö som en hund","Swedish","Playlist","SEUM70900704","6JuOvRMIOKE7aVuzKDd1Lc"
"Gör inget dumt nu","Jonas Bergsten","Ska vinna en miljon inatt","Swedish","Playlist","SENAA1502602","6FYqwoodmgGXrZ26ROrL2Y"
"Drömmen har sagt sitt","Klara Keller","Drömmen har sagt sitt - Single","Swedish","Playlist","SE3OH1504025","4ti4WMgTHrusCrug8kfedk"
"Ayahuasca","Veronica Maggio","Den första är alltid gratis","Swedish","Playlist","SEUM71600617","4pyHldZW3x2kdpmLKkifgI"
"En delad värld","Love Antell","En delad värld","Swedish","Playlist","SEVGT1500102","7JsZeNEpTxrnf2DdqZsUNq"
"Gjord av sten","Veronica Maggio","Den första är alltid gratis","Swedish","Playlist","SEUM71600601","0jrcxfpLNXhbMGsHT0YkW8"
"Över taken","Llojd","Jag kommer älska mitt liv snart","Swedish","Playlist","SEUM71501151","4InxQl68oxKhxZfPg2Igjf"
"I samma bil","Bo Kaspers Orkester","Så mycket Bo Kaspers Orkester","Swedish","Playlist","SEBGA0600510","2qkma39oRZ0rzGkyE2gdHd"
"Vi forever","Nadja Evelina","Aska, glitter och annat som försvinner med vinden","Swedish","Playlist","SE6AA2100301","0A87PX84ZzC3r1JwWDGFNH"
"För er","Daniel Adams-Ray","För er","Swedish","Playlist","SEUM71601042","1ih6Frm9HIWo9xYjDXKF7K"
"Ålen","Amason","Ålen","Swedish","Playlist","SE3EM1400101","29VkJ1UHrhjKaSlPRnSsK6"
"Nattpojken & Dagflickan (feat. Anna Ternheim)","kent","Då Som Nu För Alltid","Swedish","Playlist","SEBMC1600005","4qx4LtQrMBRyy7oozNZuQ2"
"Tråkigt liv","Adam Chiapponi","Tråkigt liv","Swedish","Playlist","SE3OH1520036","5qEy9Nab5s0dqUwzYxnrb2"
"Snook, svett & tårar","Snook","Är","Swedish","Playlist","SEVJH0600903","0Q74vFnksX7lUe8bhm5tGD"
"Alla vill till himmelen men ingen vill dö","Timbuktu","Alla vill till himmelen men ingen vill dö","Swedish","Playlist","SEVLE0400401","6I1kZgg3bGrPKxhZOltbRW"
"Var är vi nu? - Alternativ Version","kent","Var är vi nu? (Alternativ Version)","Swedish","Playlist","SEUM71401239","17RoeP6xkg7KmrdSqwgVzN"
"Satan i gatan","Veronica Maggio","Satan i gatan (Bonus Version)","Swedish","Playlist","SEUM71100167","3q8WojYJVZsGClFGFBYdTc"
"Brinner för ikväll","Roos","Brinner för ikväll","Swedish","Playlist","SEWGI1527001","4wBbFYWkFVeVV1bAZxCLE3"
"Vadfanärdetmedmig","Nadja Evelina","Aska, glitter och annat som försvinner med vinden","Swedish","Playlist","SE6AA2100201","3GVh6i812Qj0INRuj5JNW3"
"Aldrig Bli Som Förr","Laleh","Kristaller","Swedish","Playlist","USUM71608281","6tzMayfma0grBj04CuvaQq"
"Lev fort","Llojd","Jag kommer älska mitt liv snart","Swedish","Playlist","SEUM71600113","7j1O1RQPGTzAxQ1pbBTgde"
