Name,Artist,Total_Matches,Found_Words,Matched_Lines,Link
Kiss from a Rose,Seal,13,"grey, grey, grey, grey, grey, grey, grey, grey, grey, grey, grey, grey, grey","[grey] Baby, I compare you to a kiss from a rose on the grey | [grey] A light hits the gloom on the grey | [grey] Baby, I compare you to a kiss from a rose on the grey | [grey] A light hits the gloom on the grey | [grey] I've been kissed by a rose on the grey | [grey] I, I've been kissed by a rose on the grey | [grey] I've (And if I should fall, will it all go away?) been kissed by a rose on the grey | [grey] I, I've been kissed by a rose on the grey | [grey] Baby, I compare you to a kiss from a rose on the grey | [grey] A light hits the gloom on the grey | [grey] Yes, I compare you to a kiss from a rose on the grey | [grey] A light hits the gloom on the grey | [grey] A light hits the gloom on the grey",https://open.spotify.com/track/3YKptz29AsOlm7WAVnztBh
"Paint It, Black",The Rolling Stones,12,"black, black, black, black, black, black, black, black, black, black, black, black","[black] I see a red door and I want it painted black | [black] No colours anymore, I want them to turn black | [black] I see a line of cars and they're all painted black | [black] I look inside myself and see my heart is black | [black] I see my red door, I must have it painted black | [black] It's not easy facing up when your whole world is black | [black] I see a red door and I want it painted black | [black] No colours anymore, I want them to turn black | [black] I wanna see it painted, painted black | [black] Black as night, black as coal | [black] Painted black, yeah",https://open.spotify.com/track/63T7DJ1AFDD6Bn8VzG6JE8
Lemon Tree,Fools Garden,6,"blue, blue, blue, blue, blue, blue","[blue] Yesterday, you told me 'bout the blue, blue sky | [blue] Yesterday, you told me 'bout the blue, blue sky | [blue] Yesterday, you told me 'bout the blue, blue sky",https://open.spotify.com/track/1yr9HpAu3prvxmq783ZELn
Sweet Home Alabama,Lynyrd Skynyrd,5,"blue, blue, blue, blue, blue",[blue] Where the skies are so blue | [blue] Where the skies are so blue | [blue] They pick me up when I'm feelin' blue | [blue] Where the skies are so blue | [blue] Where the skies are so blue (And the governor's true),https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg
Mr. Jones,Counting Crows,4,"gray, gray, gray, gray","[gray] Paint myself in blue and red and black and gray | [gray] Yeah, well, you know gray is my favorite color | [gray] I would buy myself a gray guitar and play | [gray] I bought myself a gray guitar",https://open.spotify.com/track/5DiXcVovI0FcY2s0icWWUu
Back In Black,AC/DC,9,"black, black, black, black, black, black, black, black, black","[black] Back in black, I hit the sack | [black] Well, I'm back in black | [black] Yes, I'm back in black | [black] Well, I'm back in black | [black] Yes, I'm back in black | [black] Well, I'm back in black | [black] Yes, I'm back in black, ow | [black] It's back in black | [black] Yes, I'm back in black",https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj
Yellow,Coldplay,5,"yellow, yellow, yellow, yellow, yellow","[yellow] Yeah, they were all yellow | [yellow] And it was called ""Yellow"" | [yellow] And it was all yellow | [yellow] 'Cause you were all yellow | [yellow] And it was all yellow",https://open.spotify.com/track/3e0wYnFxkqinmtXebYPMSt
Black or White,Michael Jackson,19,"black, black, black, black, black, black, black, black, black, white, white, white, white, white, white, white, white, white, white","[black] It don't matter if you're black or white, ooh | [black] It don't matter if you're black or white, hoo | [black] It don't matter if you're black or white | [black] It don't matter if you're black or white | [black] It don't matter if you're black or white | [black] It's black, it's white | [black] It's black, it's white, hoo (It's white, ooh-ooh) | [black] It's black, it's white | [black] It's black, it's white, hoo | [white] It don't matter if you're black or white, ooh | [white] It don't matter if you're black or white, hoo | [white] It don't matter if you're black or white | [white] It don't matter if you're black or white | [white] It don't matter if you're black or white | [white] It's black, it's white | [white] It's black, it's white, hoo (It's white, ooh-ooh) | [white] It's black, it's white | [white] It's black, it's white, hoo",https://open.spotify.com/track/7EsjkelQuoUlJXEw7SeVV4
Grace Kelly,MIKA,20,"blue, blue, blue, blue, green, green, green, green, purple, purple, purple, purple, brown, brown, brown, brown, violet, violet, violet, violet","[blue] I could be brown, I could be blue | [blue] I could be brown, I could be blue | [blue] I could be brown, I could be blue | [blue] I could be brown, I could be blue | [green] Gotta be green, gotta be mean | [green] Gotta be green, gotta be mean | [green] Gotta be green, gotta be mean | [green] Gotta be green, gotta be mean | [purple] I could be hurtful, I could be purple | [purple] I could be hurtful, I could be purple | [purple] I could be hurtful, I could be purple | [purple] I could be hurtful, I could be purple | [brown] I could be brown, I could be blue | [brown] I could be brown, I could be blue | [brown] I could be brown, I could be blue | [brown] I could be brown, I could be blue | [violet] I could be violet sky | [violet] I could be violet sky | [violet] I could be violet sky | [violet] I could be violet sky",https://open.spotify.com/track/2SDx0PooHZI1SQKR0y44bs
Back To Black,Amy Winehouse,9,"black, black, black, black, black, black, black, black, black","[black] I'll go back to black | [black] Black, black, black, black | [black] Black, black, black | [black] And I go back to black",https://open.spotify.com/track/3FAclTFfvUuQYnEsptbK8w
