Name,Artist,Total_Matches,Found_Words,Matched_Lines,Link
Killing Me Softly With His Song,Fugees,5,"jean, jean, jean, jean, jean",[jean] [Ad-libs: Wyclef Jean & Lauryn Hill] | [jean] [Chorus: Lauryn Hill & Wyclef Jean] | [jean] [Chorus: Lauryn Hill & Wyclef Jean] | [jean] [Interlude: Wyclef Jean] | [jean] [Outro: Wyclef Jean & Lauryn Hill],https://open.spotify.com/track/0Q0IVlqMV64kNLlwjPj0Hl
I Want It All - Single Version,Queen,4,"john, john, john, john","[john] [Chorus: Freddie Mercury, Roger Taylor, John Deacon & Brian May] | [john] [Chorus: Freddie Mercury, John Deacon, Roger Taylor & Brian May] | [john] [Chorus: John Deacon, Brian May, Freddie Mercury & Roger Taylor] | [john] [Outro: Freddie Mercury, Roger Taylor, Brian May & John Deacon]",https://open.spotify.com/track/1gBNoqhVLbIMuBQmXKmyLj
Under Pressure,Queen,6,"david, david, david, david, david, david",[david] [Verse 1: David Bowie & Freddie Mercury] | [david] [Chorus: David Bowie & Freddie Mercury] | [david] [Interlude: Freddie Mercury & David Bowie] | [david] [Chorus: David Bowie & Freddie Mercury] | [david] [Bridge: David Bowie & Freddie Mercury] | [david] [Outro: David Bowie],https://open.spotify.com/track/5oidljiMjeJTWUGZ4TfFea
Don't Go Breaking My Heart,Elton John,8,"john, john, john, john, john, john, john, john","[john] “Both Elton and I were big fans of those duets on Motown by Marvin Gaye and Tammi Terrell and there hadn’t been any around for a… Read More [Verse 1: Elton John & Kiki Dee] | [john] [Pre-Chorus: Both, Elton John, Kiki Dee] | [john] [Chorus: Elton John, Kiki Dee, Both] | [john] [Verse 2: Elton John & Kiki Dee] | [john] [Pre-Chorus: Both, Elton John, Kiki Dee] | [john] [Chorus: Elton John, Kiki Dee, Both] | [john] [Pre-Chorus: Both, Elton John, Kiki Dee] | [john] [Chorus: Elton John & Kiki Dee]",https://open.spotify.com/track/7HW5WIw7ZgZORCzUxv5gW5
Hit the Road Jack,Ray Charles,12,"jack, jack, jack, jack, jack, jack, jack, jack, jack, jack, jack, jack","[jack] Hit the road, Jack, and don't ya come back | [jack] Hit the road, Jack, and don't ya come back no more | [jack] Hit the road, Jack, and don't ya come back | [jack] Hit the road, Jack, and don't ya come back no more | [jack] Hit the road, Jack, and don't ya come back | [jack] Hit the road, Jack, and don't ya come back no more | [jack] Hit the road, Jack, and don't ya come back | [jack] Hit the road, Jack, and don't ya come back no more | [jack] Hit the road, Jack, and don't ya come back | [jack] Hit the road, Jack, and don't ya come back no more | [jack] Hit the road, Jack, and don't ya come back | [jack] Hit the road, Jack, and don't ya come back no more",https://open.spotify.com/track/5dUMh0ugelpKfoFp3qChuK
"Ob-La-Di, Ob-La-Da - Remastered",The Beatles,15,"desmond, desmond, desmond, desmond, desmond, desmond, desmond, molly, molly, molly, molly, molly, molly, molly, molly","[desmond] Desmond has a barrow in the marketplace | [desmond] Desmond says to Molly, “Girl, I like your face” | [desmond] Desmond takes a trolley to the jeweler's store | [desmond] Of Desmond and Molly Jones | [desmond] Desmond lets the children lend a hand | [desmond] Of Desmond and Molly Jones | [desmond] Desmond lets the children lend a hand | [molly] Molly is the singer in a band | [molly] Desmond says to Molly, “Girl, I like your face” | [molly] And Molly says this as she takes him by the hand | [molly] Takes it back to Molly waiting at the door | [molly] Of Desmond and Molly Jones | [molly] Molly stays at home and does her pretty face | [molly] Of Desmond and Molly Jones | [molly] Molly stays at home and does her pretty face",https://open.spotify.com/track/3fuEJBCK3kWnJHFTODR4cb
Lucy In The Sky With Diamonds - Remastered,The Beatles,12,"lucy, lucy, lucy, lucy, lucy, lucy, lucy, lucy, lucy, lucy, lucy, lucy","[lucy] Lucy in the sky with diamonds | [lucy] Lucy in the sky with diamonds | [lucy] Lucy in the sky with diamonds, ah | [lucy] Lucy in the sky with diamonds | [lucy] Lucy in the sky with diamonds | [lucy] Lucy in the sky with diamonds, ah | [lucy] Lucy in the sky with diamonds | [lucy] Lucy in the sky with diamonds | [lucy] Lucy in the sky with diamonds, ah | [lucy] Lucy in the sky with diamonds | [lucy] Lucy in the sky with diamonds | [lucy] Lucy—",https://open.spotify.com/track/3FCnUhO6ao6hFRgCLPkSUE
Johnny B. Goode,Chuck Berry,17,"johnny, johnny, johnny, johnny, johnny, johnny, johnny, johnny, johnny, johnny, johnny, johnny, johnny, johnny, johnny, johnny, johnny","[johnny] Where lived a country boy named Johnny B. Goode | [johnny] Go, Johnny, go, go | [johnny] Go, Johnny, go, go | [johnny] Go, Johnny, go, go | [johnny] Go, Johnny, go, go | [johnny] Johnny B. Goode | [johnny] Go, Johnny, go, go | [johnny] Go, Johnny, go, go | [johnny] Go, Johnny, go, go | [johnny] Go, Johnny, go, go | [johnny] Johnny B. Goode | [johnny] Sayin' 'Johnny B. Goode Tonight'"" | [johnny] Go, Johnny, go | [johnny] Go, go, go, Johnny, go | [johnny] Go, go, go, Johnny, go | [johnny] Go, go, go, Johnny, go | [johnny] Go, Johnny B. Goode",https://open.spotify.com/track/2QfiRTz5Yc8DdShCxG1tB2
Sweet Caroline,Neil Diamond,5,"caroline, caroline, caroline, caroline, caroline",[caroline] Sweet Caroline | [caroline] Sweet Caroline | [caroline] Sweet Caroline | [caroline] Sweet Caroline | [caroline] Sweet Caroline,https://open.spotify.com/track/62AuGbAkt8Ox2IrFFb8GKV
I Want It All - Single Version,Queen,4,"john, john, john, john","[john] [Chorus: Freddie Mercury, Roger Taylor, John Deacon & Brian May] | [john] [Chorus: Freddie Mercury, John Deacon, Roger Taylor & Brian May] | [john] [Chorus: John Deacon, Brian May, Freddie Mercury & Roger Taylor] | [john] [Outro: Freddie Mercury, Roger Taylor, Brian May & John Deacon]",https://open.spotify.com/track/1gBNoqhVLbIMuBQmXKmyLj
