Name,Artist,Total_Matches,Found_Words,Matched_Lines,Link
Wind Of Change,Scorpions,11,"wind, wind, wind, wind, wind, wind, wind, wind, wind, wind, wind",[wind] Listening to the wind of change | [wind] Listening to the wind of change | [wind] Blowing with the wind of change | [wind] In the wind of change | [wind] Listening to the wind of change | [wind] In the wind of change (The wind of change) | [wind] The wind of change | [wind] Like a storm wind that will ring the freedom bell | [wind] In the wind of change (The wind of change),https://open.spotify.com/track/3ovjw5HZZv43SxTwApooCM
Believer,Imagine Dragons,4,"rain, rain, rain, rain","[rain] Pain, oh, let the bullets fly, oh, let them rain | [rain] I was chokin' in the crowd, building my rain up in the cloud | [rain] Pain, oh, let the bullets fly, oh, let them rain | [rain] Pain, oh, let the bullets fly, oh, let them rain",https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
"Relax, Take It Easy",MIKA,4,"fire, fire, fire, fire",[fire] It's as if I'm playing with fire | [fire] Are we playing with fire? | [fire] It's as if I'm playing with fire | [fire] Are we playing with fire?,https://open.spotify.com/track/0KM2y796j63t5RHhvRUxld
Rain,MIKA,60,"rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain",[rain] When it rain and rain and rain and rains | [rain] When it rain and rain and rain and rains | [rain] When it rain and rain and rain and rains | [rain] When it rain and rain and rain and rains | [rain] When it rain and rain and rain and rains | [rain] When it rain and rain and rain and rains | [rain] When it rain and rain and rain and rains | [rain] When it rain and rain and rain and rains | [rain] When it rain and rain and rain and rains | [rain] When it rain and rain and rain and rains | [rain] When it rain and rain and rain and rains | [rain] When it rain and rain and rain and rains | [rain] When it rain and rain and rain and rains | [rain] When it rain and rain and rain and rains | [rain] When it rain and rain and rain and rains | [rain] When it rain and rain and rain and rains | [rain] When it rain and rain and rain and rains | [rain] When it rain and rain and rain and rains | [rain] When it rain and rain and rain and rains | [rain] When it rain and rain and rain and rains,https://open.spotify.com/track/5blWGYRc1tWm5tjzhsJs0J
La Isla Bonita,Madonna,9,"sun, sun, sun, sun, sun, breeze, breeze, breeze, breeze","[sun] And when the samba played, the sun would set so high | [sun] And when the samba played, the sun would set so high | [sun] I want to be where the sun warms the sky | [sun] And when the samba played, the sun would set so high | [sun] And when the samba played, the sun would set so high | [breeze] Tropical the island breeze, all of nature wild and free | [breeze] Tropical the island breeze, all of nature wild and free | [breeze] Tropical the island breeze, all of nature wild and free | [breeze] Tropical the island breeze, all of nature wild and free",https://open.spotify.com/track/2Iib2MV3ECFJAourgP9dlY
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,6,"sun, sun, sun, sun, sun, sun",[sun] She's up all night 'til the sun | [sun] We're up all night 'til the sun | [sun] She's up all night 'til the sun | [sun] We're up all night 'til the sun | [sun] She's up all night 'til the sun | [sun] We're up all night 'til the sun,https://open.spotify.com/track/2Foc5Q5nqNiosCNqttzHof
Escape (The Pina Colada Song),Rupert Holmes,5,"rain, rain, rain, rain, rain",[rain] And gettin' caught in the rain | [rain] And gettin' caught in the rain | [rain] And gettin' caught in the rain | [rain] And gettin' caught in the rain | [rain] And gettin' caught in the rain,https://open.spotify.com/track/5IMtdHjJ1OtkxbGe4zfUxQ
Down Under,Men At Work,10,"thunder, thunder, thunder, thunder, thunder, thunder, thunder, thunder, thunder, thunder","[thunder] Can't you hear, can't you hear the thunder? | [thunder] Can't you hear, can't you hear the thunder? | [thunder] Can't you hear, can't you hear the thunder? Oh | [thunder] (Yeah, thunder, thunder) Can't you hear, can't you hear the thunder? | [thunder] Can't you hear, can't you hear the thunder? Ooh yeah | [thunder] (Can you, can you hear the thunder?) Can't you hear, can't you hear the thunder? | [thunder] (Oh, hear) Can't you hear, can't you hear the thunder?",https://open.spotify.com/track/5pSvjjfsh34sLrkYSNGCl4
Purple Rain,Prince,23,"rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain, rain","[rain] In the purple rain | [rain] Purple rain, purple rain | [rain] Purple rain, purple rain | [rain] Purple rain, purple rain | [rain] In the purple rain | [rain] Purple rain, purple rain | [rain] Purple rain, purple rain | [rain] Purple rain, purple rain | [rain] I only want to see you underneath the purple rain | [rain] And let me guide you to the purple rain | [rain] Purple rain, purple rain, yeah | [rain] Purple rain, purple rain, wooo! | [rain] Purple rain, purple rain, yeah | [rain] Only want to see you in the purple rain",https://open.spotify.com/track/54X78diSLoUDI3joC2bjMz
Titanium (feat. Sia),David Guetta,8,"fire, fire, fire, fire, fire, fire, fire, fire","[fire] Fire away, fire away | [fire] Fire away, fire away | [fire] Fire away, fire away | [fire] Fire away, fire away",https://open.spotify.com/track/0TDLuuLlV54CkRRUOahJb4
Believer,Imagine Dragons,4,"rain, rain, rain, rain","[rain] Pain, oh, let the bullets fly, oh, let them rain | [rain] I was chokin' in the crowd, building my rain up in the cloud | [rain] Pain, oh, let the bullets fly, oh, let them rain | [rain] Pain, oh, let the bullets fly, oh, let them rain",https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
We Are Young (feat. Janelle Monáe),fun.,12,"sun, sun, sun, sun, sun, sun, fire, fire, fire, fire, fire, fire",[sun] We can burn brighter than the sun | [sun] We can burn brighter than the sun | [sun] We can burn brighter than the sun | [sun] We can burn brighter than the sun | [sun] We can burn brighter than the sun | [sun] We can burn brighter than the sun | [fire] So let's set the world on fire | [fire] So let's set the world on fire | [fire] So let's set the world on fire | [fire] So let's set the world on fire | [fire] So let's set the world on fire | [fire] So let's set the world on fire,https://open.spotify.com/track/5rgy6ghBq1eRApCkeUdJXf
Super Trouper,ABBA,4,"sun, sun, sun, sun",[sun] Shinin' like the sun (Sup-p-per Troup-p-per) | [sun] Shinin' like the sun (Sup-p-per Troup-p-per) | [sun] Shinin' like the sun (Sup-p-per Troup-p-per) | [sun] Shinin' like the sun (Sup-p-per Troup-p-per),https://open.spotify.com/track/0J2p4KYdr6Mg4ET6JPlbe1
Thunderstruck,AC/DC,15,"thunder, thunder, thunder, thunder, thunder, thunder, thunder, thunder, thunder, thunder, thunder, thunder, thunder, thunder, thunder","[thunder] Thunder, ah-ah, ah-ah-ah | [thunder] Thunder, ah-ah, ah-ah-ah | [thunder] Thunder, ah-ah, ah-ah-ah | [thunder] Thunder, ah-ah, ah-ah-ah | [thunder] Thunder, ah-ah, ah-ah-ah | [thunder] Thunder, ah-ah, ah-ah-ah | [thunder] Thunder | [thunder] Thunder | [thunder] Thunder | [thunder] Thunder | [thunder] I was caught in the middle of a railroad track (Thunder) | [thunder] I looked 'round and I knew there was no turnin' back (Thunder) | [thunder] My mind raced and I thought, ""What could I do?"" (Thunder) | [thunder] And I knew there was no help, no help from you (Thunder) | [thunder] The thunder of guns, yeah, tore me apart",https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj
Snow (Hey Oh),Red Hot Chili Peppers,6,"snow, snow, snow, snow, snow, snow",[snow] Where it's so white as snow | [snow] And it's so white as snow | [snow] Where it's so white as snow | [snow] Where it's so white as snow | [snow] Where it's so white as snow | [snow] Where it's so white as snow,https://open.spotify.com/track/2aibwv5hGXSgw7Yru8IYTO
Sex on Fire,Kings of Leon,5,"fire, fire, fire, fire, fire","[fire] Your sex is on fire | [fire] Your sex is on fire | [fire] Your sex is on fire | [fire] Your sex is on fire, ah | [fire] Your sex is on fire",https://open.spotify.com/track/0ntQJM78wzOLVeCUAW7Y45
Have You Ever Seen The Rain,Creedence Clearwater Revival,8,"rain, rain, rain, rain, rain, rain, rain, rain","[rain] It'll rain a sunny day | [rain] I wanna know, have you ever seen the rain? | [rain] I wanna know, have you ever seen the rain? | [rain] Sun is cold and rain is hard | [rain] I wanna know, have you ever seen the rain? | [rain] I wanna know, have you ever seen the rain? | [rain] I wanna know, have you ever seen the rain? | [rain] I wanna know, have you ever seen the rain?",https://open.spotify.com/track/2LawezPeJhN4AWuSB0GtAU
Unwritten,Natasha Bedingfield,5,"rain, rain, rain, rain, rain",[rain] Feel the rain on your skin | [rain] Feel the rain on your skin | [rain] Feel the rain on your skin | [rain] Feel the rain on your skin | [rain] Feel the rain on your skin,https://open.spotify.com/track/3U5JVgI2x4rDyHGObzJfNf
