name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Felices los 4,Maluma,8,"cuatro, cuatro, cuatro, cuatro, cuatro, cuatro, cuatro, cuatro","1, 2, 4","Vamo' a ser feliz, vamo' a ser feliz, felices los cuatro | Vamo' a ser feliz, vamo' a ser feliz, felices los cuatro | Y siempre que se va, regresa a mí (Y felices los cuatro) | Y siempre que se va, regresa a mí (Y felices los cuatro) | Vamo' a ser feliz, vamo' a ser feliz, felices los cuatro | Vamo' a ser feliz, vamo' a ser feliz, felices los cuatro | Vamo' a ser feliz, vamo' a ser feliz, felices los cuatro | Vamo' a ser feliz, vamo' a ser feliz, felices los cuatro",1RouRzlg8OKFeqc6LvdxmB
Kung Fu,Dasoul,7,"millón, millón, millón, millón, millón, millón, millón",,Te mereces un millón de veces | Te mereces un millón de veces | (Te mereces un millón de veces) | Te mereces un millón de veces | (Te mereces un millón de veces) | Lo quiero repetir un millón de veces | Lo quiero repetir un millón de veces,5bCqP8qJkx52Ntoe9VvxSe
La Romana,Bad Bunny,4,"2, 2, 2, 2","1, 3, 5",[Coro 2: El Alfa] | [Verso 2: El Alfa] | [Coro 2: El Alfa] | [Coro 2: El Alfa],1khmgu0pveJbkbpbkyvcQv
Cayó La Noche feat Cruz Cafuné Abhir Hathi Bejo EL IMA Remix,La Pantera,4,"mil, mil, mil, mil","tres, cinco, ocho, 1, 2, 3, 4, 5, 6, 7","Y me la imagino en mil poses al verla bailar | Eran mil poses diferentes pero baby, dale, ven | Y me la imagino en mil poses al verla bailar (Yeah, Cruzzi) | Y me la imagino en mil pose' al verla bailar",0Bv7O6fmZk3GrNQFYJaXPn
A Dios Le Pido,Juanes,6,"segundo, segundo, segundo, segundo, segundo, segundo",,"Un segundo más de vida para darte | Un segundo más de vida para darte | Un segundo más de vida, yo | Un segundo más de vida para darte | Un segundo más de vida para darte | Un segundo más de vida, yo",129lYDVKnWtlJc2PZJviuA
Y Nos Dieron las Diez,Joaquín Sabina,4,"tres, tres, tres, tres","uno, dos, diez, once, doce, 1, 2, 3, 4","Las doce y la una, y las dos, y las tres | En mi declaración alegué que llevaba tres copas | Las doce y la una, y las dos, y las tres | Las doce y la una, y las dos, y las tres",1eCie6lwjb4crxeAvkRaSi
El calor del amor en un bar,Gabinete Caligari,4,"dos, dos, dos, dos",,Estar juntos los dos | Y dos alondras nos observan | Estar juntos los dos | Y dos alondras nos observan,0AFJOoRQFlo10Vm1p6BRjg
La taberna del Buda,Café Quijano,4,"tres, tres, tres, tres",,"Hay tres banqueros, van con corbata, están casados | Los anillos bien guardados; tres italianas no se recatan | Se echan a suertes a los tres de la corbata | Se echan a suertes a los tres de la corbata",40A11dg6RXzfDrwMrw5sED
La flaca,Jarabe De Palo,21,"uno, uno, uno, uno, uno, uno, uno, uno, uno, uno, uno, uno, uno, uno, uno, uno, uno, uno, uno, uno, uno","dos, cuarenta, 1, 2","Por un beso de ella, aunque sólo uno fuera | Por un beso de ella, aunque sólo uno fuera | Aunque sólo uno fuera | Por un beso de ella, aunque sólo uno fuera | Por un beso de ella, aunque sólo uno fuera | Aunque sólo uno fuera | Aunque sólo uno fuera | Aunque sólo uno fuera | Aunque sólo uno fuera | Aunque sólo uno fuera | Aunque sólo uno fuera | Aunque sólo uno fuera | Aunque sólo uno fuera | Aunque sólo uno fuera | Aunque sólo uno fuera | Aunque sólo uno fuera | Aunque sólo uno fuera | Aunque sólo uno fuera | Aunque sólo uno fuera | Aunque sólo uno fuera | Aunque sólo uno fuera",1MrZ8hGkUWMmT816wPaMgE
Macarena,Los Del Rio,4,"dos, dos, dos, dos","1, 2",Se la vio con dos amigos | Se la vio con dos amigos | Se la vio con dos amigos | Se la vio con dos amigos,4Y6cDd4EPHcEbiUKdyvNwM
Buena Suerte,Pedro Capó,12,"dos, dos, dos, dos, dos, dos, tres, tres, tres, tres, tres, tres",,"Enchula'o, en un dos por tres, me enamoré, me enamoré | Enchula'o, en un dos por tres, me enamoré, me enamoré | Enchula'o, en un dos por tres, me enamoré, me enamoré | Enchula'o, en un dos por tres, me enamoré, me enamoré (Eh) | Enchula'o, en un dos por tres, me enamoré, me enamoré (Me enamoré, me enamoré, yeah) | Enchula'o, en un dos por tres, me enamoré, me enamoré | Enchula'o, en un dos por tres, me enamoré, me enamoré | Enchula'o, en un dos por tres, me enamoré, me enamoré | Enchula'o, en un dos por tres, me enamoré, me enamoré | Enchula'o, en un dos por tres, me enamoré, me enamoré (Eh) | Enchula'o, en un dos por tres, me enamoré, me enamoré (Me enamoré, me enamoré, yeah) | Enchula'o, en un dos por tres, me enamoré, me enamoré",4fAlzlBojsx7aA9llmidAN
Para Sentirme Libre feat Rayko B,Diego Torres,4,"segundo, segundo, segundo, segundo","ocho, diez, 1, 2",Voy a cambiar de rumbo y en un segundo | Eu vou mudar de rumo e em um segundo | Voy a cambiar de rumbo y en un segundo | Eu vou mudar de rumo e em um segundo,3TkUK0EOLajGoxUsoc19gr
Desconocidos,Mau y Ricky,5,"dos, dos, dos, dos, dos","1, 2",Apenas somos dos desconocidos | Apenas somos dos (Apenas somos dos) | Apenas somos dos desconocidos | Apenas somos dos,0s5DNDV6LAKn2u2Ufa3VjQ
