name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Felices los 4,Maluma,4,"cuarto, cuarto, cuarto, cuarto",,"Te agrandamo' el cuarto | No importa el qué dirán, no' gusta así (Te agrandamos el cuarto, baby) | Te agrandamos el cuarto | Te agrandamo' el cuarto",1RouRzlg8OKFeqc6LvdxmB
Otra Vez feat J Balvin,Zion  Lennox,7,"mundo, mundo, mundo, mundo, mundo, mundo, mundo",,"Volverme a poner el mundo al revés | Me vuelves a poner el mundo al revés, como ayer, yeah | Volverme a poner el mundo al revés | Me vuelves a poner el mundo al revés, como ayer (J Balvin, man) | Volverme a poner el mundo al revés | Me vuelves a poner el mundo al revés, como ayer, yeah | (Volverme a poner el mundo al revés, como ayer, yeh)",3QwBODjSEzelZyVjxPOHdq
Bobo,J Balvin,9,"calle, calle, calle, calle, calle, cama, cama, cama, cama",discoteca,Que amores en la calle siempre hay de más (Leggo) | Que amores en la calle siempre hay de más | Que amores en la calle siempre hay de más | Que amores en la calle siempre hay de más | Que amores en la calle siempre hay de más | Deja que el sol hoy te despierte en mi cama | Deja que el sol hoy te despierte en mi cama | Deja que el sol hoy te despierte en mi cama | Deja que el sol hoy te despierte en mi cama,5kdTuoKeqdnblCop75wMuX
Como Antes feat Wisin,Yandel,5,"mundo, mundo, mundo, mundo, mundo","casa, esquina","A to' el mundo pega'o, la disco bailoteo (¡Prende!) | A to' el mundo pega'o, la disco bailoteo | A to' el mundo pega'o, la disco bailoteo | A to' el mundo pega'o, la disco bailoteo | A to' el mundo pega'o, la disco bailoteo",5YzA563GXTuwQaRq24z1k5
Kung Fu,Dasoul,30,"club, club, club, club, club, club, club, club, club, club, club, club, club, club, club, club, club, club, club, club, esquina, esquina, esquina, esquina, esquina, esquina, esquina, esquina, esquina, esquina",escuela,"Puro me hace kung fu en la esquina del club, del club | Puro me hace kung fu en la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | Puro me hace kung fu en la esquina del club, del club | Puro me hace kung fu en la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | Puro me hace kung fu en la esquina del club, del club | Puro me hace kung fu en la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | Puro me hace kung fu en la esquina del club, del club | Puro me hace kung fu en la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club | (Oh, oh, oh, oh) En la esquina del club, del club",5bCqP8qJkx52Ntoe9VvxSe
Que Calor with J Balvin  El Alfa,Major Lazer,6,"discoteca, discoteca, discoteca, discoteca, discoteca, discoteca","mundo, playa","En la discoteca qué calor (Qué ca) | Qué ca (Qué ca), en la discoteca qué calor (Qué ca) | Qué calor, yesca en la discoteca | En la discoteca qué calor, yesca | En la discoteca qué calor, yesca | Qué calor, yesca en la discoteca",1sviDBcAqVOxMXq4xITVEs
Callaita,Bad Bunny,5,"playa, playa, playa, playa, playa",,"Si hay sol, hay playa, si hay playa, hay alcohol | Si hay sol, hay playa, si hay playa, hay alcohol | Días de playa, noche' de terror",2TH65lNHgvLxCKXM3apjxI
Morado,J Balvin,4,"cama, cama, cama, cama","casa, calle, cuarto","En la cama siempre tú te exageras (Exagerá') | En la cama siempre tú te exageras (Uh, uh; yah, yah, yah, yah; uh) | En la cama siempre tú te exageras | En la cama siempre tú te exageras (Eh)",3mQ6SLdxxaL52Yte7KF2Ks
La Romana,Bad Bunny,8,"calle, calle, calle, calle, calle, calle, calle, calle","mundo, cuarto","Y e' que la calle bota | Y e' que la calle bota | La calle tiene fuego, la calle tiene fire | Y e' que la calle bota | La calle está en fuego, cuida'o, no te queme' | Y e' que la calle bota | Y e' que la calle bota",1khmgu0pveJbkbpbkyvcQv
El Mismo Sol,Alvaro Soler,12,"mundo, mundo, mundo, mundo, mundo, mundo, mundo, mundo, mundo, mundo, mundo, mundo",,"Un mundo enano, enano | Yo quiero que este sea el mundo que conteste | Yo quiero que este sea el mundo que conteste | Quiero que el mundo se, mundo se, mundo se | Quiero que el mundo se una mi amor | Quiero que el mundo se, mundo se, mundo se | Quiero que el mundo se una, mi amor | Yo quiero que este sea el mundo que conteste",58WOkUl3O9LvLZjdhiQvIX
Amor Amor de Mis Amores with Devendra Banhart,Natalia Lafourcade,5,"cielo, cielo, cielo, cielo, cielo",,"Que tú eres mi cielo | Que tú eres mi cielo, eres mis consuelos | Amor de mis amores, tú eres mi cielo | Amor de mis amores, tú eres mi cielo | Amor de mis amores, tú eres mi cielo",3dB42OEuVNiktvt3V5JRVI
El Cuarto de Tula,Buena Vista Social Club,4,"barrio, barrio, barrio, barrio","club, cuarto",En el barrio La Cachimba se ha formado la corredera | En el barrio La Cachimba se ha formado la corredera | En el barrio La Cachimba se ha formado la corredera | En el barrio La Cachimba se ha formado la corredera,7dRfobhDNnsEgB2ZArxA1f
La negra Tomasa,Compay Segundo,4,"casa, casa, casa, casa",barrio,Que cuando se va de casa | Que cuando se va de casa | Que cuando se va de casa | Que cuando se va de casa,4zCsjPyHGJz8Vx0luwq4M1
Me Liberé,El Gran Combo De Puerto Rico,4,"cielo, cielo, cielo, cielo",,Gracias al cielo me liberé | Gracias al cielo me libere | Gracias al cielo me libere | Gracias al cielo me liberé,1IcnHHfeAkdc88LybFWwb9
No Hay Cama Pa Tanta Gente,El Gran Combo De Puerto Rico,9,"calle, calle, calle, calle, calle, calle, calle, calle, calle","casa, mundo, cama, esquina","Pa' fuera, pa' la calle | Pa' fuera, pa' la calle | Pa' fuera, pa' la calle | Pa' fuera, pa' la calle | Pa' fuera, pa' la calle (Mira, ahí se va este) | Pa' fuera, pa' la calle (Juan Ma, José Estévez, ¡Papo Sánchez!) | Pa' fuera, pa' la calle | Pa' fuera, pa' la calle | ¡Pa' fuera, pa' la calle!",6InAsgddPjAcuF7mSHDT8K
Calle Luna Calle Sol,Willie Colón,4,"barrio, barrio, barrio, barrio",calle,"Pónganme oído, en este barrio a muchos guapos lo han mata'o | Póngame oído, en este barrio a muchos guapos lo han mata'o | ¿No conoce este barrio?, aquí asaltan a cualquiera | Pónganme oído, en este barrio a muchos guapos lo han mata'o",1Ics9ai6jbcHHBRaTy1HiD
Marta Sebas Guille y los demás,Amaral,4,"calle, calle, calle, calle",hotel,"Son mis amigos, en la calle pasábamos las horas | Son mis amigos, en la calle pasábamos las horas | Son mis amigos, en la calle pasábamos las horas | Son mis amigos, en la calle pasábamos las horas",30ddpolNHwXlrS5XO8MiiO
