name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
SUBEME LA RADIO,Enrique Iglesias,17,"sol, sol, sol, sol, sol, sol, sol, sol, luna, luna, luna, luna, luna, luna, luna, luna, luna",,Hoy vamo' a juntar la luna y el sol | Hoy vamo' a juntar la luna y el sol | Hoy vamo' a juntar la luna y el sol | Hoy vamo' a juntar la luna y el sol | Hoy vamo' a juntar la luna y el sol | Hoy vamo' a juntar la luna y el sol | Hoy vamo' a juntar la luna y el sol | Hoy vamo' a juntar la luna y el sol | Hoy vamo' a juntar la luna y el sol | Hoy vamo' a juntar la luna y el sol | Y sigo cantando bajo la luna llena | Hoy vamo' a juntar la luna y el sol | Hoy vamo' a juntar la luna y el sol | Hoy vamo' a juntar la luna y el sol | Hoy vamo' a juntar la luna y el sol | Hoy vamo' a juntar la luna y el sol | Hoy vamo' a juntar la luna y el sol,7nKBxz47S9SD79N086fuhn
EL BAÑO,Enrique Iglesias,4,"luna, luna, luna, luna",,"Vámono' a la luna, vámono' pa'l cine | Vámono' a la luna, vámono' pa'l cine | Santa de día, diabla cuando cae la luna, yeh | Vámono' a la luna, vámono' pa'l cine",2vvdTrdryjsl8DmPIMDWZU
Shaky Shaky,Daddy Yankee,11,"terremoto, terremoto, terremoto, terremoto, terremoto, terremoto, terremoto, terremoto, terremoto, terremoto, terremoto",,"Terremoto, terremoto! | Terremoto, terremoto! | Terremoto, terremoto! | Terremoto, terremoto! | Terremoto, terremoto! | Terremoto, terremoto! | Terremoto, terremoto! | Terremoto, terremoto! (Ajám!) | Terremoto, terremoto! | Terremoto, terremoto! (Rompe) | Terremoto, terremoto!",7gcMKL3lnDxsp4bIXyv6Zk
Bobo,J Balvin,8,"sol, sol, sol, sol, luna, luna, luna, luna",,Deja que el sol hoy te despierte en mi cama | Deja que el sol hoy te despierte en mi cama | Deja que el sol hoy te despierte en mi cama | Deja que el sol hoy te despierte en mi cama | Y que la luna sepa que estás aquí | Y que la luna sepa que estás aquí | Y que la luna sepa que estás aquí | Y que la luna sepa que estás aquí,5kdTuoKeqdnblCop75wMuX
Kung Fu,Dasoul,4,"luz, luz, luz, luz",,Bailando lentamente y a poca luz | Bailando lentamente y a poca luz | Bailando lentamente y a poca luz | Bailando lentamente y a poca luz,5bCqP8qJkx52Ntoe9VvxSe
La Romana,Bad Bunny,32,"fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego, fuego",estrella,"Fuego, fuego (Fire, fire), fuego, fuego (Fire, fire) | Fuego, fuego (Fire, fire), fuego, fuego | Fuego, fuego (Fire, fire), fuego, fuego (Fire, fire) | Fuego, fuego (Fire, fire), fuego, fuego | La calle tiene fuego, la calle tiene fire | Fuego, fuego (Fire, fire), fuego, fuego (Fire, fire) | Fuego, fuego (Fire, fire), fuego, fuego (Uh) | La calle está en fuego, cuida'o, no te queme' | Fuego, fuego (Fire, fire), fuego, fuego (Fire, fire) | Fuego, fuego (Fire, fire), fuego, fuego | Fuego, fuego (Fire, fire), fuego, fuego (Fire, fire) | Fuego, fuego (Fire, fire), fuego, fuego",1khmgu0pveJbkbpbkyvcQv
Amor Amor de Mis Amores with Devendra Banhart,Natalia Lafourcade,5,"cielo, cielo, cielo, cielo, cielo",,"Que tú eres mi cielo | Que tú eres mi cielo, eres mis consuelos | Amor de mis amores, tú eres mi cielo | Amor de mis amores, tú eres mi cielo | Amor de mis amores, tú eres mi cielo",3dB42OEuVNiktvt3V5JRVI
Solamente tú,Pablo Alborán,5,"luz, luz, luz, luz, luz","estrella, mar, cielo",Haces que mi alma se despierte con tu luz | Haces que mi alma se despierte con tu luz | Haces que mi alma se despierte con tu luz | Haces que mi alma se despierte con tu luz | Haces que mi alma se despierte con tu luz,7sRXhReWmJF5pqyg3uUTES
Eres para Mí,Julieta Venegas,9,"viento, viento, viento, viento, viento, viento, viento, viento, viento","mar, luz, sombra","Me lo ha dicho el viento, eres para mí | Me lo ha dicho el viento, eres para mí | Me lo ha dicho el viento, eres para mí | Me lo ha dicho el viento, eres para mí | El viento me lo dijo con un soplo suavecillo | Me lo ha dicho el viento, eres para mí | ​Me lo ha dicho el viento, eres para mí | El viento me lo dijo con un soplo suavecillo) | Me lo ha dicho el viento (Yo soy para ti)",4m3vLNZkFAjm30XxPXf7E3
Mis Dos Pequeñas feat Angá Díaz Amadito Valdés Carlos González  Manuel Galbán,Orlando Cachaíto López,4,"luna, luna, luna, luna",,Que bella está la luna que bonito viene el día | Que bella está la luna que bonito viene el día | Que bella está la luna que bonito viene el día | Que bella está la luna que bonito viene el día,7yMwkwxNCcsck1SOMgBFlm
